Feature,Total Weight
Feature 260,17.018631
Feature 006,15.205907
Feature 281,14.960045
Feature 280,13.544005
Feature 086,12.956633
Feature 250,12.150798
Feature 261,11.777162
Feature 282,11.689798
Feature 061,11.543689
Feature 262,11.269214
Feature 283,11.155528
Feature 285,10.508287
Feature 056,10.490756
Feature 263,10.206061
Feature 066,10.140255
Feature 197,9.785142
Feature 219,9.1805525
Feature 159,9.005987
Feature 069,8.894739
Feature 264,8.848161
Feature 220,8.831913
Feature 234,8.763479
Feature 212,8.732343
Feature 081,8.707962
Feature 126,8.40206
Feature 236,8.346582
Feature 265,8.301736
Feature 238,8.245046
Feature 230,8.097978
Feature 200,8.095794
Feature 152,8.082922
Feature 176,7.953884
Feature 205,7.9154553
Feature 253,7.890253
Feature 151,7.697473
Feature 165,7.695099
Feature 153,7.504031
Feature 041,7.3734508
Feature 218,7.3132553
Feature 143,7.263129
Feature 112,7.2460914
Feature 154,7.197988
Feature 203,7.1948004
Feature 052,7.180917
Feature 124,7.1638308
Feature 072,7.1070805
Feature 228,7.093486
Feature 148,7.0514393
Feature 030,7.0419655
Feature 085,7.0360904
Feature 082,6.949745
Feature 117,6.9406824
Feature 022,6.914819
Feature 018,6.728396
Feature 252,6.7175817
Feature 187,6.6879845
Feature 002,6.5849576
Feature 037,6.583202
Feature 196,6.544383
Feature 284,6.5073247
Feature 050,6.455284
Feature 083,6.4310627
Feature 001,6.4284067
Feature 266,6.4197435
Feature 211,6.416919
Feature 184,6.3768754
Feature 043,6.3606515
Feature 248,6.2942514
Feature 012,6.225065
Feature 091,6.138461
Feature 195,6.1281376
Feature 138,6.1176524
Feature 272,6.08778
Feature 273,6.071403
Feature 199,6.040678
Feature 055,6.0181375
Feature 089,5.980283
Feature 160,5.9582615
Feature 047,5.9451356
Feature 108,5.88807
Feature 155,5.8390512
Feature 032,5.801466
Feature 166,5.7525992
Feature 008,5.7447276
Feature 274,5.6683016
Feature 268,5.6644845
Feature 246,5.6602345
Feature 135,5.6126356
Feature 020,5.606851
Feature 271,5.605409
Feature 034,5.579798
Feature 007,5.5104284
Feature 172,5.4972005
Feature 269,5.496332
Feature 100,5.4912047
Feature 122,5.4420967
Feature 267,5.4095044
Feature 270,5.408387
Feature 141,5.39144
Feature 010,5.389217
Feature 116,5.3835216
Feature 232,5.329399
Feature 168,5.3138537
Feature 147,5.2363567
Feature 073,5.1833324
Feature 194,5.17777
Feature 097,5.0432425
Feature 080,5.0375967
Feature 149,5.021146
Feature 237,4.872244
Feature 216,4.8185763
Feature 145,4.793429
Feature 094,4.7680755
Feature 208,4.7351723
Feature 215,4.725576
Feature 054,4.6898065
Feature 235,4.67376
Feature 021,4.6396394
Feature 275,4.6163764
Feature 038,4.586107
Feature 277,4.568806
Feature 139,4.5641956
Feature 276,4.4983034
Feature 227,4.4096675
Feature 067,4.397043
Feature 023,4.377108
Feature 175,4.363471
Feature 209,4.3496118
Feature 222,4.262437
Feature 084,4.251098
Feature 107,4.203408
Feature 245,4.194357
Feature 106,4.1578603
Feature 011,4.0695815
Feature 278,4.059053
Feature 182,4.0229616
Feature 279,4.0121593
Feature 090,3.9396975
Feature 096,3.924446
Feature 024,3.7813694
Feature 099,3.7612913
Feature 033,3.5963311
Feature 059,3.5741367
Feature 093,3.5111933
Feature 013,3.4867885
Feature 040,3.4648285
Feature 014,3.4606733
Feature 179,3.4214776
Feature 109,3.3605382
Feature 156,3.3045511
Feature 189,3.2760592
Feature 120,3.221248
Feature 049,3.2163467
Feature 068,3.1650076
Feature 249,3.0897646
Feature 025,3.0503325
Feature 102,3.0452325
Feature 129,3.018302
Feature 225,3.0005815
Feature 015,2.9685352
Feature 065,2.9423668
Feature 186,2.8797035
Feature 119,2.8756635
Feature 229,2.668542
Feature 029,2.426291
Feature 131,2.31571
Feature 103,2.2074928
Feature 115,2.1768115
Feature 206,2.1493652
Feature 026,2.1385922
Feature 044,2.1016054
Feature 064,2.0944803
Feature 121,2.079634
Feature 217,2.0788832
Feature 071,2.064097
Feature 190,2.0520105
Feature 105,2.0470865
Feature 242,2.0424783
Feature 045,2.0399804
Feature 000,2.0338686
Feature 128,2.0320904
Feature 202,2.0302906
Feature 158,2.0256047
Feature 240,2.013545
Feature 150,2.0119648
Feature 003,2.0063674
Feature 005,2.0057707
Feature 088,1.9980162
Feature 130,1.9901048
Feature 077,1.9868447
Feature 257,1.9843061
Feature 142,1.9793152
Feature 169,1.9777824
Feature 110,1.9767377
Feature 076,1.970541
Feature 111,1.9701481
Feature 244,1.9657354
Feature 146,1.9644291
Feature 255,1.9592022
Feature 224,1.9573095
Feature 258,1.9532357
