DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,20,4,FALSE,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250412-011854/save-04.12.2025_01.18.54/final_model.zip,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939_TEST_WITH_ADOPTED_MAZES
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,,
1,kein_Terminated,Zeit abgelaufen,0.09,188,-17682.5,300.5,0,3,20250415-001340,,,,,,,,,,,,,,,,,,,
2,kein_Terminated,Zeit abgelaufen,0.23,53,-2337.25,300.5,0,5,20250415-001355,,,,,,,,,,,,,,,,,,,
3,kein_Terminated,Zeit abgelaufen,0.1,121,-10812.25,300.5,0,5,20250415-001408,,,,,,,,,,,,,,,,,,,
4,kein_Terminated,Zeit abgelaufen,0.08,152,-14195.5,300.5,0,6,20250415-001422,,,,,,,,,,,,,,,,,,,
5,kein_Terminated,Zeit abgelaufen,0.13,194,-17835,300.5,0,6,20250415-001436,,,,,,,,,,,,,,,,,,,
6,kein_Terminated,Zeit abgelaufen,0.18,117,-9453.25,300.5,0,0,20250415-001450,,,,,,,,,,,,,,,,,,,
7,kein_Terminated,Zeit abgelaufen,0.19,107,-8317.75,300.5,15,5,20250415-001506,,,,,,,,,,,,,,,,,,,
8,kein_Terminated,Zeit abgelaufen,0.1,235,-22401.75,300.5,15,5,20250415-001521,,,,,,,,,,,,,,,,,,,
9,kein_Terminated,Zeit abgelaufen,0.15,38,-1898,300.5,15,8,20250415-001536,,,,,,,,,,,,,,,,,,,
10,kein_Terminated,Zeit abgelaufen,0.19,57,-3240.25,300.5,15,8,20250415-001551,,,,,,,,,,,,,,,,,,,
11,kein_Terminated,Zeit abgelaufen,0.12,158,-14340,300.5,15,7,20250415-001607,,,,,,,,,,,,,,,,,,,
12,kein_Terminated,Zeit abgelaufen,0.17,29,-723.25,300.5,15,7,20250415-001623,,,,,,,,,,,,,,,,,,,
13,kein_Terminated,Zeit abgelaufen,0.09,69,-5793.25,300.5,15,1,20250415-001637,,,,,,,,,,,,,,,,,,,
14,kein_Terminated,Zeit abgelaufen,0.15,41,-2300.25,300.5,26,6,20250415-001655,,,,,,,,,,,,,,,,,,,
15,kein_Terminated,Zeit abgelaufen,0.15,92,-7482.5,300.5,26,6,20250415-001713,,,,,,,,,,,,,,,,,,,
16,kein_Terminated,Zeit abgelaufen,0.19,71,-4870.75,300.5,26,7,20250415-001731,,,,,,,,,,,,,,,,,,,
17,kein_Terminated,Zeit abgelaufen,0.22,81,-5526.25,300.5,26,7,20250415-001749,,,,,,,,,,,,,,,,,,,
18,kein_Terminated,Zeit abgelaufen,0.15,89,-7188.25,300.5,26,4,20250415-001807,,,,,,,,,,,,,,,,,,,
19,kein_Terminated,Zeit abgelaufen,0.07,171,-16401.75,300.5,26,4,20250415-001825,,,,,,,,,,,,,,,,,,,
20,kein_Terminated,Zeit abgelaufen,0.1,125,-11351.25,300.5,26,3,20250415-001843,,,,,,,,,,,,,,,,,,,
21,kein_Terminated,Zeit abgelaufen,0.17,91,-7109.75,300.5,26,6,20250415-001901,,,,,,,,,,,,,,,,,,,
22,kein_Terminated,Zeit abgelaufen,0.23,56,-2803.5,300.5,26,6,20250415-001920,,,,,,,,,,,,,,,,,,,
23,kein_Terminated,Zeit abgelaufen,0.19,61,-3803.25,300.5,26,1,20250415-001938,,,,,,,,,,,,,,,,,,,
24,kein_Terminated,Zeit abgelaufen,0.18,124,-10302.5,300.5,26,1,20250415-001957,,,,,,,,,,,,,,,,,,,
25,kein_Terminated,Zeit abgelaufen,0.13,78,-6216,300.5,26,8,20250415-002016,,,,,,,,,,,,,,,,,,,
26,kein_Terminated,Zeit abgelaufen,0.22,30,-332,300.5,26,8,20250415-002034,,,,,,,,,,,,,,,,,,,
27,kein_Terminated,Zeit abgelaufen,0.18,64,-4237.5,300.5,26,6,20250415-002052,,,,,,,,,,,,,,,,,,,
28,kein_Terminated,Zeit abgelaufen,0.18,56,-3307.5,300.5,0,2,20250415-002107,,,,,,,,,,,,,,,,,,,
29,kein_Terminated,Zeit abgelaufen,0.18,54,-2994,300.5,0,2,20250415-002121,,,,,,,,,,,,,,,,,,,
30,kein_Terminated,Zeit abgelaufen,0.11,123,-10945.75,300.5,0,2,20250415-002136,,,,,,,,,,,,,,,,,,,
31,kein_Terminated,Zeit abgelaufen,0.16,86,-6546,300.5,0,2,20250415-002150,,,,,,,,,,,,,,,,,,,
32,kein_Terminated,Zeit abgelaufen,0.16,67,-4603.75,300.5,0,3,20250415-002204,,,,,,,,,,,,,,,,,,,
33,kein_Terminated,Zeit abgelaufen,0.13,98,-8095,300.5,0,3,20250415-002218,,,,,,,,,,,,,,,,,,,
34,kein_Terminated,Zeit abgelaufen,0.2,67,-4167.75,300.5,0,7,20250415-002232,,,,,,,,,,,,,,,,,,,
35,kein_Terminated,Zeit abgelaufen,0.19,66,-4139,300.5,8,9,20250415-002246,,,,,,,,,,,,,,,,,,,
36,kein_Terminated,Zeit abgelaufen,0.2,76,-5030.5,300.5,8,9,20250415-002300,,,,,,,,,,,,,,,,,,,
37,kein_Terminated,Zeit abgelaufen,0.23,96,-6713.5,300.5,8,5,20250415-002315,,,,,,,,,,,,,,,,,,,
38,kein_Terminated,Zeit abgelaufen,0.17,123,-10189.75,300.5,8,5,20250415-002328,,,,,,,,,,,,,,,,,,,
39,kein_Terminated,Zeit abgelaufen,0.11,112,-9829.5,300.5,8,5,20250415-002342,,,,,,,,,,,,,,,,,,,
40,kein_Terminated,Zeit abgelaufen,0.2,62,-3596,300.5,8,5,20250415-002356,,,,,,,,,,,,,,,,,,,
41,kein_Terminated,Zeit abgelaufen,0.24,42,-1053,300.5,8,3,20250415-002410,,,,,,,,,,,,,,,,,,,
42,kein_Terminated,Zeit abgelaufen,0.17,80,-5773.5,300.5,8,0,20250415-002424,,,,,,,,,,,,,,,,,,,
43,kein_Terminated,Zeit abgelaufen,0.28,81,-4478.25,300.5,8,0,20250415-002438,,,,,,,,,,,,,,,,,,,
44,kein_Terminated,Zeit abgelaufen,0.25,79,-4620.75,300.5,8,0,20250415-002452,,,,,,,,,,,,,,,,,,,
45,kein_Terminated,Zeit abgelaufen,0.28,49,-1278.25,300.5,8,0,20250415-002507,,,,,,,,,,,,,,,,,,,
46,kein_Terminated,Zeit abgelaufen,0.2,92,-6630.5,300.5,8,4,20250415-002521,,,,,,,,,,,,,,,,,,,
47,kein_Terminated,Zeit abgelaufen,0.12,80,-6437.5,300.5,8,4,20250415-002534,,,,,,,,,,,,,,,,,,,
48,kein_Terminated,Zeit abgelaufen,0.14,101,-8317.25,300.5,8,7,20250415-002548,,,,,,,,,,,,,,,,,,,
49,kein_Terminated,Zeit abgelaufen,0.21,33,-550.25,300.5,0,9,20250415-002602,,,,,,,,,,,,,,,,,,,
50,kein_Terminated,Zeit abgelaufen,0.19,178,-15471,300.5,0,9,20250415-002615,,,,,,,,,,,,,,,,,,,
51,kein_Terminated,Zeit abgelaufen,0.31,42,-133,300.5,0,9,20250415-002630,,,,,,,,,,,,,,,,,,,
52,kein_Terminated,Zeit abgelaufen,0.3,35,452.25,300.5,0,9,20250415-002644,,,,,,,,,,,,,,,,,,,
53,kein_Terminated,Zeit abgelaufen,0.17,38,-1526,300.5,0,2,20250415-002658,,,,,,,,,,,,,,,,,,,
54,kein_Terminated,Zeit abgelaufen,0.25,72,-3947.5,300.5,0,2,20250415-002712,,,,,,,,,,,,,,,,,,,
55,kein_Terminated,Zeit abgelaufen,0.26,69,-3545.25,300.5,0,8,20250415-002726,,,,,,,,,,,,,,,,,,,
56,kein_Terminated,Zeit abgelaufen,0.24,74,-4541,300.5,26,4,20250415-002744,,,,,,,,,,,,,,,,,,,
57,kein_Terminated,Zeit abgelaufen,0.13,49,-3298.25,300.5,26,4,20250415-002803,,,,,,,,,,,,,,,,,,,
58,kein_Terminated,Zeit abgelaufen,0.23,49,-2118.25,300.5,26,6,20250415-002821,,,,,,,,,,,,,,,,,,,
