DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000.0,1,1080000,99999999999999,20,100,50,2,300,2,0.5,5,-100,0.15,1,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.19,140,-7709.0,300.5,22,0,20250411-000234
2,kein_Terminated,Zeit abgelaufen,0.18,339,-18268.0,300.5,22,3,20250411-000257
3,kein_Terminated,Zeit abgelaufen,0.19,66,-139.0,300.5,22,3,20250411-000319
4,kein_Terminated,Zeit abgelaufen,0.22,125,-5523.0,300.5,22,3,20250411-000342
5,kein_Terminated,Zeit abgelaufen,0.21,325,-22935.0,300.5,22,3,20250411-000404
6,kein_Terminated,Zeit abgelaufen,0.24,265,-13586.0,300.5,22,3,20250411-000427
7,kein_Terminated,Zeit abgelaufen,0.01,602,-60521.0,300.5,25,3,20250411-000501
8,kein_Terminated,Zeit abgelaufen,0.01,602,180.0,300.5,25,3,20250411-000528
9,kein_Terminated,Zeit abgelaufen,0.11,594,-57031.0,300.5,25,7,20250411-000559
10,kein_Terminated,Zeit abgelaufen,0.18,238,-10434.0,300.5,25,7,20250411-000626
11,kein_Terminated,Zeit abgelaufen,0.16,399,-21913.0,300.5,25,7,20250411-000654
12,kein_Terminated,Zeit abgelaufen,0.07,475,-35889.0,300.5,25,7,20250411-000721
13,kein_Terminated,Zeit abgelaufen,0.12,361,-15756.0,300.5,25,7,20250411-000748
14,kein_Terminated,Zeit abgelaufen,0.17,270,-11763.0,300.5,24,7,20250411-000812
15,kein_Terminated,Zeit abgelaufen,0.18,172,-9631.0,300.5,24,7,20250411-000835
16,kein_Terminated,Zeit abgelaufen,0.18,350,-20313.0,300.5,24,9,20250411-000858
17,kein_Terminated,Zeit abgelaufen,0.23,172,-6223.0,300.5,24,9,20250411-000922
18,kein_Terminated,Zeit abgelaufen,0.22,365,-18568.0,300.5,24,9,20250411-000946
19,kein_Terminated,Zeit abgelaufen,0.09,493,-37770.0,300.5,24,9,20250411-001010
20,kein_Terminated,Zeit abgelaufen,0.08,481,-34844.0,300.5,24,9,20250411-001033
21,kein_Terminated,Zeit abgelaufen,0.22,250,-16140.0,300.5,22,9,20250411-001057
22,kein_Terminated,Zeit abgelaufen,0.13,279,-15782.0,300.5,22,9,20250411-001119
23,kein_Terminated,Zeit abgelaufen,0.24,130,-3199.0,300.5,22,8,20250411-001141
24,kein_Terminated,Zeit abgelaufen,0.12,181,-8707.0,300.5,22,8,20250411-001204
25,kein_Terminated,Zeit abgelaufen,0.17,500,-35393.0,300.5,22,8,20250411-001227
26,kein_Terminated,Zeit abgelaufen,0.2,317,-19556.0,300.5,22,8,20250411-001249
27,kein_Terminated,Zeit abgelaufen,0.19,257,-10097.0,300.5,22,8,20250411-001312
28,kein_Terminated,Zeit abgelaufen,0.16,325,-15603.0,300.5,25,8,20250411-001340
29,kein_Terminated,Zeit abgelaufen,0.16,350,-15481.0,300.5,25,8,20250411-001406
30,kein_Terminated,Zeit abgelaufen,0.18,273,-14817.0,300.5,25,4,20250411-001433
31,kein_Terminated,Zeit abgelaufen,0.09,490,-29956.0,300.5,25,4,20250411-001501
32,kein_Terminated,Zeit abgelaufen,0.05,490,-34089.0,300.5,25,4,20250411-001528
33,kein_Terminated,Zeit abgelaufen,0.04,575,-44923.0,300.5,25,4,20250411-001555
34,kein_Terminated,Zeit abgelaufen,0.04,534,-43852.0,300.5,25,4,20250411-001621
35,kein_Terminated,Zeit abgelaufen,0.08,511,-31749.0,300.5,25,4,20250411-001649
36,kein_Terminated,Zeit abgelaufen,0.08,521,-29277.0,300.5,25,4,20250411-001716
37,kein_Terminated,Zeit abgelaufen,0.14,337,-16319.0,300.5,25,2,20250411-001742
38,kein_Terminated,Zeit abgelaufen,0.17,307,-12905.0,300.5,25,2,20250411-001810
39,kein_Terminated,Zeit abgelaufen,0.14,377,-13709.0,300.5,25,2,20250411-001837
40,kein_Terminated,Zeit abgelaufen,0.15,355,-13877.0,300.5,25,2,20250411-001904
41,kein_Terminated,Zeit abgelaufen,0.12,310,-12665.0,300.5,25,2,20250411-001932
42,kein_Terminated,Zeit abgelaufen,0.16,234,-7544.0,300.5,24,2,20250411-001955
43,kein_Terminated,Zeit abgelaufen,0.17,269,-10094.0,300.5,24,2,20250411-002018
44,kein_Terminated,Zeit abgelaufen,0.23,308,-18844.0,300.5,24,8,20250411-002042
45,kein_Terminated,Zeit abgelaufen,0.3,187,-5149.0,300.5,24,8,20250411-002106
