DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,650000,99999,100,100,50,2,0.5,5,-10,0.1,0,8,3,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Beste_Modelle/M2_R6_O4_A2_TR1_T1_20250411-114143/save-04.11.2025_11.41.43/final_model.zip,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250423-004900

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.15,99,842,300.5,0,8,20250423-074958
2,kein_Terminated,Zeit abgelaufen,0.16,166,316,300.5,0,2,20250423-075017
3,kein_Terminated,Zeit abgelaufen,0.13,127,354,300.5,0,2,20250423-075032
4,kein_Terminated,Zeit abgelaufen,0.1,162,-396,300.5,0,6,20250423-075046
5,kein_Terminated,Zeit abgelaufen,0.05,263,-2054,300.5,0,6,20250423-075100
6,kein_Terminated,Zeit abgelaufen,0.12,78,664,300.5,0,9,20250423-075114
7,kein_Terminated,Zeit abgelaufen,0.11,111,274,300.5,5,6,20250423-075128
8,kein_Terminated,Zeit abgelaufen,0.1,105,214,300.5,5,6,20250423-075142
9,kein_Terminated,Zeit abgelaufen,0.11,237,-1074,300.5,5,8,20250423-075157
10,kein_Terminated,Zeit abgelaufen,0.12,148,-60,300.5,5,8,20250423-075212
11,kein_Terminated,Zeit abgelaufen,0.18,39,1826,300.5,5,8,20250423-075227
12,kein_Terminated,Zeit abgelaufen,0.27,27,3186,300.5,5,8,20250423-075241
13,kein_Terminated,Zeit abgelaufen,0.19,123,1218,300.5,5,4,20250423-075255
14,kein_Terminated,Zeit abgelaufen,0.07,226,-1500,300.5,15,0,20250423-075309
15,kein_Terminated,Zeit abgelaufen,0.06,257,-1938,300.5,15,0,20250423-075324
16,kein_Terminated,Zeit abgelaufen,0.06,404,-3420,300.5,15,3,20250423-075338
17,kein_Terminated,Zeit abgelaufen,0.08,288,-1908,300.5,15,3,20250423-075353
18,kein_Terminated,Zeit abgelaufen,0.17,201,-6,300.5,15,1,20250423-075408
