DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,650000,99999,100,100,50,2,0.5,5,-10,0.1,0,8,3,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Beste_Modelle/M2_R6_O4_A2_TR1_T1_20250411-114143/save-04.11.2025_11.41.43/final_model.zip,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250423-182500

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.06,152,-804,300.5,22,9,20250423-182834
2,kein_Terminated,Zeit abgelaufen,0.12,211,-738,300.5,22,0,20250423-182850
3,kein_Terminated,Zeit abgelaufen,0.22,120,1548,300.5,22,0,20250423-182905
4,kein_Terminated,Zeit abgelaufen,0.25,70,2352,300.5,22,0,20250423-182923
5,kein_Terminated,Zeit abgelaufen,0.28,71,2822,300.5,22,0,20250423-182939
6,kein_Terminated,Zeit abgelaufen,0.21,84,1756,300.5,22,4,20250423-182954
7,kein_Terminated,Zeit abgelaufen,0.09,204,-1036,300.5,23,6,20250423-183010
8,kein_Terminated,Zeit abgelaufen,0.12,190,-492,300.5,23,6,20250423-183025
9,kein_Terminated,Zeit abgelaufen,0.05,290,-2324,300.5,23,9,20250423-183040
10,kein_Terminated,Zeit abgelaufen,0.05,280,-2212,300.5,23,9,20250423-183055
11,kein_Terminated,Zeit abgelaufen,0.16,85,1090,300.5,23,3,20250423-183111
12,kein_Terminated,Zeit abgelaufen,0.13,129,314,300.5,23,3,20250423-183125
13,kein_Terminated,Zeit abgelaufen,0.24,96,1948,300.5,23,2,20250423-183141
14,kein_Terminated,Zeit abgelaufen,0.1,38,788,300.5,22,9,20250423-183157
15,kein_Terminated,Zeit abgelaufen,0.1,147,-258,300.5,22,9,20250423-183212
16,kein_Terminated,Zeit abgelaufen,0.2,82,1668,300.5,22,8,20250423-183228
17,kein_Terminated,Zeit abgelaufen,0.13,127,278,300.5,22,8,20250423-183244
18,kein_Terminated,Zeit abgelaufen,0.15,177,46,300.5,22,4,20250423-183259
