DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_truncated,DEFAULT_Truncated_Version,DEFAULT_Truncated_Wall_Distance,DEFAULT_no_collision_reward
2,300,2,0,50000.0,1,800000.0,99999,20,100,50,2,300,6,0.5,5,-10,TR1,0.19,1

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
1,kein_Terminated,Zeit abgelaufen,0.14,194,-461,21,20250406-214706
2,kein_Terminated,Zeit abgelaufen,0.24,150,736,21,20250406-214715
3,kein_Terminated,Zeit abgelaufen,0.12,311,-1384,21,20250406-214724
4,kein_Terminated,Zeit abgelaufen,0.14,222,-980,21,20250406-214733
5,kein_Terminated,Zeit abgelaufen,0.16,370,-2436,21,20250406-214741
6,kein_Terminated,Zeit abgelaufen,0.17,173,99,21,20250406-214750
7,kein_Terminated,Zeit abgelaufen,0.25,149,903,21,20250406-214759
8,kein_Terminated,Zeit abgelaufen,0.14,248,-1108,21,20250406-214808
9,kein_Terminated,Zeit abgelaufen,0.15,96,758,21,20250406-214816
10,kein_Terminated,Zeit abgelaufen,0.24,100,1241,21,20250406-214825
11,kein_Terminated,Zeit abgelaufen,0.27,106,1598,21,20250406-214834
12,kein_Terminated,Zeit abgelaufen,0.21,100,1409,21,20250406-214843
13,kein_Terminated,Zeit abgelaufen,0.12,76,701,21,20250406-214851
14,kein_Terminated,Zeit abgelaufen,0.22,257,302,21,20250406-214900
15,kein_Terminated,Zeit abgelaufen,0.18,422,-2219,21,20250406-214909
16,kein_Terminated,Zeit abgelaufen,0.2,175,391,21,20250406-214918
17,kein_Terminated,Zeit abgelaufen,0.18,161,1071,21,20250406-214926
18,kein_Terminated,Zeit abgelaufen,0.2,190,701,21,20250406-214935
19,kein_Terminated,Zeit abgelaufen,0.3,29,2345,21,20250406-214944
20,kein_Terminated,Zeit abgelaufen,0.25,30,2004,21,20250406-214953
21,kein_Terminated,Zeit abgelaufen,0.29,207,980,21,20250406-215001
22,kein_Terminated,Zeit abgelaufen,0.35,179,1683,21,20250406-215010
23,kein_Terminated,Zeit abgelaufen,0.23,234,316,21,20250406-215019
24,kein_Terminated,Zeit abgelaufen,0.27,73,1790,21,20250406-215028
25,kein_Terminated,Zeit abgelaufen,0.27,92,1577,21,20250406-215037
26,kein_Terminated,Zeit abgelaufen,0.18,361,-1238,21,20250406-215046
27,kein_Terminated,Zeit abgelaufen,0.22,164,532,21,20250406-215054
28,kein_Terminated,Zeit abgelaufen,0.24,299,-81,21,20250406-215103
29,kein_Terminated,Zeit abgelaufen,0.28,160,1137,21,20250406-215112
30,kein_Terminated,Zeit abgelaufen,0.22,211,462,21,20250406-215121
31,kein_Terminated,Zeit abgelaufen,0.28,176,823,21,20250406-215130
32,kein_Terminated,Zeit abgelaufen,0.17,270,-1017,21,20250406-215138
33,kein_Terminated,Zeit abgelaufen,0.33,255,498,21,20250406-215147
34,kein_Terminated,Zeit abgelaufen,0.12,499,-4057,21,20250406-215156
35,kein_Terminated,Zeit abgelaufen,0.19,162,177,21,20250406-215205
36,kein_Terminated,Zeit abgelaufen,0.27,224,90,21,20250406-215214
37,kein_Terminated,Zeit abgelaufen,0.24,416,-2024,21,20250406-215223
38,kein_Terminated,Zeit abgelaufen,0.29,236,343,21,20250406-215232
39,kein_Terminated,Zeit abgelaufen,0.37,294,339,21,20250406-215241
40,kein_Terminated,Zeit abgelaufen,0.26,254,155,21,20250406-215250
41,kein_Terminated,Zeit abgelaufen,0.31,313,-11,21,20250406-215259
42,kein_Terminated,Zeit abgelaufen,0.28,330,-774,21,20250406-215308
43,kein_Terminated,Zeit abgelaufen,0.3,301,-346,21,20250406-215316
44,kein_Terminated,Zeit abgelaufen,0.36,229,573,21,20250406-215325
45,kein_Terminated,Zeit abgelaufen,0.25,128,1039,21,20250406-215334
46,kein_Terminated,Zeit abgelaufen,0.27,404,-1375,21,20250406-215343
47,kein_Terminated,Zeit abgelaufen,0.3,172,947,21,20250406-215352
48,kein_Terminated,Zeit abgelaufen,0.25,389,-1119,21,20250406-215401
49,kein_Terminated,Zeit abgelaufen,0.32,391,-746,21,20250406-215410
50,kein_Terminated,Zeit abgelaufen,0.38,241,936,21,20250406-215419
51,kein_Terminated,Zeit abgelaufen,0.36,319,-346,21,20250406-215428
52,kein_Terminated,Zeit abgelaufen,0.35,383,-1116,21,20250406-215437
53,kein_Terminated,Zeit abgelaufen,0.21,465,-3046,21,20250406-215446
54,kein_Terminated,Zeit abgelaufen,0.28,395,-1562,21,20250406-215455
55,kein_Terminated,Zeit abgelaufen,0.27,419,-1405,21,20250406-215504
56,kein_Terminated,Zeit abgelaufen,0.21,339,-1623,21,20250406-215513
57,kein_Terminated,Zeit abgelaufen,0.19,469,-2907,21,20250406-215522
58,kein_Terminated,Zeit abgelaufen,0.26,389,-1802,21,20250406-215531
59,kein_Terminated,Zeit abgelaufen,0.12,559,-4461,21,20250406-215540
60,kein_Terminated,Zeit abgelaufen,0.16,523,-3814,21,20250406-215549
61,kein_Terminated,Zeit abgelaufen,0.23,435,-2522,21,20250406-215558
62,kein_Terminated,Zeit abgelaufen,0.17,517,-3716,21,20250406-215607
63,kein_Terminated,Zeit abgelaufen,0.13,587,-4836,21,20250406-215616
64,kein_Terminated,Zeit abgelaufen,0.19,545,-3846,21,20250406-215625
65,kein_Terminated,Zeit abgelaufen,0.19,514,-3472,21,20250406-215634
66,kein_Terminated,Zeit abgelaufen,0.26,478,-2749,21,20250406-215643
67,kein_Terminated,Zeit abgelaufen,0.25,517,-2878,21,20250406-215652
68,kein_Terminated,Zeit abgelaufen,0.1,550,-4853,21,20250406-215702
69,kein_Terminated,Zeit abgelaufen,0.15,508,-4108,21,20250406-215711
70,kein_Terminated,Zeit abgelaufen,0.14,549,-4552,21,20250406-215720
71,kein_Terminated,Zeit abgelaufen,0.13,508,-4129,21,20250406-215729
72,kein_Terminated,Zeit abgelaufen,0.17,512,-3859,21,20250406-215738
73,kein_Terminated,Zeit abgelaufen,0.28,474,-2151,21,20250406-215747
74,kein_Terminated,Zeit abgelaufen,0.2,500,-3030,21,20250406-215756
75,kein_Terminated,Zeit abgelaufen,0.13,531,-4439,21,20250406-215805
76,kein_Terminated,Zeit abgelaufen,0.16,533,-4150,21,20250406-215814
77,kein_Terminated,Zeit abgelaufen,0.1,551,-4882,21,20250406-215823
78,kein_Terminated,Zeit abgelaufen,0.09,565,-5047,21,20250406-215833
79,kein_Terminated,Zeit abgelaufen,0.08,575,-5218,21,20250406-215842
80,kein_Terminated,Zeit abgelaufen,0.12,533,-4531,21,20250406-215851
81,kein_Terminated,Zeit abgelaufen,0.12,545,-4646,21,20250406-215900
82,kein_Terminated,Zeit abgelaufen,0.18,489,-3554,21,20250406-215909
83,kein_Terminated,Zeit abgelaufen,0.16,562,-4442,21,20250406-215918
1,kein_Terminated,Zeit abgelaufen,0.07,573,-5304,21,20250406-215930
84,kein_Terminated,Zeit abgelaufen,0.12,552,-4665,21,20250406-215937
85,kein_Terminated,Zeit abgelaufen,0.14,581,-4845,21,20250406-215946
86,kein_Terminated,Zeit abgelaufen,0.14,559,-4524,21,20250406-215955
87,kein_Terminated,Zeit abgelaufen,0.13,542,-4503,21,20250406-220004
88,kein_Terminated,Zeit abgelaufen,0.18,540,-4132,21,20250406-220013
89,kein_Terminated,Zeit abgelaufen,0.05,588,-5572,21,20250406-220023
90,kein_Terminated,Zeit abgelaufen,0.03,593,-5775,21,20250406-220032
91,kein_Terminated,Zeit abgelaufen,0.04,587,-5617,21,20250406-220041
92,kein_Terminated,Zeit abgelaufen,0.04,590,-5668,21,20250406-220050
93,kein_Terminated,Zeit abgelaufen,0.17,530,-4034,21,20250406-220100
94,kein_Terminated,Zeit abgelaufen,0.11,575,-4996,21,20250406-220109
95,kein_Terminated,Zeit abgelaufen,0.12,541,-4629,21,20250406-220118
96,kein_Terminated,Zeit abgelaufen,0.03,599,-5822,21,20250406-220127
97,kein_Terminated,Zeit abgelaufen,0.09,572,-5090,21,20250406-220136
98,kein_Terminated,Zeit abgelaufen,0.12,547,-4579,21,20250406-220146
99,kein_Terminated,Zeit abgelaufen,0.17,549,-4253,21,20250406-220155
100,kein_Terminated,Zeit abgelaufen,0.13,539,-4509,21,20250406-220204
101,kein_Terminated,Zeit abgelaufen,0.02,602,-5904,21,20250406-220213
102,kein_Terminated,Zeit abgelaufen,0.05,595,-5620,21,20250406-220223
103,kein_Terminated,Zeit abgelaufen,0.02,601,-5925,21,20250406-220232
104,kein_Terminated,Zeit abgelaufen,0.02,602,-5943,21,20250406-220241
