DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,650000,99999,100,100,50,2,0.5,5,-10,0.1,0,8,3,False,,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250423-004900

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.09,197,-910,300.5,0,3,20250424-101747
2,kein_Terminated,Zeit abgelaufen,0.22,56,2244,300.5,0,5,20250424-101801
3,kein_Terminated,Zeit abgelaufen,0.15,29,1562,300.5,0,5,20250424-101815
4,kein_Terminated,Zeit abgelaufen,0.09,132,-272,300.5,0,6,20250424-101912
5,kein_Terminated,Zeit abgelaufen,0.16,172,292,300.5,0,6,20250424-101929
6,kein_Terminated,Zeit abgelaufen,0.08,139,-454,300.5,0,0,20250424-102017
7,kein_Terminated,Zeit abgelaufen,0.19,90,1352,300.5,15,5,20250424-102032
8,kein_Terminated,Zeit abgelaufen,0.13,187,-358,300.5,15,5,20250424-102051
9,kein_Terminated,Zeit abgelaufen,0.15,73,1022,300.5,15,8,20250424-102106
10,kein_Terminated,Zeit abgelaufen,0.2,61,1874,300.5,15,8,20250424-102149
11,kein_Terminated,Zeit abgelaufen,0.12,178,-304,300.5,15,7,20250424-102230
12,kein_Terminated,Zeit abgelaufen,0.1,252,-1372,300.5,15,7,20250424-102314
13,kein_Terminated,Zeit abgelaufen,0.1,162,-460,300.5,15,1,20250424-102352
14,kein_Terminated,Zeit abgelaufen,0.14,40,1200,300.5,26,6,20250424-102435
15,kein_Terminated,Zeit abgelaufen,0.15,54,1212,300.5,26,6,20250424-102516
16,kein_Terminated,Zeit abgelaufen,0.19,113,990,300.5,26,7,20250424-102534
17,kein_Terminated,Zeit abgelaufen,0.18,94,1044,300.5,26,7,20250424-102552
18,kein_Terminated,Zeit abgelaufen,0.13,145,18,300.5,26,4,20250424-102640
19,kein_Terminated,Zeit abgelaufen,0.07,173,-954,300.5,26,4,20250424-102726
20,kein_Terminated,Zeit abgelaufen,0.11,181,-608,300.5,26,3,20250424-102813
21,kein_Terminated,Zeit abgelaufen,0.27,57,2514,300.5,26,6,20250424-102859
22,kein_Terminated,Zeit abgelaufen,0.23,61,2038,300.5,26,6,20250424-102942
23,kein_Terminated,Zeit abgelaufen,0.24,156,1180,300.5,26,1,20250424-103020
24,kein_Terminated,Zeit abgelaufen,0.26,90,2156,300.5,26,1,20250424-103106
25,kein_Terminated,Zeit abgelaufen,0.11,37,866,300.5,26,8,20250424-103155
26,kein_Terminated,Zeit abgelaufen,0.09,78,180,300.5,26,8,20250424-103241
27,kein_Terminated,Zeit abgelaufen,0.11,141,-250,300.5,26,6,20250424-103325
28,kein_Terminated,Zeit abgelaufen,0.18,122,976,300.5,0,2,20250424-103409
29,kein_Terminated,Zeit abgelaufen,0.19,254,-172,300.5,0,2,20250424-103453
30,kein_Terminated,Zeit abgelaufen,0.21,158,1044,300.5,0,2,20250424-103536
31,kein_Terminated,Zeit abgelaufen,0.24,90,2132,300.5,0,2,20250424-103619
32,kein_Terminated,Zeit abgelaufen,0.14,61,1118,300.5,0,3,20250424-103701
33,kein_Terminated,Zeit abgelaufen,0.17,103,1066,300.5,0,3,20250424-103744
34,kein_Terminated,Zeit abgelaufen,0.17,71,1350,300.5,0,7,20250424-103829
35,kein_Terminated,Zeit abgelaufen,0.15,87,1010,300.5,8,9,20250424-103913
36,kein_Terminated,Zeit abgelaufen,0.14,28,1384,300.5,8,9,20250424-103958
37,kein_Terminated,Zeit abgelaufen,0.14,162,112,300.5,8,5,20250424-104035
38,kein_Terminated,Zeit abgelaufen,0.17,53,1566,300.5,8,5,20250424-104118
39,kein_Terminated,Zeit abgelaufen,0.21,65,1954,300.5,8,5,20250424-104156
40,kein_Terminated,Zeit abgelaufen,0.11,163,-266,300.5,8,5,20250424-104237
41,kein_Terminated,Zeit abgelaufen,0.22,20,2516,300.5,8,3,20250424-104319
42,kein_Terminated,Zeit abgelaufen,0.22,119,1490,300.5,8,0,20250424-104402
43,kein_Terminated,Zeit abgelaufen,0.23,50,2392,300.5,8,0,20250424-104445
44,kein_Terminated,Zeit abgelaufen,0.24,76,2212,300.5,8,0,20250424-104522
45,kein_Terminated,Zeit abgelaufen,0.21,96,1664,300.5,8,0,20250424-104605
46,kein_Terminated,Zeit abgelaufen,0.17,65,1382,300.5,8,4,20250424-104639
47,kein_Terminated,Zeit abgelaufen,0.21,35,2306,300.5,8,4,20250424-104653
48,kein_Terminated,Zeit abgelaufen,0.14,50,1212,300.5,8,7,20250424-104707
49,kein_Terminated,Zeit abgelaufen,0.16,56,1448,300.5,0,9,20250424-104721
50,kein_Terminated,Zeit abgelaufen,0.16,73,1254,300.5,0,9,20250424-104735
51,kein_Terminated,Zeit abgelaufen,0.15,31,1534,300.5,0,9,20250424-104749
52,kein_Terminated,Zeit abgelaufen,0.19,21,2142,300.5,0,9,20250424-104803
53,kein_Terminated,Zeit abgelaufen,0.17,141,698,300.5,0,2,20250424-104817
54,kein_Terminated,Zeit abgelaufen,0.17,111,994,300.5,0,2,20250424-104831
55,kein_Terminated,Zeit abgelaufen,0.15,35,1490,300.5,0,8,20250424-104845
56,kein_Terminated,Zeit abgelaufen,0.24,46,2328,300.5,26,4,20250424-104903
57,kein_Terminated,Zeit abgelaufen,0.03,473,-4430,300.5,26,4,20250424-104920
58,kein_Terminated,Zeit abgelaufen,0.19,57,1622,300.5,26,6,20250424-104938
59,kein_Terminated,Zeit abgelaufen,0.18,73,1354,300.5,26,6,20250424-104956
60,kein_Terminated,Zeit abgelaufen,0.11,265,-1450,300.5,26,3,20250424-105013
61,kein_Terminated,Zeit abgelaufen,0.12,179,-418,300.5,26,3,20250424-105030
62,kein_Terminated,Zeit abgelaufen,0.13,180,-356,300.5,26,3,20250424-105048
63,kein_Terminated,Zeit abgelaufen,0.14,8,1640,300.5,5,9,20250424-105102
64,kein_Terminated,Zeit abgelaufen,0.18,0,2200,300.5,5,9,20250424-105116
65,kein_Terminated,Zeit abgelaufen,0.17,0,2112,300.5,5,3,20250424-105131
66,kein_Terminated,Zeit abgelaufen,0.2,0,2488,300.5,5,3,20250424-105144
67,kein_Terminated,Zeit abgelaufen,0.19,88,1564,300.5,5,7,20250424-105158
68,kein_Terminated,Zeit abgelaufen,0.19,94,1472,300.5,5,7,20250424-105212
69,kein_Terminated,Zeit abgelaufen,0.32,12,4004,300.5,5,5,20250424-105226
70,kein_Terminated,Zeit abgelaufen,0.08,149,-586,300.5,8,2,20250424-105239
71,kein_Terminated,Zeit abgelaufen,0.1,126,-24,300.5,8,2,20250424-105253
72,kein_Terminated,Zeit abgelaufen,0.22,40,2388,300.5,8,6,20250424-105307
73,kein_Terminated,Zeit abgelaufen,0.27,11,3270,300.5,8,6,20250424-105321
74,kein_Terminated,Zeit abgelaufen,0.24,46,2492,300.5,8,4,20250424-105335
75,kein_Terminated,Zeit abgelaufen,0.23,36,2484,300.5,8,4,20250424-105350
76,kein_Terminated,Zeit abgelaufen,0.2,62,1848,300.5,8,4,20250424-105404
77,kein_Terminated,Zeit abgelaufen,0.23,54,2380,300.5,8,0,20250424-105418
78,kein_Terminated,Zeit abgelaufen,0.27,95,2474,300.5,8,0,20250424-105432
79,kein_Terminated,Zeit abgelaufen,0.12,62,800,300.5,8,2,20250424-105447
80,kein_Terminated,Zeit abgelaufen,0.14,144,224,300.5,8,2,20250424-105501
81,kein_Terminated,Zeit abgelaufen,0.17,74,1316,300.5,8,8,20250424-105516
82,kein_Terminated,Zeit abgelaufen,0.19,59,1778,300.5,8,8,20250424-105530
83,kein_Terminated,Zeit abgelaufen,0.12,100,456,300.5,8,2,20250424-105545
1,kein_Terminated,Zeit abgelaufen,0.15,21,1594,300.5,0,9,20250424-105602
84,kein_Terminated,Zeit abgelaufen,0.16,52,1392,300.5,15,7,20250424-105614
85,kein_Terminated,Zeit abgelaufen,0.11,314,-1824,300.5,15,7,20250424-105629
86,kein_Terminated,Zeit abgelaufen,0.25,145,1570,300.5,15,1,20250424-105643
87,kein_Terminated,Zeit abgelaufen,0.19,142,920,300.5,15,1,20250424-105657
88,kein_Terminated,Zeit abgelaufen,0.15,114,684,300.5,15,4,20250424-105712
89,kein_Terminated,Zeit abgelaufen,0.14,62,1072,300.5,15,4,20250424-105727
90,kein_Terminated,Zeit abgelaufen,0.19,40,1876,300.5,15,5,20250424-105742
91,kein_Terminated,Zeit abgelaufen,0.15,182,28,300.5,5,3,20250424-105757
92,kein_Terminated,Zeit abgelaufen,0.17,43,1706,300.5,5,3,20250424-105811
93,kein_Terminated,Zeit abgelaufen,0.12,0,1440,300.5,5,8,20250424-105825
94,kein_Terminated,Zeit abgelaufen,0.12,26,1252,300.5,5,8,20250424-105839
95,kein_Terminated,Zeit abgelaufen,0.17,20,1864,300.5,5,3,20250424-105853
96,kein_Terminated,Zeit abgelaufen,0.15,0,1820,300.5,5,3,20250424-105907
97,kein_Terminated,Zeit abgelaufen,0.12,0,1408,300.5,5,2,20250424-105922
98,kein_Terminated,Zeit abgelaufen,0.15,0,1904,300.5,5,3,20250424-105936
99,kein_Terminated,Zeit abgelaufen,0.18,21,2114,300.5,5,3,20250424-105950
100,kein_Terminated,Zeit abgelaufen,0.2,2,2544,300.5,5,4,20250424-110004
101,kein_Terminated,Zeit abgelaufen,0.21,45,2138,300.5,5,4,20250424-110019
102,kein_Terminated,Zeit abgelaufen,0.17,18,1908,300.5,5,4,20250424-110033
103,kein_Terminated,Zeit abgelaufen,0.17,13,2006,300.5,5,4,20250424-110047
104,kein_Terminated,Zeit abgelaufen,0.18,82,1412,300.5,5,3,20250424-110101
105,kein_Terminated,Zeit abgelaufen,0.2,20,2360,300.5,8,8,20250424-110115
106,kein_Terminated,Zeit abgelaufen,0.19,40,1972,300.5,8,8,20250424-110130
107,kein_Terminated,Zeit abgelaufen,0.11,21,1138,300.5,8,7,20250424-110144
108,kein_Terminated,Zeit abgelaufen,0.09,17,918,300.5,8,7,20250424-110159
