DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step
2,300,2,-1,50000.0,1,100000.0,99999,20,100,50,2,300,1,1,0.01

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number
1,kein_Terminated,Zeit abgelaufen,0.26,174,124.93143812136627,21
2,kein_Terminated,Zeit abgelaufen,0.53,211,1622.0029804439769,21
3,kein_Terminated,Zeit abgelaufen,0.36,331,-598.871857656313,21
4,kein_Terminated,Zeit abgelaufen,0.36,255,303.76052556344695,21
5,kein_Terminated,Zeit abgelaufen,0.38,282,421.24730415353736,21
6,kein_Terminated,Zeit abgelaufen,0.39,245,184.9242591802045,21
7,kein_Terminated,Zeit abgelaufen,0.33,303,-213.10134927010952,21
8,kein_Terminated,Zeit abgelaufen,0.31,254,-461.73213370084443,21
9,kein_Terminated,Zeit abgelaufen,0.43,305,-71.93783455150746,21
10,kein_Terminated,Zeit abgelaufen,0.32,205,163.40815021671165,21
11,kein_Terminated,Zeit abgelaufen,0.3,209,-7.785828235513187,21
12,kein_Terminated,Zeit abgelaufen,0.47,305,408.136463480556,21
13,kein_Terminated,Zeit abgelaufen,0.46,330,294.0875983586986,21
14,kein_Terminated,Zeit abgelaufen,0.47,353,-502.41203568346566,21
15,kein_Terminated,Zeit abgelaufen,0.44,124,1647.1049286785171,21
16,kein_Terminated,Zeit abgelaufen,0.43,251,440.22132378115714,21
17,kein_Terminated,Zeit abgelaufen,0.36,182,864.3034017597022,21
18,kein_Terminated,Zeit abgelaufen,0.41,393,-1077.6149675849979,21
19,kein_Terminated,Zeit abgelaufen,0.4,194,439.1268514536877,21
20,kein_Terminated,Zeit abgelaufen,0.42,189,742.7840459761624,21
21,kein_Terminated,Zeit abgelaufen,0.27,113,562.9213996425445,21
22,kein_Terminated,Zeit abgelaufen,0.38,231,251.44541290093764,21
23,kein_Terminated,Zeit abgelaufen,0.52,197,1421.7455060358118,21
24,kein_Terminated,Zeit abgelaufen,0.33,124,665.074530460061,21
25,kein_Terminated,Zeit abgelaufen,0.55,294,690.1747588237129,21
26,kein_Terminated,Zeit abgelaufen,0.48,287,267.84826515823073,21
27,kein_Terminated,Zeit abgelaufen,0.54,285,477.9181679592588,21
