DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step
2,300,2,-1,50000.0,1,100000.0,99999,20,100,50,2,300,5,1,0.01

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number
1,kein_Terminated,Zeit abgelaufen,0.39,222,-5458.221722715348,21
2,kein_Terminated,Zeit abgelaufen,0.42,256,-6400.142873817678,21
3,kein_Terminated,Zeit abgelaufen,0.39,400,-10052.909992497984,21
4,kein_Terminated,Zeit abgelaufen,0.45,134,-2061.6245857113827,21
5,kein_Terminated,Zeit abgelaufen,0.57,130,-1309.2097435943017,21
6,kein_Terminated,Zeit abgelaufen,0.4,146,-2247.088806142845,21
7,kein_Terminated,Zeit abgelaufen,0.51,278,-6852.197792203466,21
8,kein_Terminated,Zeit abgelaufen,0.32,283,-7846.026074418634,21
9,kein_Terminated,Zeit abgelaufen,0.46,322,-10497.680941421324,21
10,kein_Terminated,Zeit abgelaufen,0.43,254,-7316.49145996556,21
11,kein_Terminated,Zeit abgelaufen,0.44,307,-9949.43461274782,21
12,kein_Terminated,Zeit abgelaufen,0.3,236,-5932.696145124726,21
13,kein_Terminated,Zeit abgelaufen,0.37,107,-813.6147859246046,21
14,kein_Terminated,Zeit abgelaufen,0.34,225,-6752.794690277144,21
15,kein_Terminated,Zeit abgelaufen,0.41,162,-4213.2934038297935,21
16,kein_Terminated,Zeit abgelaufen,0.2,0,701.3333333333336,21
17,kein_Terminated,Zeit abgelaufen,0.39,191,-3169.027719870248,21
18,kein_Terminated,Zeit abgelaufen,0.23,177,-3565.6077097505704,21
19,kein_Terminated,Zeit abgelaufen,0.25,113,-704.0153882441092,21
20,kein_Terminated,Zeit abgelaufen,0.27,37,545.1655328798195,21
21,kein_Terminated,Zeit abgelaufen,0.35,19,1311.8980097928563,21
22,kein_Terminated,Zeit abgelaufen,0.4,316,-9653.64079868725,21
23,kein_Terminated,Zeit abgelaufen,0.37,133,-732.2040959770533,21
24,kein_Terminated,Zeit abgelaufen,0.38,214,-5824.589884456197,21
25,kein_Terminated,Zeit abgelaufen,0.24,183,-1430.2904609189056,21
26,kein_Terminated,Zeit abgelaufen,0.21,44,345.5685763304759,21
27,kein_Terminated,Zeit abgelaufen,0.43,169,-2663.5693949681445,21
28,kein_Terminated,Zeit abgelaufen,0.3,154,-1985.5315559195312,21
