DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step,DEFAULT_explore_Matrix_Size
2,300,2,-1,50000.0,1,100000.0,99999,20,100,50,2,300,5,1,0.01,5

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number
1,kein_Terminated,Zeit abgelaufen,0.45,164,-2248.6741856010112,21
2,kein_Terminated,Zeit abgelaufen,0.51,275,-5969.146874094876,21
3,kein_Terminated,Zeit abgelaufen,0.54,272,-5640.235590459178,21
4,kein_Terminated,Zeit abgelaufen,0.43,244,-4491.004860944705,21
5,kein_Terminated,Zeit abgelaufen,0.48,367,-9784.662581110262,21
6,kein_Terminated,Zeit abgelaufen,0.48,363,-9969.937329878187,21
7,kein_Terminated,Zeit abgelaufen,0.46,235,-5349.580661685733,21
8,kein_Terminated,Zeit abgelaufen,0.59,359,-8095.144771921575,21
9,kein_Terminated,Zeit abgelaufen,0.53,203,-3922.257746003599,21
10,kein_Terminated,Zeit abgelaufen,0.48,371,-10159.786156292184,21
11,kein_Terminated,Zeit abgelaufen,0.6,240,-5384.899636969548,21
12,kein_Terminated,Zeit abgelaufen,0.37,443,-18569.130379090777,21
13,kein_Terminated,Zeit abgelaufen,0.61,63,2033.263179841377,21
14,kein_Terminated,Zeit abgelaufen,0.66,155,-555.6218157516435,21
15,kein_Terminated,Zeit abgelaufen,0.38,176,-3961.87981859411,21
16,kein_Terminated,Zeit abgelaufen,0.69,234,-3512.2317839785856,21
17,kein_Terminated,Zeit abgelaufen,0.65,264,-5233.576658560637,21
18,kein_Terminated,Zeit abgelaufen,0.56,121,622.5169556100487,21
19,kein_Terminated,Zeit abgelaufen,0.46,60,1195.0627395139122,21
20,kein_Terminated,Zeit abgelaufen,0.68,146,-614.4637913687309,21
21,kein_Terminated,Zeit abgelaufen,0.55,221,-4666.522857637662,21
22,kein_Terminated,Zeit abgelaufen,0.69,94,2358.086037236723,21
23,kein_Terminated,Zeit abgelaufen,0.51,144,-639.3881019859482,21
24,kein_Terminated,Zeit abgelaufen,0.55,56,1792.8701992503647,21
25,kein_Terminated,Zeit abgelaufen,0.74,106,2140.9582202666197,21
26,kein_Terminated,Zeit abgelaufen,0.7,200,-683.7022557626894,21
27,kein_Terminated,Zeit abgelaufen,0.73,393,-12444.000469209159,21
28,kein_Terminated,Zeit abgelaufen,0.63,143,-504.3355516464227,21
29,kein_Terminated,Zeit abgelaufen,0.47,76,513.134995194982,21
30,kein_Terminated,Zeit abgelaufen,0.69,286,-8732.69207682946,21
31,kein_Terminated,Zeit abgelaufen,0.24,553,-24458.260103501743,21
32,kein_Terminated,Zeit abgelaufen,0.42,240,-4577.833489937221,21
