DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size
4,300,2,-1,50000.0,1,400000.0,99999,20,100,50,4,300,2,1,5

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
1,kein_Terminated,Zeit abgelaufen,0.23,357,-2820.434454411966,21,20250404-005449
2,kein_Terminated,Zeit abgelaufen,0.22,396,-3085.9268204041564,21,20250404-005636
3,kein_Terminated,Zeit abgelaufen,0.17,680,-6261.516100375819,21,20250404-005731
4,kein_Terminated,Zeit abgelaufen,0.26,602,-4966.753239016847,21,20250404-005827
5,kein_Terminated,Zeit abgelaufen,0.34,357,-1852.9739955947962,21,20250404-005923
6,kein_Terminated,Zeit abgelaufen,0.48,541,-1924.9941363542546,21,20250404-010018
7,kein_Terminated,Zeit abgelaufen,0.22,665,-5997.011835578761,21,20250404-010114
8,kein_Terminated,Zeit abgelaufen,0.19,945,-8664.238690479537,21,20250404-010210
9,kein_Terminated,Zeit abgelaufen,0.46,529,-3452.7618578330203,21,20250404-010336
10,kein_Terminated,Zeit abgelaufen,0.35,717,-5169.305534064279,21,20250404-010503
11,kein_Terminated,Zeit abgelaufen,0.44,596,-4494.061612652966,21,20250404-010627
12,kein_Terminated,Zeit abgelaufen,0.37,815,-6712.729940496493,21,20250404-010751
13,kein_Terminated,Zeit abgelaufen,0.47,604,-4105.84210492224,21,20250404-010918
14,kein_Terminated,Zeit abgelaufen,0.23,904,-9334.046544545861,21,20250404-011043
15,kein_Terminated,Zeit abgelaufen,0.46,782,-5901.153691828277,21,20250404-011208
16,kein_Terminated,Zeit abgelaufen,0.31,841,-7997.352149509897,21,20250404-011337
17,kein_Terminated,Zeit abgelaufen,0.41,830,-6800.018560312622,21,20250404-011506
18,kein_Terminated,Zeit abgelaufen,0.23,726,-7728.326910253652,21,20250404-011632
19,kein_Terminated,Zeit abgelaufen,0.45,671,-5395.696347412754,21,20250404-011759
20,kein_Terminated,Zeit abgelaufen,0.33,806,-7109.299060341249,21,20250404-011924
21,kein_Terminated,Zeit abgelaufen,0.38,370,-1667.0157792559844,21,20250404-012051
22,kein_Terminated,Zeit abgelaufen,0.37,357,-1475.3516127688988,21,20250404-012221
23,kein_Terminated,Zeit abgelaufen,0.42,710,-6376.587524078066,21,20250404-012351
24,kein_Terminated,Zeit abgelaufen,0.46,417,-1827.107659858255,21,20250404-012520
25,kein_Terminated,Zeit abgelaufen,0.55,624,-3589.104529634753,21,20250404-012652
26,kein_Terminated,Zeit abgelaufen,0.28,965,-11380.505246522853,21,20250404-012824
27,kein_Terminated,Zeit abgelaufen,0.25,1027,-10885.779294699096,21,20250404-012953
28,kein_Terminated,Zeit abgelaufen,0.34,904,-8939.021082264111,21,20250404-013125
29,kein_Terminated,Zeit abgelaufen,0.51,596,-4028.084822285385,21,20250404-013300
30,kein_Terminated,Zeit abgelaufen,0.38,253,-580.9523895815066,21,20250404-013433
31,kein_Terminated,Zeit abgelaufen,0.24,1004,-9156.82301657232,21,20250404-013605
32,kein_Terminated,Zeit abgelaufen,0.42,552,-3433.3887598314127,21,20250404-013741
33,kein_Terminated,Zeit abgelaufen,0.31,184,-742.693871274157,21,20250404-013914
34,kein_Terminated,Zeit abgelaufen,0.34,790,-6510.498540554546,21,20250404-014049
35,kein_Terminated,Zeit abgelaufen,0.46,525,-4170.949854916156,21,20250404-014224
36,kein_Terminated,Zeit abgelaufen,0.44,684,-3943.4219861063566,21,20250404-014401
37,kein_Terminated,Zeit abgelaufen,0.33,971,-9706.375821208498,21,20250404-014538
38,kein_Terminated,Zeit abgelaufen,0.33,1057,-12674.055168065197,21,20250404-014717
39,kein_Terminated,Zeit abgelaufen,0.43,895,-8883.643005376529,21,20250404-014855
40,kein_Terminated,Zeit abgelaufen,0.54,479,-2143.5664273923867,21,20250404-015030
41,kein_Terminated,Zeit abgelaufen,0.53,242,14.398796467471204,21,20250404-015201
1,kein_Terminated,Zeit abgelaufen,0.07,1,-1200.2634008608093,21,20250404-015417
42,kein_Terminated,Zeit abgelaufen,0.4,835,-8778.654526184397,21,20250404-015444
43,kein_Terminated,Zeit abgelaufen,0.58,836,-5801.091323152876,21,20250404-015623
44,kein_Terminated,Zeit abgelaufen,0.57,507,-2308.0557038593956,21,20250404-015803
45,kein_Terminated,Zeit abgelaufen,0.37,760,-8416.592642699392,21,20250404-015941
46,kein_Terminated,Zeit abgelaufen,0.39,706,-6307.739570093631,21,20250404-020120
47,kein_Terminated,Zeit abgelaufen,0.29,1009,-9363.79473529736,21,20250404-020300
48,kein_Terminated,Zeit abgelaufen,0.44,791,-6933.2596006386375,21,20250404-020442
49,kein_Terminated,Zeit abgelaufen,0.4,585,-4601.657121620163,21,20250404-020626
50,kein_Terminated,Zeit abgelaufen,0.44,777,-6203.667603492437,21,20250404-020807
51,kein_Terminated,Zeit abgelaufen,0.45,898,-8976.654281055624,21,20250404-020947
52,kein_Terminated,Zeit abgelaufen,0.42,433,-2485.2103420332173,21,20250404-021127
53,kein_Terminated,Zeit abgelaufen,0.45,102,828.6138531541479,21,20250404-021309
54,kein_Terminated,Zeit abgelaufen,0.11,1170,-15735.595427371698,21,20250404-021454
55,kein_Terminated,Zeit abgelaufen,0.55,398,-816.0257991628105,21,20250404-021637
56,kein_Terminated,Zeit abgelaufen,0.35,758,-7862.940710538318,21,20250404-021822
57,kein_Terminated,Zeit abgelaufen,0.5,168,852.8679454016199,21,20250404-022010
58,kein_Terminated,Zeit abgelaufen,0.14,912,-12320.944407802115,21,20250404-022157
59,kein_Terminated,Zeit abgelaufen,0.63,510,-2285.136760478555,21,20250404-022343
60,kein_Terminated,Zeit abgelaufen,0.34,389,-3053.4909980506645,21,20250404-022532
61,kein_Terminated,Zeit abgelaufen,0.37,996,-11545.512343544051,21,20250404-022716
62,kein_Terminated,Zeit abgelaufen,0.34,749,-5795.669295657709,21,20250404-022903
63,kein_Terminated,Zeit abgelaufen,0.6,766,-6129.632436849764,21,20250404-023047
64,kein_Terminated,Zeit abgelaufen,0.29,987,-10039.60869854123,21,20250404-023234
65,kein_Terminated,Zeit abgelaufen,0.38,1002,-10304.955640038359,21,20250404-023421
66,kein_Terminated,Zeit abgelaufen,0.6,554,-2881.5591828502916,21,20250404-023610
67,kein_Terminated,Zeit abgelaufen,0.43,915,-8186.130041365483,21,20250404-023755
68,kein_Terminated,Zeit abgelaufen,0.42,853,-7997.935823430322,21,20250404-023943
69,kein_Terminated,Zeit abgelaufen,0.35,915,-7946.6678144444095,21,20250404-024130
70,kein_Terminated,Zeit abgelaufen,0.41,976,-8299.278815687969,21,20250404-024318
71,kein_Terminated,Zeit abgelaufen,0.41,628,-5209.922489815535,21,20250404-024505
72,kein_Terminated,Zeit abgelaufen,0.51,653,-4300.393294578239,21,20250404-024654
73,kein_Terminated,Zeit abgelaufen,0.26,785,-9021.548715644205,21,20250404-024844
74,kein_Terminated,Zeit abgelaufen,0.49,652,-5968.711493776242,21,20250404-025035
75,kein_Terminated,Zeit abgelaufen,0.55,523,-1992.7263813306636,21,20250404-025227
76,kein_Terminated,Zeit abgelaufen,0.33,303,-2449.455599097469,21,20250404-025416
77,kein_Terminated,Zeit abgelaufen,0.37,664,-5960.196638840326,21,20250404-025605
78,kein_Terminated,Zeit abgelaufen,0.44,890,-8417.81811117027,21,20250404-025757
79,kein_Terminated,Zeit abgelaufen,0.52,479,-1270.3933475345395,21,20250404-025950
80,kein_Terminated,Zeit abgelaufen,0.46,809,-7736.5731507795335,21,20250404-030145
81,kein_Terminated,Zeit abgelaufen,0.44,582,-4384.173523431061,21,20250404-030338
82,kein_Terminated,Zeit abgelaufen,0.67,346,292.685770859136,21,20250404-030530
83,kein_Terminated,Zeit abgelaufen,0.43,478,-3561.378101098008,21,20250404-030720
2,kein_Terminated,Zeit abgelaufen,0.25,597,-6552.581456021955,21,20250404-030930
84,kein_Terminated,Zeit abgelaufen,0.54,880,-7366.371034886732,21,20250404-031036
85,kein_Terminated,Zeit abgelaufen,0.47,463,-2301.8384733338553,21,20250404-031230
86,kein_Terminated,Zeit abgelaufen,0.46,1012,-10598.451374586357,21,20250404-031425
87,kein_Terminated,Zeit abgelaufen,0.38,407,-3088.234214444382,21,20250404-031619
88,kein_Terminated,Zeit abgelaufen,0.26,221,-1617.104044031522,21,20250404-031817
89,kein_Terminated,Zeit abgelaufen,0.36,755,-6119.315437384731,21,20250404-032010
90,kein_Terminated,Zeit abgelaufen,0.48,270,-515.9672768900548,21,20250404-032207
91,kein_Terminated,Zeit abgelaufen,0.25,137,-966.5650953332236,21,20250404-032400
92,kein_Terminated,Zeit abgelaufen,0.41,839,-9022.115355408054,21,20250404-032554
93,kein_Terminated,Zeit abgelaufen,0.46,740,-6895.072655745337,21,20250404-032750
94,kein_Terminated,Zeit abgelaufen,0.61,326,-309.5445798143678,21,20250404-032948
95,kein_Terminated,Zeit abgelaufen,0.65,419,-863.3443217252296,21,20250404-033144
96,kein_Terminated,Zeit abgelaufen,0.33,788,-8150.337426845338,21,20250404-033340
97,kein_Terminated,Zeit abgelaufen,0.42,276,-218.80211998370612,21,20250404-033535
98,kein_Terminated,Zeit abgelaufen,0.6,185,1494.831391830268,21,20250404-033736
99,kein_Terminated,Zeit abgelaufen,0.4,760,-7977.156092668238,21,20250404-033934
100,kein_Terminated,Zeit abgelaufen,0.45,608,-4420.094021830598,21,20250404-034136
101,kein_Terminated,Zeit abgelaufen,0.5,575,-3826.090858056603,21,20250404-034335
102,kein_Terminated,Zeit abgelaufen,0.59,690,-4685.146149428388,21,20250404-034532
103,kein_Terminated,Zeit abgelaufen,0.3,792,-9592.283093718503,21,20250404-034739
104,kein_Terminated,Zeit abgelaufen,0.63,205,1119.782446718107,21,20250404-034941
105,kein_Terminated,Zeit abgelaufen,0.32,758,-7697.603274967787,21,20250404-035142
106,kein_Terminated,Zeit abgelaufen,0.49,475,-851.007169963243,21,20250404-035341
107,kein_Terminated,Zeit abgelaufen,0.49,715,-6009.690782887656,21,20250404-035543
108,kein_Terminated,Zeit abgelaufen,0.38,1095,-12096.290127097656,21,20250404-035747
109,kein_Terminated,Zeit abgelaufen,0.48,867,-7384.288395384287,21,20250404-035955
110,kein_Terminated,Zeit abgelaufen,0.27,1072,-12725.24755284419,21,20250404-040159
111,kein_Terminated,Zeit abgelaufen,0.45,666,-4472.200176953946,21,20250404-040403
112,kein_Terminated,Zeit abgelaufen,0.42,853,-7422.2707310081105,21,20250404-040607
113,kein_Terminated,Zeit abgelaufen,0.51,683,-5137.097399180647,21,20250404-040809
114,kein_Terminated,Zeit abgelaufen,0.61,571,-2679.8234037748534,21,20250404-041013
115,kein_Terminated,Zeit abgelaufen,0.38,530,-3472.117202274274,21,20250404-041221
116,kein_Terminated,Zeit abgelaufen,0.4,593,-4236.155444057994,21,20250404-041427
117,kein_Terminated,Zeit abgelaufen,0.23,705,-6953.776332733259,21,20250404-041634
118,kein_Terminated,Zeit abgelaufen,0.48,760,-7465.532791509536,21,20250404-041841
119,kein_Terminated,Zeit abgelaufen,0.54,528,-3269.5871112426553,21,20250404-042046
120,kein_Terminated,Zeit abgelaufen,0.5,377,-239.35783897671794,21,20250404-042252
121,kein_Terminated,Zeit abgelaufen,0.29,726,-5700.3107671881535,21,20250404-042502
122,kein_Terminated,Zeit abgelaufen,0.55,528,-1747.4665319019753,21,20250404-042708
123,kein_Terminated,Zeit abgelaufen,0.37,487,-3524.386655134323,21,20250404-042915
124,kein_Terminated,Zeit abgelaufen,0.48,557,-3997.146742783855,21,20250404-043126
3,kein_Terminated,Zeit abgelaufen,0.2,46,-383.7682564376682,21,20250404-043448
125,kein_Terminated,Zeit abgelaufen,0.32,126,-378.0043087600415,21,20250404-043510
126,kein_Terminated,Zeit abgelaufen,0.35,270,-1473.385949309307,21,20250404-043725
127,kein_Terminated,Zeit abgelaufen,0.22,94,-501.47601244355155,21,20250404-043935
128,kein_Terminated,Zeit abgelaufen,0.42,494,-2895.4177326157155,21,20250404-044143
129,kein_Terminated,Zeit abgelaufen,0.55,154,1454.1412328043077,21,20250404-044400
130,kein_Terminated,Zeit abgelaufen,0.52,383,-1415.0804878015565,21,20250404-044606
131,kein_Terminated,Zeit abgelaufen,0.39,175,30.336521060342214,21,20250404-044817
132,kein_Terminated,Zeit abgelaufen,0.36,389,-2971.487970591741,21,20250404-045027
133,kein_Terminated,Zeit abgelaufen,0.3,475,-3738.0162136375934,21,20250404-045242
134,kein_Terminated,Zeit abgelaufen,0.4,587,-3453.892559350608,21,20250404-045456
135,kein_Terminated,Zeit abgelaufen,0.48,639,-2789.9149441688346,21,20250404-045711
136,kein_Terminated,Zeit abgelaufen,0.48,791,-6434.416489298663,21,20250404-045922
137,kein_Terminated,Zeit abgelaufen,0.26,795,-9252.848528883716,21,20250404-050135
138,kein_Terminated,Zeit abgelaufen,0.51,635,-5022.010608537229,21,20250404-050349
139,kein_Terminated,Zeit abgelaufen,0.42,486,-2831.038305680194,21,20250404-050602
140,kein_Terminated,Zeit abgelaufen,0.38,682,-4716.916699013576,21,20250404-050814
141,kein_Terminated,Zeit abgelaufen,0.32,837,-5023.058006507563,21,20250404-051027
142,kein_Terminated,Zeit abgelaufen,0.36,252,-1691.0221226156725,21,20250404-051238
143,kein_Terminated,Zeit abgelaufen,0.23,292,-2016.799103518392,21,20250404-051455
144,kein_Terminated,Zeit abgelaufen,0.35,490,-2988.50935540765,21,20250404-051710
145,kein_Terminated,Zeit abgelaufen,0.53,412,-1080.7732800427061,21,20250404-051929
146,kein_Terminated,Zeit abgelaufen,0.45,536,-2536.2267890489793,21,20250404-052146
147,kein_Terminated,Zeit abgelaufen,0.57,609,-4266.056000168469,21,20250404-052402
148,kein_Terminated,Zeit abgelaufen,0.55,611,-2979.392186630751,21,20250404-052619
149,kein_Terminated,Zeit abgelaufen,0.36,818,-6218.313228401911,21,20250404-052832
150,kein_Terminated,Zeit abgelaufen,0.42,316,-1227.855669425924,21,20250404-053052
151,kein_Terminated,Zeit abgelaufen,0.63,511,-2464.756254383182,21,20250404-053310
152,kein_Terminated,Zeit abgelaufen,0.67,335,156.89318908414552,21,20250404-053528
153,kein_Terminated,Zeit abgelaufen,0.53,139,1131.8525824159258,21,20250404-053749
154,kein_Terminated,Zeit abgelaufen,0.37,125,73.41587856341265,21,20250404-054006
155,kein_Terminated,Zeit abgelaufen,0.36,747,-8367.979683147809,21,20250404-054227
156,kein_Terminated,Zeit abgelaufen,0.46,147,561.6994532761162,21,20250404-054448
157,kein_Terminated,Zeit abgelaufen,0.58,356,-792.6299759906614,21,20250404-054714
158,kein_Terminated,Zeit abgelaufen,0.11,1161,-15538.800255824479,21,20250404-054937
159,kein_Terminated,Zeit abgelaufen,0.46,236,170.21525228098875,21,20250404-055157
160,kein_Terminated,Zeit abgelaufen,0.51,226,698.6688343050506,21,20250404-055415
161,kein_Terminated,Zeit abgelaufen,0.28,285,-1033.0721118449624,21,20250404-055639
162,kein_Terminated,Zeit abgelaufen,0.39,399,-2600.704466952825,21,20250404-055902
163,kein_Terminated,Zeit abgelaufen,0.41,851,-8445.035093753486,21,20250404-060128
164,kein_Terminated,Zeit abgelaufen,0.47,557,-2456.313125628627,21,20250404-060351
165,kein_Terminated,Zeit abgelaufen,0.34,793,-7343.412414801992,21,20250404-060617
166,kein_Terminated,Zeit abgelaufen,0.14,1145,-12559.536241504253,21,20250404-060844
4,kein_Terminated,Zeit abgelaufen,0.1,19,-828.3797996135047,21,20250404-061151
167,kein_Terminated,Zeit abgelaufen,0.22,1128,-14009.21850921142,21,20250404-061301
168,kein_Terminated,Zeit abgelaufen,0.29,881,-6051.541243399376,21,20250404-061524
169,kein_Terminated,Zeit abgelaufen,0.39,283,-1342.4535719135401,21,20250404-061751
170,kein_Terminated,Zeit abgelaufen,0.43,696,-6684.529513870158,21,20250404-062016
171,kein_Terminated,Zeit abgelaufen,0.44,492,-1595.6776442457585,21,20250404-062238
172,kein_Terminated,Zeit abgelaufen,0.51,523,-2825.1190753475103,21,20250404-062507
173,kein_Terminated,Zeit abgelaufen,0.29,714,-6072.374887850109,21,20250404-062737
174,kein_Terminated,Zeit abgelaufen,0.46,365,-682.6374766699038,21,20250404-062959
175,kein_Terminated,Zeit abgelaufen,0.22,136,-754.0953024760952,21,20250404-063230
176,kein_Terminated,Zeit abgelaufen,0.55,384,-276.4425784362507,21,20250404-063457
177,kein_Terminated,Zeit abgelaufen,0.5,623,-3901.575914599264,21,20250404-063729
178,kein_Terminated,Zeit abgelaufen,0.1,1170,-15466.15034276311,21,20250404-063958
179,kein_Terminated,Zeit abgelaufen,0.43,381,-2139.4470796848427,21,20250404-064231
180,kein_Terminated,Zeit abgelaufen,0.38,966,-10202.373657295104,21,20250404-064502
181,kein_Terminated,Zeit abgelaufen,0.43,353,-2070.76601194608,21,20250404-064733
182,kein_Terminated,Zeit abgelaufen,0.53,369,-1547.8770548597172,21,20250404-065002
183,kein_Terminated,Zeit abgelaufen,0.41,316,-788.1604829603158,21,20250404-065234
184,kein_Terminated,Zeit abgelaufen,0.28,301,-1601.708693102963,21,20250404-065511
185,kein_Terminated,Zeit abgelaufen,0.47,666,-4149.6372758135885,21,20250404-065741
186,kein_Terminated,Zeit abgelaufen,0.56,380,-678.2786402413005,21,20250404-070012
187,kein_Terminated,Zeit abgelaufen,0.39,365,-2123.040371522626,21,20250404-070242
188,kein_Terminated,Zeit abgelaufen,0.54,365,293.1371516134239,21,20250404-070520
189,kein_Terminated,Zeit abgelaufen,0.48,562,-2161.487240902351,21,20250404-070753
190,kein_Terminated,Zeit abgelaufen,0.53,490,-2340.335846782959,21,20250404-071026
191,kein_Terminated,Zeit abgelaufen,0.19,48,-400.45673306972526,21,20250404-071255
192,kein_Terminated,Zeit abgelaufen,0.53,173,600.166203016084,21,20250404-071527
193,kein_Terminated,Zeit abgelaufen,0.37,199,-923.8742209851821,21,20250404-071803
194,kein_Terminated,Zeit abgelaufen,0.46,228,75.49758570485427,21,20250404-072037
195,kein_Terminated,Zeit abgelaufen,0.52,117,1541.5880862924096,21,20250404-072310
196,kein_Terminated,Zeit abgelaufen,0.43,73,967.9986858749864,21,20250404-072546
197,kein_Terminated,Zeit abgelaufen,0.29,304,-1345.6316681067806,21,20250404-072818
198,kein_Terminated,Zeit abgelaufen,0.27,267,-1672.825291006496,21,20250404-073047
199,kein_Terminated,Zeit abgelaufen,0.21,490,-4186.83724633859,21,20250404-073323
200,kein_Terminated,Zeit abgelaufen,0.58,243,332.18914729969003,21,20250404-073559
201,kein_Terminated,Zeit abgelaufen,0.58,987,-8444.139924893507,21,20250404-073838
202,kein_Terminated,Zeit abgelaufen,0.31,202,-205.83721196475784,21,20250404-074111
203,kein_Terminated,Zeit abgelaufen,0.46,298,210.63391710136642,21,20250404-074352
204,kein_Terminated,Zeit abgelaufen,0.36,475,-3808.041453071444,21,20250404-074632
205,kein_Terminated,Zeit abgelaufen,0.45,455,-1975.8481994303704,21,20250404-074906
206,kein_Terminated,Zeit abgelaufen,0.66,336,150.55302775221801,21,20250404-075138
207,kein_Terminated,Zeit abgelaufen,0.47,122,1043.5823103220994,21,20250404-075419
5,kein_Terminated,Zeit abgelaufen,0.43,954,-10201.698355036102,21,20250404-075849
208,kein_Terminated,Zeit abgelaufen,0.64,384,404.2771375036269,21,20250404-075858
209,kein_Terminated,Zeit abgelaufen,0.4,552,-4961.811657103723,21,20250404-080136
210,kein_Terminated,Zeit abgelaufen,0.43,238,-1123.5417578204306,21,20250404-080420
211,kein_Terminated,Zeit abgelaufen,0.49,669,-5119.287082642707,21,20250404-080656
212,kein_Terminated,Zeit abgelaufen,0.6,430,-2211.073800098463,21,20250404-080930
213,kein_Terminated,Zeit abgelaufen,0.64,648,-2886.1042561718214,21,20250404-081153
214,kein_Terminated,Zeit abgelaufen,0.55,357,-251.57741412461053,21,20250404-081403
215,kein_Terminated,Zeit abgelaufen,0.38,193,-229.53977547346005,21,20250404-081624
216,kein_Terminated,Zeit abgelaufen,0.45,630,-4711.68851291821,21,20250404-081841
217,kein_Terminated,Zeit abgelaufen,0.57,537,-3027.6827818724296,21,20250404-082108
218,kein_Terminated,Zeit abgelaufen,0.45,579,-3639.962787375877,21,20250404-082320
219,kein_Terminated,Zeit abgelaufen,0.47,174,850.6976975198735,21,20250404-082608
220,kein_Terminated,Zeit abgelaufen,0.72,146,2249.069671475889,21,20250404-082850
221,kein_Terminated,Zeit abgelaufen,0.55,451,-2533.658469504012,21,20250404-083131
222,kein_Terminated,Zeit abgelaufen,0.35,898,-8514.253917640568,21,20250404-083422
