DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_NUMBER_LAST_ACTIONS
2,300,4,-0.5,50000.0,1,172800,99999999999999,20,100,50,2,300,2,0.5,5,-100,0.15,1,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.16,159,-10328.0,300.5,21,20250409-141347
2,kein_Terminated,Zeit abgelaufen,0.22,245,-14486.0,300.5,21,20250409-141404
3,kein_Terminated,Zeit abgelaufen,0.23,195,-6767.0,300.5,21,20250409-141420
4,kein_Terminated,Zeit abgelaufen,0.2,146,-5970.0,300.5,21,20250409-141446
5,kein_Terminated,Zeit abgelaufen,0.26,139,-1644.0,300.5,21,20250409-141509
6,kein_Terminated,Zeit abgelaufen,0.22,107,-1675.0,300.5,21,20250409-141528
7,kein_Terminated,Zeit abgelaufen,0.21,190,-1480.0,300.5,21,20250409-141548
8,kein_Terminated,Zeit abgelaufen,0.21,324,-15635.0,300.5,21,20250409-141606
9,kein_Terminated,Zeit abgelaufen,0.19,137,-5088.0,300.5,21,20250409-141625
10,kein_Terminated,Zeit abgelaufen,0.26,187,-2758.0,300.5,21,20250409-141642
11,kein_Terminated,Zeit abgelaufen,0.28,160,-4491.0,300.5,21,20250409-141658
12,kein_Terminated,Zeit abgelaufen,0.26,158,-2638.0,300.5,21,20250409-141717
13,kein_Terminated,Zeit abgelaufen,0.35,216,-6354.0,300.5,21,20250409-141734
14,kein_Terminated,Zeit abgelaufen,0.29,157,-1668.0,300.5,21,20250409-141752
15,kein_Terminated,Zeit abgelaufen,0.23,164,-4193.0,300.5,21,20250409-141809
16,kein_Terminated,Zeit abgelaufen,0.31,153,-2547.0,300.5,21,20250409-141827
17,kein_Terminated,Zeit abgelaufen,0.29,55,2877.0,300.5,21,20250409-141845
18,kein_Terminated,Zeit abgelaufen,0.34,204,-6336.0,300.5,21,20250409-141902
19,kein_Terminated,Zeit abgelaufen,0.35,219,-8580.0,300.5,21,20250409-141918
20,kein_Terminated,Zeit abgelaufen,0.29,134,-621.0,300.5,21,20250409-142016
21,kein_Terminated,Zeit abgelaufen,0.32,169,1152.0,300.5,21,20250409-142033
22,kein_Terminated,Zeit abgelaufen,0.32,113,1310.0,300.5,21,20250409-142050
23,kein_Terminated,Zeit abgelaufen,0.26,124,2902.0,300.5,21,20250409-142108
24,kein_Terminated,Zeit abgelaufen,0.31,184,814.0,300.5,21,20250409-142130
25,kein_Terminated,Zeit abgelaufen,0.32,227,-2827.0,300.5,21,20250409-142149
26,kein_Terminated,Zeit abgelaufen,0.28,159,976.0,300.5,21,20250409-142207
27,kein_Terminated,Zeit abgelaufen,0.28,154,-645.0,300.5,21,20250409-142225
28,kein_Terminated,Zeit abgelaufen,0.48,125,3033.0,300.5,21,20250409-142247
29,kein_Terminated,Zeit abgelaufen,0.32,199,-5522.0,300.5,21,20250409-142305
30,kein_Terminated,Zeit abgelaufen,0.4,148,-59.0,300.5,21,20250409-142324
31,kein_Terminated,Zeit abgelaufen,0.46,196,-737.0,300.5,21,20250409-142344
32,kein_Terminated,Zeit abgelaufen,0.39,201,3033.0,300.5,21,20250409-142402
33,kein_Terminated,Zeit abgelaufen,0.42,108,1406.0,300.5,21,20250409-142422
34,kein_Terminated,Zeit abgelaufen,0.41,173,-4375.0,300.5,21,20250409-142440
35,kein_Terminated,Zeit abgelaufen,0.39,110,2016.0,300.5,21,20250409-142458
36,kein_Terminated,Zeit abgelaufen,0.38,227,-2807.0,300.5,21,20250409-142517
37,kein_Terminated,Zeit abgelaufen,0.29,107,-1571.0,300.5,21,20250409-142537
38,kein_Terminated,Zeit abgelaufen,0.43,120,-1177.0,300.5,21,20250409-142556
39,kein_Terminated,Zeit abgelaufen,0.33,214,-736.0,300.5,21,20250409-142616
40,kein_Terminated,Zeit abgelaufen,0.45,186,258.0,300.5,21,20250409-142635
41,kein_Terminated,Zeit abgelaufen,0.49,155,2560.0,300.5,21,20250409-142653
42,kein_Terminated,Zeit abgelaufen,0.39,195,-889.0,300.5,21,20250409-142712
43,kein_Terminated,Zeit abgelaufen,0.5,99,2469.0,300.5,21,20250409-142730
44,kein_Terminated,Zeit abgelaufen,0.29,66,2724.0,300.5,21,20250409-142758
45,kein_Terminated,Zeit abgelaufen,0.33,125,1829.0,300.5,21,20250409-142836
46,kein_Terminated,Zeit abgelaufen,0.55,134,4919.0,300.5,21,20250409-142852
47,kein_Terminated,Zeit abgelaufen,0.55,173,5484.0,300.5,21,20250409-142916
48,kein_Terminated,Zeit abgelaufen,0.55,97,1744.0,300.5,21,20250409-142940
49,kein_Terminated,Zeit abgelaufen,0.61,152,3837.0,300.5,21,20250409-143001
50,kein_Terminated,Zeit abgelaufen,0.4,111,2878.0,300.5,21,20250409-143027
51,kein_Terminated,Zeit abgelaufen,0.35,75,3370.0,300.5,21,20250409-143051
52,kein_Terminated,Zeit abgelaufen,0.51,154,787.0,300.5,21,20250409-143114
53,kein_Terminated,Zeit abgelaufen,0.51,109,5005.0,300.5,21,20250409-143137
54,kein_Terminated,Zeit abgelaufen,0.51,134,4504.0,300.5,21,20250409-143200
55,kein_Terminated,Zeit abgelaufen,0.35,225,-12956.0,300.5,21,20250409-143222
56,kein_Terminated,Zeit abgelaufen,0.6,129,1244.0,300.5,21,20250409-143247
57,kein_Terminated,Zeit abgelaufen,0.45,196,-7313.0,300.5,21,20250409-143313
58,kein_Terminated,Zeit abgelaufen,0.35,308,-23924.0,300.5,21,20250409-143337
59,kein_Terminated,Zeit abgelaufen,0.46,70,2471.0,300.5,21,20250409-143400
60,kein_Terminated,Zeit abgelaufen,0.5,141,-4976.0,300.5,21,20250409-143421
61,kein_Terminated,Zeit abgelaufen,0.44,180,773.0,300.5,21,20250409-143446
62,kein_Terminated,Zeit abgelaufen,0.52,75,4976.0,300.5,21,20250409-143512
63,kein_Terminated,Zeit abgelaufen,0.39,120,1914.0,300.5,21,20250409-143536
64,kein_Terminated,Zeit abgelaufen,0.28,52,-765.0,300.5,21,20250409-143601
65,kein_Terminated,Zeit abgelaufen,0.44,347,-19399.0,300.5,21,20250409-143627
66,kein_Terminated,Zeit abgelaufen,0.52,155,5589.0,300.5,21,20250409-143650
67,kein_Terminated,Zeit abgelaufen,0.48,56,4658.0,300.5,21,20250409-143715
68,kein_Terminated,Zeit abgelaufen,0.56,124,3899.0,300.5,21,20250409-143754
69,kein_Terminated,Zeit abgelaufen,0.39,71,3147.0,300.5,21,20250409-143833
70,kein_Terminated,Zeit abgelaufen,0.56,82,5795.0,300.5,21,20250409-143915
71,kein_Terminated,Zeit abgelaufen,0.37,131,3977.0,300.5,21,20250409-143946
72,kein_Terminated,Zeit abgelaufen,0.51,130,5935.0,300.5,21,20250409-144015
73,kein_Terminated,Zeit abgelaufen,0.6,89,6763.0,300.5,21,20250409-144054
74,kein_Terminated,Zeit abgelaufen,0.55,86,6183.0,300.5,21,20250409-144133
75,kein_Terminated,Zeit abgelaufen,0.4,98,4046.0,300.5,21,20250409-144216
76,kein_Terminated,Zeit abgelaufen,0.48,65,5760.0,300.5,21,20250409-144253
77,kein_Terminated,Zeit abgelaufen,0.45,96,4650.0,300.5,21,20250409-144327
78,kein_Terminated,Zeit abgelaufen,0.47,60,6215.0,300.5,21,20250409-144402
79,kein_Terminated,Zeit abgelaufen,0.5,90,6247.0,300.5,21,20250409-144445
80,kein_Terminated,Zeit abgelaufen,0.36,22,4177.0,300.5,21,20250409-144524
81,kein_Terminated,Zeit abgelaufen,0.45,177,493.0,300.5,21,20250409-144602
82,kein_Terminated,Zeit abgelaufen,0.5,73,3992.0,300.5,21,20250409-144645
83,kein_Terminated,Zeit abgelaufen,0.43,88,4373.0,300.5,21,20250409-144716
1,kein_Terminated,Zeit abgelaufen,0.21,17,2104.0,300.5,21,20250409-144749
84,kein_Terminated,Zeit abgelaufen,0.6,95,5631.0,300.5,21,20250409-144801
85,kein_Terminated,Zeit abgelaufen,0.5,34,5774.0,300.5,21,20250409-144839
86,kein_Terminated,Zeit abgelaufen,0.39,82,3991.0,300.5,21,20250409-144919
87,kein_Terminated,Zeit abgelaufen,0.44,8,6137.0,300.5,21,20250409-144953
88,kein_Terminated,Zeit abgelaufen,0.4,35,5485.0,300.5,21,20250409-145028
89,kein_Terminated,Zeit abgelaufen,0.51,76,6185.0,300.5,21,20250409-145101
90,kein_Terminated,Zeit abgelaufen,0.58,45,6968.0,300.5,21,20250409-145138
91,kein_Terminated,Zeit abgelaufen,0.6,48,5946.0,300.5,21,20250409-145217
92,kein_Terminated,Zeit abgelaufen,0.58,118,4047.0,300.5,21,20250409-145254
93,kein_Terminated,Zeit abgelaufen,0.59,74,7091.0,300.5,21,20250409-145333
94,kein_Terminated,Zeit abgelaufen,0.61,81,7166.0,300.5,21,20250409-145415
95,kein_Terminated,Zeit abgelaufen,0.56,47,7289.0,300.5,21,20250409-145453
96,kein_Terminated,Zeit abgelaufen,0.43,25,5904.0,300.5,21,20250409-145530
97,kein_Terminated,Zeit abgelaufen,0.46,47,4705.0,300.5,21,20250409-145548
98,kein_Terminated,Zeit abgelaufen,0.43,124,5497.0,300.5,21,20250409-145606
99,kein_Terminated,Zeit abgelaufen,0.48,66,4981.0,300.5,21,20250409-145624
100,kein_Terminated,Zeit abgelaufen,0.34,20,4252.0,300.5,21,20250409-145643
101,kein_Terminated,Zeit abgelaufen,0.39,62,2512.0,300.5,21,20250409-145701
102,kein_Terminated,Zeit abgelaufen,0.45,48,5255.0,300.5,21,20250409-145719
103,kein_Terminated,Zeit abgelaufen,0.51,20,6759.0,300.5,21,20250409-145737
104,kein_Terminated,Zeit abgelaufen,0.32,71,3818.0,300.5,21,20250409-145755
105,kein_Terminated,Zeit abgelaufen,0.43,134,3323.0,300.5,21,20250409-145812
106,kein_Terminated,Zeit abgelaufen,0.38,74,4618.0,300.5,21,20250409-145830
107,kein_Terminated,Zeit abgelaufen,0.48,112,6427.0,300.5,21,20250409-145848
108,kein_Terminated,Zeit abgelaufen,0.5,45,5814.0,300.5,21,20250409-145906
109,kein_Terminated,Zeit abgelaufen,0.59,117,2882.0,300.5,21,20250409-145925
110,kein_Terminated,Zeit abgelaufen,0.47,37,4521.0,300.5,21,20250409-145945
111,kein_Terminated,Zeit abgelaufen,0.28,339,-1351.0,300.5,21,20250409-150003
112,kein_Terminated,Zeit abgelaufen,0.48,51,6258.0,300.5,21,20250409-150022
113,kein_Terminated,Zeit abgelaufen,0.59,64,5993.0,300.5,21,20250409-150040
114,kein_Terminated,Zeit abgelaufen,0.59,94,7152.0,300.5,21,20250409-150102
115,kein_Terminated,Zeit abgelaufen,0.5,65,5916.0,300.5,21,20250409-150121
116,kein_Terminated,Zeit abgelaufen,0.51,47,6581.0,300.5,21,20250409-150142
117,kein_Terminated,Zeit abgelaufen,0.58,41,7072.0,300.5,21,20250409-150204
118,kein_Terminated,Zeit abgelaufen,0.47,54,4647.0,300.5,21,20250409-150225
119,kein_Terminated,Zeit abgelaufen,0.43,75,1279.0,300.5,21,20250409-150244
120,kein_Terminated,Zeit abgelaufen,0.59,52,6190.0,300.5,21,20250409-150304
121,kein_Terminated,Zeit abgelaufen,0.5,121,6214.0,300.5,21,20250409-150323
122,kein_Terminated,Zeit abgelaufen,0.5,51,5330.0,300.5,21,20250409-150345
123,kein_Terminated,Zeit abgelaufen,0.46,123,4680.0,300.5,21,20250409-150417
124,kein_Terminated,Zeit abgelaufen,0.57,95,5494.0,300.5,21,20250409-150435
125,kein_Terminated,Zeit abgelaufen,0.54,123,5385.0,300.5,21,20250409-150454
126,kein_Terminated,Zeit abgelaufen,0.46,115,758.0,300.5,21,20250409-150512
127,kein_Terminated,Zeit abgelaufen,0.54,72,3628.0,300.5,21,20250409-150537
128,kein_Terminated,Zeit abgelaufen,0.55,69,5557.0,300.5,21,20250409-150554
129,kein_Terminated,Zeit abgelaufen,0.59,61,7269.0,300.5,21,20250409-150614
130,kein_Terminated,Zeit abgelaufen,0.52,62,4830.0,300.5,21,20250409-150632
131,kein_Terminated,Zeit abgelaufen,0.6,85,6335.0,300.5,21,20250409-150652
132,kein_Terminated,Zeit abgelaufen,0.51,179,6670.0,300.5,21,20250409-150713
133,kein_Terminated,Zeit abgelaufen,0.48,85,5243.0,300.5,21,20250409-150732
134,kein_Terminated,Zeit abgelaufen,0.56,98,7087.0,300.5,21,20250409-150806
135,kein_Terminated,Zeit abgelaufen,0.63,78,6694.0,300.5,21,20250409-150824
136,kein_Terminated,Zeit abgelaufen,0.65,72,6033.0,300.5,21,20250409-150844
137,kein_Terminated,Zeit abgelaufen,0.58,94,5884.0,300.5,21,20250409-150903
138,kein_Terminated,Zeit abgelaufen,0.55,103,3109.0,300.5,21,20250409-150922
139,kein_Terminated,Zeit abgelaufen,0.59,30,7196.0,300.5,21,20250409-150943
