DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250410-012131/save-04.10.2025_01.21.31/final_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.14,188,-5334.75,300.5,22,3,20250410-093538
2,kein_Terminated,Zeit abgelaufen,0.17,234,-7614.25,300.5,22,5,20250410-093549
3,kein_Terminated,Zeit abgelaufen,0.14,318,-8268.5,300.5,22,5,20250410-093601
4,kein_Terminated,Zeit abgelaufen,0.2,110,67.75,300.5,22,6,20250410-093612
5,kein_Terminated,Zeit abgelaufen,0.24,217,-5872.25,300.5,22,6,20250410-093624
6,kein_Terminated,Zeit abgelaufen,0.17,268,-5196.25,300.5,22,0,20250410-093635
7,kein_Terminated,Zeit abgelaufen,0.17,259,-9713.25,300.5,25,5,20250410-093649
8,kein_Terminated,Zeit abgelaufen,0.18,291,-10197.75,300.5,25,5,20250410-093703
9,kein_Terminated,Zeit abgelaufen,0.2,324,-1192.5,300.5,25,8,20250410-093716
10,kein_Terminated,Zeit abgelaufen,0.14,230,-3130.25,300.5,25,8,20250410-093730
11,kein_Terminated,Zeit abgelaufen,0.12,390,-10607.5,300.5,25,7,20250410-093744
12,kein_Terminated,Zeit abgelaufen,0.14,262,-1215.25,300.5,25,7,20250410-093758
13,kein_Terminated,Zeit abgelaufen,0.17,215,-3483.5,300.5,25,1,20250410-093812
14,kein_Terminated,Zeit abgelaufen,0.11,363,-10526.0,300.5,25,7,20250410-093826
15,kein_Terminated,Zeit abgelaufen,0.16,358,-9330.25,300.5,25,7,20250410-093840
16,kein_Terminated,Zeit abgelaufen,0.18,274,-3056.5,300.5,25,7,20250410-093854
17,kein_Terminated,Zeit abgelaufen,0.24,221,-1317.75,300.5,25,7,20250410-093908
18,kein_Terminated,Zeit abgelaufen,0.06,455,-17880.25,300.5,25,4,20250410-093922
19,kein_Terminated,Zeit abgelaufen,0.06,496,-25678.75,300.5,25,4,20250410-093935
20,kein_Terminated,Zeit abgelaufen,0.01,602,-60505.0,300.5,25,3,20250410-093951
21,kein_Terminated,Zeit abgelaufen,0.18,218,-5488.0,300.5,23,7,20250410-094003
