DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O7_A2_TR1_T1_20250410-093525/save-04.10.2025_09.35.25/best_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.13,441,-9009.75,300.5,22,9,20250410-221544
2,kein_Terminated,Zeit abgelaufen,0.17,231,-7953.25,300.5,22,5,20250410-221556
3,kein_Terminated,Zeit abgelaufen,0.16,227,-5627.25,300.5,22,5,20250410-221608
4,kein_Terminated,Zeit abgelaufen,0.2,143,-129.75,300.5,22,6,20250410-221619
5,kein_Terminated,Zeit abgelaufen,0.26,198,-2194.75,300.5,22,6,20250410-221631
6,kein_Terminated,Zeit abgelaufen,0.15,187,-6133.5,300.5,22,0,20250410-221642
7,kein_Terminated,Zeit abgelaufen,0.14,275,-10601.75,300.5,25,5,20250410-221656
8,kein_Terminated,Zeit abgelaufen,0.18,346,-10923.75,300.5,25,5,20250410-221710
9,kein_Terminated,Zeit abgelaufen,0.16,275,-2696.0,300.5,25,8,20250410-221725
10,kein_Terminated,Zeit abgelaufen,0.14,286,-6047.25,300.5,25,8,20250410-221739
11,kein_Terminated,Zeit abgelaufen,0.14,196,-5112.5,300.5,25,7,20250410-221752
12,kein_Terminated,Zeit abgelaufen,0.14,199,-2670.5,300.5,25,7,20250410-221807
13,kein_Terminated,Zeit abgelaufen,0.11,177,-1970.25,300.5,25,1,20250410-221821
14,kein_Terminated,Zeit abgelaufen,0.1,391,-11492.75,300.5,25,7,20250410-221835
15,kein_Terminated,Zeit abgelaufen,0.17,351,-7646.25,300.5,25,7,20250410-221849
16,kein_Terminated,Zeit abgelaufen,0.15,368,-10006.0,300.5,25,7,20250410-221902
17,kein_Terminated,Zeit abgelaufen,0.26,167,-549.25,300.5,25,7,20250410-221917
18,kein_Terminated,Zeit abgelaufen,0.16,264,-4961.25,300.5,25,4,20250410-221931
19,kein_Terminated,Zeit abgelaufen,0.07,470,-15882.75,300.5,25,4,20250410-221944
