DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.17,215,-5446.5,300.5,22,4,20250410-012143
2,kein_Terminated,Zeit abgelaufen,0.17,226,-7570.25,300.5,22,5,20250410-012154
3,kein_Terminated,Zeit abgelaufen,0.15,218,-5444.25,300.5,22,5,20250410-012205
4,kein_Terminated,Zeit abgelaufen,0.22,193,-200.75,300.5,22,6,20250410-012216
5,kein_Terminated,Zeit abgelaufen,0.25,179,-2552.25,300.5,22,6,20250410-012227
6,kein_Terminated,Zeit abgelaufen,0.18,244,-7998.75,300.5,22,0,20250410-012238
7,kein_Terminated,Zeit abgelaufen,0.15,264,-8921.75,300.5,25,5,20250410-012252
8,kein_Terminated,Zeit abgelaufen,0.17,407,-15609.5,300.5,25,5,20250410-012306
9,kein_Terminated,Zeit abgelaufen,0.2,160,1020.0,300.5,25,8,20250410-012320
10,kein_Terminated,Zeit abgelaufen,0.13,259,-5373.25,300.5,25,8,20250410-012334
11,kein_Terminated,Zeit abgelaufen,0.12,271,-7379.5,300.5,25,7,20250410-012348
12,kein_Terminated,Zeit abgelaufen,0.18,153,90.75,300.5,25,7,20250410-012401
13,kein_Terminated,Zeit abgelaufen,0.14,112,-381.25,300.5,25,1,20250410-012415
14,kein_Terminated,Zeit abgelaufen,0.11,386,-12347.5,300.5,25,7,20250410-012429
15,kein_Terminated,Zeit abgelaufen,0.17,361,-8488.25,300.5,25,7,20250410-012443
16,kein_Terminated,Zeit abgelaufen,0.15,362,-10666.5,300.5,25,7,20250410-012457
17,kein_Terminated,Zeit abgelaufen,0.23,221,-3690.25,300.5,25,7,20250410-012511
