DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250411-180656/save-04.11.2025_18.06.56/final_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.13,255,-6438.25,300.5,22,3,20250412-011907
2,kein_Terminated,Zeit abgelaufen,0.17,234,-7965.25,300.5,22,5,20250412-011918
3,kein_Terminated,Zeit abgelaufen,0.17,277,-7775.75,300.5,22,5,20250412-011930
4,kein_Terminated,Zeit abgelaufen,0.19,189,-2196.75,300.5,22,6,20250412-011941
5,kein_Terminated,Zeit abgelaufen,0.24,202,-5421.25,300.5,22,6,20250412-011953
6,kein_Terminated,Zeit abgelaufen,0.17,219,-4773.25,300.5,22,0,20250412-012005
7,kein_Terminated,Zeit abgelaufen,0.16,253,-9781.25,300.5,25,5,20250412-012020
8,kein_Terminated,Zeit abgelaufen,0.17,398,-14722.75,300.5,25,5,20250412-012034
9,kein_Terminated,Zeit abgelaufen,0.21,263,-2229.5,300.5,25,8,20250412-012049
10,kein_Terminated,Zeit abgelaufen,0.14,162,-812.25,300.5,25,8,20250412-012103
11,kein_Terminated,Zeit abgelaufen,0.14,276,-6096.0,300.5,25,7,20250412-012117
12,kein_Terminated,Zeit abgelaufen,0.13,331,-4414.5,300.5,25,7,20250412-012131
13,kein_Terminated,Zeit abgelaufen,0.16,359,-8117.25,300.5,25,1,20250412-012145
14,kein_Terminated,Zeit abgelaufen,0.11,299,-7370.75,300.5,25,7,20250412-012158
15,kein_Terminated,Zeit abgelaufen,0.19,317,-6833.75,300.5,25,7,20250412-012212
16,kein_Terminated,Zeit abgelaufen,0.18,327,-7079.25,300.5,25,7,20250412-012226
17,kein_Terminated,Zeit abgelaufen,0.22,121,389.25,300.5,25,7,20250412-012240
18,kein_Terminated,Zeit abgelaufen,0.06,433,-11126.0,300.5,25,4,20250412-012254
19,kein_Terminated,Zeit abgelaufen,0.07,441,-12134.25,300.5,25,4,20250412-012308
20,kein_Terminated,Zeit abgelaufen,0.01,602,-60521.0,300.5,25,3,20250412-012324
21,kein_Terminated,Zeit abgelaufen,0.43,555,-44280.0,300.5,23,7,20250412-012339
22,kein_Terminated,Zeit abgelaufen,0.55,211,566.5,300.5,23,7,20250412-012351
23,kein_Terminated,Zeit abgelaufen,0.6,244,-1856.0,300.5,23,1,20250412-012403
24,kein_Terminated,Zeit abgelaufen,0.4,288,-5182.0,300.5,23,1,20250412-012415
25,80 Prozent der Fläche wurde erkundet,kein_Truncared,0.8,383,-5886.5,297.0,23,8,20250412-012427
26,80 Prozent der Fläche wurde erkundet,kein_Truncared,0.01,1,0.25,0.0,23,8,20250412-012429
27,kein_Terminated,Zeit abgelaufen,0.74,432,-14894.25,300.5,23,4,20250412-012442
28,kein_Terminated,Zeit abgelaufen,0.06,595,-58361.75,300.5,23,8,20250412-012456
29,kein_Terminated,Zeit abgelaufen,0.22,567,-49394.75,300.5,23,8,20250412-012510
30,kein_Terminated,Zeit abgelaufen,0.33,265,-4663.5,300.5,23,4,20250412-012522
31,kein_Terminated,Zeit abgelaufen,0.65,440,-17646.25,300.5,23,4,20250412-012534
32,kein_Terminated,Zeit abgelaufen,0.63,392,-8931.5,300.5,23,5,20250412-012547
33,kein_Terminated,Zeit abgelaufen,0.59,481,-28082.25,300.5,23,5,20250412-012559
34,kein_Terminated,Zeit abgelaufen,0.72,490,-25906.5,300.5,23,1,20250412-012613
35,kein_Terminated,Zeit abgelaufen,0.36,158,-628.5,300.5,23,0,20250412-012625
