DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward
2,300,2,-0.5,50000.0,1,800000.0,99999,20,100,50,2,300,6,0.5,5,-20,0.15,0.25

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
1,kein_Terminated,Zeit abgelaufen,0.2,398,-5241.25,21,20250407-013909
2,kein_Terminated,Zeit abgelaufen,0.2,383,-5865.0,21,20250407-013921
3,kein_Terminated,Zeit abgelaufen,0.38,89,999.0,21,20250407-013934
4,kein_Terminated,Zeit abgelaufen,0.46,151,1285.75,21,20250407-013946
5,kein_Terminated,Zeit abgelaufen,0.43,136,830.75,21,20250407-013958
6,kein_Terminated,Zeit abgelaufen,0.35,192,-446.5,21,20250407-014010
7,kein_Terminated,Zeit abgelaufen,0.37,76,1396.5,21,20250407-014022
8,kein_Terminated,Zeit abgelaufen,0.28,11,1647.25,21,20250407-014034
9,kein_Terminated,Zeit abgelaufen,0.38,64,1864.0,21,20250407-014046
10,kein_Terminated,Zeit abgelaufen,0.47,88,2018.0,21,20250407-014059
11,kein_Terminated,Zeit abgelaufen,0.52,190,939.0,21,20250407-014111
12,kein_Terminated,Zeit abgelaufen,0.43,62,2001.5,21,20250407-014123
13,kein_Terminated,Zeit abgelaufen,0.29,38,1380.75,21,20250407-014135
14,kein_Terminated,Zeit abgelaufen,0.37,54,1807.75,21,20250407-014146
15,kein_Terminated,Zeit abgelaufen,0.36,47,1640.5,21,20250407-014158
16,kein_Terminated,Zeit abgelaufen,0.38,83,1709.5,21,20250407-014209
17,kein_Terminated,Zeit abgelaufen,0.39,38,2359.0,21,20250407-014221
18,kein_Terminated,Zeit abgelaufen,0.37,47,2159.75,21,20250407-014233
19,kein_Terminated,Zeit abgelaufen,0.41,72,2328.75,21,20250407-014245
20,kein_Terminated,Zeit abgelaufen,0.4,65,2011.75,21,20250407-014257
21,kein_Terminated,Zeit abgelaufen,0.43,90,1966.5,21,20250407-014308
22,kein_Terminated,Zeit abgelaufen,0.41,95,1942.25,21,20250407-014320
23,kein_Terminated,Zeit abgelaufen,0.37,96,1850.0,21,20250407-014332
24,kein_Terminated,Zeit abgelaufen,0.34,146,1492.5,21,20250407-014343
25,kein_Terminated,Zeit abgelaufen,0.37,86,1755.0,21,20250407-014355
26,kein_Terminated,Zeit abgelaufen,0.4,76,2169.75,21,20250407-014407
27,kein_Terminated,Zeit abgelaufen,0.37,110,1812.25,21,20250407-014418
28,kein_Terminated,Zeit abgelaufen,0.35,77,1849.75,21,20250407-014430
