DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000.0,1,1080000,99999999999999,20,100,50,2,300,2,0.5,5,-100,0.15,0.7,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.25,412,-34952.899999999994,300.5,22,0,20250410-195603
2,kein_Terminated,Zeit abgelaufen,0.28,358,-27564.599999999813,300.5,22,2,20250410-195629
3,kein_Terminated,Zeit abgelaufen,0.11,148,-8118.0999999998,300.5,22,2,20250410-195655
4,kein_Terminated,Zeit abgelaufen,0.13,10,1603.7000000000262,300.5,22,2,20250410-195721
5,kein_Terminated,Zeit abgelaufen,0.15,297,-13430.69999999995,300.5,22,2,20250410-195748
6,kein_Terminated,Zeit abgelaufen,0.14,92,181.20000000001858,300.5,22,2,20250410-195814
7,kein_Terminated,Zeit abgelaufen,0.04,7,246.29999999999325,300.5,25,2,20250410-195845
8,kein_Terminated,Zeit abgelaufen,0.06,65,495.0000000000058,300.5,25,2,20250410-195915
9,kein_Terminated,Zeit abgelaufen,0.01,602,-20088.299999999846,300.5,25,3,20250410-195947
10,kein_Terminated,Zeit abgelaufen,0.01,602,-4274.400000000046,300.5,25,3,20250410-200019
11,kein_Terminated,Zeit abgelaufen,0.01,602,-60420.3,300.5,25,3,20250410-200051
12,kein_Terminated,Zeit abgelaufen,0.01,602,-0.2999999999988241,300.5,25,3,20250410-200121
13,kein_Terminated,Zeit abgelaufen,0.01,602,-60420.3,300.5,25,3,20250410-200223
14,kein_Terminated,Zeit abgelaufen,0.05,586,-58116.4,300.5,24,3,20250410-200317
15,kein_Terminated,Zeit abgelaufen,0.05,585,-58229.1,300.5,24,3,20250410-200415
16,kein_Terminated,Zeit abgelaufen,0.01,602,-60425.0,300.5,24,4,20250410-200503
17,kein_Terminated,Zeit abgelaufen,0.01,602,-60425.0,300.5,24,4,20250410-200557
18,kein_Terminated,Zeit abgelaufen,0.01,602,-60425.0,300.5,24,4,20250410-200652
19,kein_Terminated,Zeit abgelaufen,0.01,602,-60425.0,300.5,24,4,20250410-200749
20,kein_Terminated,Zeit abgelaufen,0.01,602,-60425.0,300.5,24,4,20250410-200846
21,kein_Terminated,Zeit abgelaufen,0.1,521,-45327.7,300.5,23,4,20250410-200940
22,kein_Terminated,Zeit abgelaufen,0.08,570,-50973.50000000003,300.5,23,4,20250410-201033
23,kein_Terminated,Zeit abgelaufen,0.17,501,-44850.50000000018,300.5,23,3,20250410-201124
24,kein_Terminated,Zeit abgelaufen,0.08,447,-36674.09999999999,300.5,23,3,20250410-201216
25,kein_Terminated,Zeit abgelaufen,0.08,434,-35203.600000000006,300.5,23,3,20250410-201312
26,kein_Terminated,Zeit abgelaufen,0.06,506,-43926.39999999992,300.5,23,3,20250410-201406
27,kein_Terminated,Zeit abgelaufen,0.05,577,-55699.60000000002,300.5,23,3,20250410-201459
28,kein_Terminated,Zeit abgelaufen,0.05,585,-56335.799999999996,300.5,23,3,20250410-201553
29,kein_Terminated,Zeit abgelaufen,0.04,598,-59589.5,300.5,23,3,20250410-201646
30,kein_Terminated,Zeit abgelaufen,0.07,581,-57469.6,300.5,23,4,20250410-201735
31,kein_Terminated,Zeit abgelaufen,0.07,583,-57513.600000000006,300.5,23,4,20250410-201831
32,kein_Terminated,Zeit abgelaufen,0.07,580,-57344.2,300.5,23,4,20250410-201927
33,kein_Terminated,Zeit abgelaufen,0.07,580,-57424.9,300.5,23,4,20250410-202019
34,kein_Terminated,Zeit abgelaufen,0.06,582,-57657.6,300.5,23,4,20250410-202115
