DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,1080000,99999,100,100,50,2,300,2,0.5,5,-10,0.1,0,8,3,FALSE,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,False,SET_20250410-011939
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,
1,kein_Terminated,Zeit abgelaufen,0.13,373,-2102,300.5,0,1,20250415-211946,,,,,,,,,,,,,,,,,,
2,kein_Terminated,Zeit abgelaufen,0.31,255,1406,300.5,0,2,20250415-212003,,,,,,,,,,,,,,,,,,
3,kein_Terminated,Zeit abgelaufen,0.17,67,1438,300.5,0,2,20250415-212019,,,,,,,,,,,,,,,,,,
4,kein_Terminated,Zeit abgelaufen,0.15,130,552,300.5,0,3,20250415-212036,,,,,,,,,,,,,,,,,,
5,kein_Terminated,Zeit abgelaufen,0.15,31,1554,300.5,0,3,20250415-212053,,,,,,,,,,,,,,,,,,
6,kein_Terminated,Zeit abgelaufen,0.25,65,2434,300.5,0,2,20250415-212110,,,,,,,,,,,,,,,,,,
7,kein_Terminated,Zeit abgelaufen,0.07,190,-1044,300.5,8,2,20250415-212126,,,,,,,,,,,,,,,,,,
8,kein_Terminated,Zeit abgelaufen,0.08,27,666,300.5,8,2,20250415-212144,,,,,,,,,,,,,,,,,,
9,kein_Terminated,Zeit abgelaufen,0.13,26,1276,300.5,8,4,20250415-212201,,,,,,,,,,,,,,,,,,
10,kein_Terminated,Zeit abgelaufen,0.12,520,-3808,300.5,8,4,20250415-212217,,,,,,,,,,,,,,,,,,
11,kein_Terminated,Zeit abgelaufen,0.15,22,1664,300.5,8,9,20250415-212234,,,,,,,,,,,,,,,,,,
12,kein_Terminated,Zeit abgelaufen,0.16,0,1928,300.5,8,9,20250415-212252,,,,,,,,,,,,,,,,,,
13,kein_Terminated,Zeit abgelaufen,0.29,32,3272,300.5,8,1,20250415-212309,,,,,,,,,,,,,,,,,,
14,kein_Terminated,Zeit abgelaufen,0.25,53,2618,300.5,0,2,20250415-212326,,,,,,,,,,,,,,,,,,
15,kein_Terminated,Zeit abgelaufen,0.23,182,1076,300.5,0,2,20250415-212343,,,,,,,,,,,,,,,,,,
16,kein_Terminated,Zeit abgelaufen,0.18,29,1910,300.5,0,0,20250415-212400,,,,,,,,,,,,,,,,,,
17,kein_Terminated,Zeit abgelaufen,0.24,36,2596,300.5,0,0,20250415-212416,,,,,,,,,,,,,,,,,,
18,kein_Terminated,Zeit abgelaufen,0.15,108,728,300.5,0,4,20250415-212433,,,,,,,,,,,,,,,,,,
19,kein_Terminated,Zeit abgelaufen,0.12,38,1080,300.5,0,4,20250415-212450,,,,,,,,,,,,,,,,,,
20,kein_Terminated,Zeit abgelaufen,0.07,392,-3088,300.5,0,9,20250415-212506,,,,,,,,,,,,,,,,,,
21,kein_Terminated,Zeit abgelaufen,0.1,24,912,300.5,15,9,20250415-212524,,,,,,,,,,,,,,,,,,
22,kein_Terminated,Zeit abgelaufen,0.16,51,1410,300.5,15,9,20250415-212542,,,,,,,,,,,,,,,,,,
23,kein_Terminated,Zeit abgelaufen,0.2,275,-298,300.5,15,2,20250415-212559,,,,,,,,,,,,,,,,,,
24,kein_Terminated,Zeit abgelaufen,0.24,182,1072,300.5,15,2,20250415-212616,,,,,,,,,,,,,,,,,,
25,kein_Terminated,Zeit abgelaufen,0.23,240,416,300.5,15,4,20250415-212634,,,,,,,,,,,,,,,,,,
26,kein_Terminated,Zeit abgelaufen,0.19,163,734,300.5,15,4,20250415-212652,,,,,,,,,,,,,,,,,,
27,kein_Terminated,Zeit abgelaufen,0.16,211,-126,300.5,15,2,20250415-212709,,,,,,,,,,,,,,,,,,
28,kein_Terminated,Zeit abgelaufen,0.19,66,1680,300.5,0,1,20250415-212726,,,,,,,,,,,,,,,,,,
29,kein_Terminated,Zeit abgelaufen,0.19,142,988,300.5,0,1,20250415-212743,,,,,,,,,,,,,,,,,,
30,kein_Terminated,Zeit abgelaufen,0.2,418,-1640,300.5,0,6,20250415-212800,,,,,,,,,,,,,,,,,,
31,kein_Terminated,Zeit abgelaufen,0.24,162,1396,300.5,0,6,20250415-212817,,,,,,,,,,,,,,,,,,
32,kein_Terminated,Zeit abgelaufen,0.31,58,3388,300.5,0,3,20250415-212835,,,,,,,,,,,,,,,,,,
33,kein_Terminated,Zeit abgelaufen,0.16,133,650,300.5,0,3,20250415-212850,,,,,,,,,,,,,,,,,,
34,kein_Terminated,Zeit abgelaufen,0.24,60,2468,300.5,0,9,20250415-212907,,,,,,,,,,,,,,,,,,
