DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad,DEFAULT_UseOrderedMazeAndStartingPositionInsteadOfRandom,DEFAULT_NumberOfRunsOnEachStartingPosition
2,300,4,0,50000,1,750000,99999,100,100,50,2,0.5,5,-20,0.35,0,8,3,False,,"(27, 28, 29, 30, 31)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250425-231500,False,3

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.15,370,-8384,300.5,29,6,20250425-233431
2,kein_Terminated,Zeit abgelaufen,0.13,536,-9816,300.5,29,2,20250425-233500
3,kein_Terminated,Zeit abgelaufen,0.14,494,-9696,300.5,29,2,20250425-233529
4,kein_Terminated,Zeit abgelaufen,0.27,414,-7752,300.5,29,3,20250425-233556
5,kein_Terminated,Zeit abgelaufen,0.21,331,-8860,300.5,29,6,20250425-233624
6,kein_Terminated,Zeit abgelaufen,0.37,128,-2064,300.5,29,0,20250425-233651
7,kein_Terminated,Zeit abgelaufen,0.32,89,-76,300.5,29,3,20250425-233719
8,kein_Terminated,Zeit abgelaufen,0.28,161,-2632,300.5,29,6,20250425-233747
9,kein_Terminated,Zeit abgelaufen,0.2,42,-168,300.5,29,5,20250425-233815
10,kein_Terminated,Zeit abgelaufen,0.12,13,-3140,300.5,29,8,20250425-233843
11,kein_Terminated,Zeit abgelaufen,0.2,15,-544,300.5,29,6,20250425-233911
12,kein_Terminated,Zeit abgelaufen,0.2,0,1644,300.5,29,6,20250425-233938
13,kein_Terminated,Zeit abgelaufen,0.22,46,-3088,300.5,29,9,20250425-234006
14,kein_Terminated,Zeit abgelaufen,0.33,0,1788,300.5,29,5,20250425-234034
15,kein_Terminated,Zeit abgelaufen,0.25,50,-1404,300.5,29,0,20250425-234102
16,kein_Terminated,Zeit abgelaufen,0.35,11,788,300.5,29,5,20250425-234129
17,kein_Terminated,Zeit abgelaufen,0.58,79,1736,300.5,29,4,20250425-234157
18,kein_Terminated,Zeit abgelaufen,0.36,9,1884,300.5,29,4,20250425-234225
19,kein_Terminated,Zeit abgelaufen,0.21,0,1916,300.5,29,0,20250425-234253
20,kein_Terminated,Zeit abgelaufen,0.22,0,2280,300.5,29,8,20250425-234320
21,kein_Terminated,Zeit abgelaufen,0.3,0,2512,300.5,29,6,20250425-234348
22,kein_Terminated,Zeit abgelaufen,0.14,0,1184,300.5,29,8,20250425-234416
23,kein_Terminated,Zeit abgelaufen,0.23,1,1316,300.5,29,7,20250425-234445
24,kein_Terminated,Zeit abgelaufen,0.2,0,1696,300.5,29,9,20250425-234513
25,kein_Terminated,Zeit abgelaufen,0.29,0,2504,300.5,29,5,20250425-234540
26,kein_Terminated,Zeit abgelaufen,0.17,0,1864,300.5,29,9,20250425-234608
27,kein_Terminated,Zeit abgelaufen,0.37,2,2672,300.5,29,3,20250425-234636
28,kein_Terminated,Zeit abgelaufen,0.23,0,1800,300.5,29,0,20250425-234704
29,kein_Terminated,Zeit abgelaufen,0.27,0,1900,300.5,29,5,20250425-234731
30,kein_Terminated,Zeit abgelaufen,0.24,2,1780,300.5,29,0,20250425-234759
31,kein_Terminated,Zeit abgelaufen,0.27,0,1820,300.5,29,6,20250425-234827
32,kein_Terminated,Zeit abgelaufen,0.2,0,1580,300.5,29,7,20250425-234855
33,kein_Terminated,Zeit abgelaufen,0.28,7,1604,300.5,29,1,20250425-234923
34,kein_Terminated,Zeit abgelaufen,0.32,0,3192,300.5,29,2,20250425-234950
35,kein_Terminated,Zeit abgelaufen,0.19,0,1512,300.5,29,8,20250425-235018
36,kein_Terminated,Zeit abgelaufen,0.19,0,1884,300.5,29,8,20250425-235046
37,kein_Terminated,Zeit abgelaufen,0.3,0,2764,300.5,29,2,20250425-235114
38,kein_Terminated,Zeit abgelaufen,0.27,0,2484,300.5,29,5,20250425-235142
39,kein_Terminated,Zeit abgelaufen,0.27,0,2700,300.5,29,5,20250425-235210
40,kein_Terminated,Zeit abgelaufen,0.3,0,2884,300.5,29,2,20250425-235238
41,kein_Terminated,Zeit abgelaufen,0.3,0,2840,300.5,29,2,20250425-235306
42,kein_Terminated,Zeit abgelaufen,0.28,1,2344,300.5,29,1,20250425-235334
43,kein_Terminated,Zeit abgelaufen,0.32,0,2848,300.5,29,2,20250425-235403
44,kein_Terminated,Zeit abgelaufen,0.29,1,2488,300.5,29,1,20250425-235431
45,kein_Terminated,Zeit abgelaufen,0.33,0,2824,300.5,29,5,20250425-235459
46,kein_Terminated,Zeit abgelaufen,0.42,11,2896,300.5,29,2,20250425-235527
47,kein_Terminated,Zeit abgelaufen,0.34,0,2968,300.5,29,2,20250425-235555
48,kein_Terminated,Zeit abgelaufen,0.32,1,2840,300.5,29,6,20250425-235622
49,kein_Terminated,Zeit abgelaufen,0.38,10,2964,300.5,29,2,20250425-235650
50,kein_Terminated,Zeit abgelaufen,0.36,17,2088,300.5,29,4,20250425-235718
51,kein_Terminated,Zeit abgelaufen,0.2,0,2228,300.5,29,8,20250425-235745
52,kein_Terminated,Zeit abgelaufen,0.22,0,2396,300.5,29,8,20250425-235814
53,kein_Terminated,Zeit abgelaufen,0.25,0,2244,300.5,29,0,20250425-235841
54,kein_Terminated,Zeit abgelaufen,0.27,0,2592,300.5,29,0,20250425-235909
55,kein_Terminated,Zeit abgelaufen,0.33,0,2660,300.5,29,2,20250425-235937
56,kein_Terminated,Zeit abgelaufen,0.34,0,2560,300.5,29,3,20250426-000005
57,kein_Terminated,Zeit abgelaufen,0.27,0,2540,300.5,29,9,20250426-000033
58,kein_Terminated,Zeit abgelaufen,0.3,0,3060,300.5,29,5,20250426-000101
59,kein_Terminated,Zeit abgelaufen,0.31,0,2500,300.5,29,3,20250426-000128
60,kein_Terminated,Zeit abgelaufen,0.32,0,3176,300.5,29,7,20250426-000157
61,kein_Terminated,Zeit abgelaufen,0.31,2,2544,300.5,29,1,20250426-000224
62,kein_Terminated,Zeit abgelaufen,0.35,2,3108,300.5,29,2,20250426-000252
63,kein_Terminated,Zeit abgelaufen,0.27,0,1696,300.5,29,0,20250426-000320
64,kein_Terminated,Zeit abgelaufen,0.3,1,2680,300.5,29,2,20250426-000348
65,kein_Terminated,Zeit abgelaufen,0.37,2,3356,300.5,29,4,20250426-000416
66,kein_Terminated,Zeit abgelaufen,0.28,0,3096,300.5,29,5,20250426-000444
67,kein_Terminated,Zeit abgelaufen,0.38,4,2936,300.5,29,4,20250426-000511
68,kein_Terminated,Zeit abgelaufen,0.3,0,2476,300.5,29,5,20250426-000539
69,kein_Terminated,Zeit abgelaufen,0.31,1,2168,300.5,29,6,20250426-000607
