DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000.0,1,1080000,99999999999999,20,100,50,2,300,2,0.5,5,-20,0.25,0,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4,"(27, 28, 29, 30, 31)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.21,454,-7205.0,300.5,27,0,20250426-131816
2,kein_Terminated,Zeit abgelaufen,0.09,586,-11017.0,300.5,27,2,20250426-131844
3,kein_Terminated,Zeit abgelaufen,0.24,445,-6797.0,300.5,27,2,20250426-131912
4,kein_Terminated,Zeit abgelaufen,0.21,495,-8061.0,300.5,27,2,20250426-131940
5,kein_Terminated,Zeit abgelaufen,0.21,368,-5377.0,300.5,27,2,20250426-132007
6,kein_Terminated,Zeit abgelaufen,0.2,258,-2881.0,300.5,27,2,20250426-132035
7,kein_Terminated,Zeit abgelaufen,0.2,14,1827.0,300.5,29,2,20250426-132107
8,kein_Terminated,Zeit abgelaufen,0.2,8,1787.0,300.5,29,2,20250426-132139
9,kein_Terminated,Zeit abgelaufen,0.18,23,1055.0,300.5,29,8,20250426-132212
10,kein_Terminated,Zeit abgelaufen,0.21,98,-9.0,300.5,29,8,20250426-132245
11,kein_Terminated,Zeit abgelaufen,0.17,138,111.0,300.5,29,8,20250426-132316
12,kein_Terminated,Zeit abgelaufen,0.27,53,2203.0,300.5,29,8,20250426-132357
13,kein_Terminated,Zeit abgelaufen,0.27,98,1339.0,300.5,29,8,20250426-132440
14,kein_Terminated,Zeit abgelaufen,0.38,260,-1353.0,300.5,29,8,20250426-132523
15,kein_Terminated,Zeit abgelaufen,0.31,36,2471.0,300.5,29,8,20250426-132605
16,kein_Terminated,Zeit abgelaufen,0.21,4,2015.0,300.5,29,4,20250426-132648
17,kein_Terminated,Zeit abgelaufen,0.23,24,2015.0,300.5,29,4,20250426-132731
18,kein_Terminated,Zeit abgelaufen,0.23,39,1939.0,300.5,29,4,20250426-132816
19,kein_Terminated,Zeit abgelaufen,0.32,48,2663.0,300.5,29,4,20250426-132900
20,kein_Terminated,Zeit abgelaufen,0.39,106,2175.0,300.5,29,4,20250426-132944
21,kein_Terminated,Zeit abgelaufen,0.32,69,2495.0,300.5,30,4,20250426-133020
22,kein_Terminated,Zeit abgelaufen,0.36,79,2659.0,300.5,30,4,20250426-133055
23,kein_Terminated,Zeit abgelaufen,0.37,184,975.0,300.5,30,7,20250426-133131
24,kein_Terminated,Zeit abgelaufen,0.15,545,-9589.0,300.5,30,7,20250426-133207
25,kein_Terminated,Zeit abgelaufen,0.1,570,-10501.0,300.5,30,7,20250426-133244
26,kein_Terminated,Zeit abgelaufen,0.17,258,-2309.0,300.5,30,7,20250426-133318
27,kein_Terminated,Zeit abgelaufen,0.17,156,-2477.0,300.5,30,7,20250426-133351
28,kein_Terminated,Zeit abgelaufen,0.15,71,-653.0,300.5,27,7,20250426-133427
29,kein_Terminated,Zeit abgelaufen,0.25,87,-581.0,300.5,27,7,20250426-133503
30,kein_Terminated,Zeit abgelaufen,0.36,101,1619.0,300.5,27,4,20250426-133538
31,kein_Terminated,Zeit abgelaufen,0.38,134,1615.0,300.5,27,4,20250426-133614
32,kein_Terminated,Zeit abgelaufen,0.4,133,2059.0,300.5,27,4,20250426-133650
33,kein_Terminated,Zeit abgelaufen,0.49,154,2539.0,300.5,27,4,20250426-133728
34,kein_Terminated,Zeit abgelaufen,0.35,201,-329.0,300.5,27,4,20250426-133807
35,kein_Terminated,Zeit abgelaufen,0.38,127,1559.0,300.5,27,4,20250426-134531
36,kein_Terminated,Zeit abgelaufen,0.37,99,2255.0,300.5,27,4,20250426-134626
37,kein_Terminated,Zeit abgelaufen,0.35,95,2119.0,300.5,27,3,20250426-134658
38,kein_Terminated,Zeit abgelaufen,0.34,66,2567.0,300.5,27,3,20250426-134728
39,kein_Terminated,Zeit abgelaufen,0.35,69,2515.0,300.5,27,3,20250426-134758
