DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250412-011854/save-04.12.2025_01.18.54/final_model.zip,20,8,4,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939_TEST_WITH_ADOPTED_MAZES

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.13,349,-9553.5,300.5,0,9,20250413-220656
2,kein_Terminated,Zeit abgelaufen,0.22,158,-3485.5,300.5,0,5,20250413-220717
3,kein_Terminated,Zeit abgelaufen,0.16,213,-948.0,300.5,0,5,20250413-220740
4,kein_Terminated,Zeit abgelaufen,0.08,375,-14340.25,300.5,0,6,20250413-220802
5,kein_Terminated,Zeit abgelaufen,0.15,338,-13017.25,300.5,0,6,20250413-220823
6,kein_Terminated,Zeit abgelaufen,0.17,326,-8964.75,300.5,0,0,20250413-220845
7,kein_Terminated,Zeit abgelaufen,0.2,241,-3922.25,300.5,15,5,20250413-220909
8,kein_Terminated,Zeit abgelaufen,0.11,402,-18034.25,300.5,15,5,20250413-220934
9,kein_Terminated,Zeit abgelaufen,0.1,290,-10332.5,300.5,15,8,20250413-220957
10,kein_Terminated,Zeit abgelaufen,0.2,255,-1072.5,300.5,15,8,20250413-221021
11,kein_Terminated,Zeit abgelaufen,0.12,376,-13215.75,300.5,15,7,20250413-221045
12,kein_Terminated,Zeit abgelaufen,0.15,146,1209.25,300.5,15,7,20250413-221109
13,kein_Terminated,Zeit abgelaufen,0.1,353,-8188.0,300.5,15,1,20250413-221133
14,kein_Terminated,Zeit abgelaufen,0.19,347,-2755.0,300.5,26,6,20250413-221203
15,kein_Terminated,Zeit abgelaufen,0.16,395,-8869.75,300.5,26,6,20250413-221233
16,kein_Terminated,Zeit abgelaufen,0.19,274,-5471.25,300.5,26,7,20250413-221304
17,kein_Terminated,Zeit abgelaufen,0.2,406,-7020.0,300.5,26,7,20250413-221335
18,kein_Terminated,Zeit abgelaufen,0.06,517,-16808.75,300.5,26,4,20250413-221406
