DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad,DEFAULT_UseOrderedMazeAndStartingPositionInsteadOfRandom,DEFAULT_NumberOfRunsOnEachStartingPosition
5,300,2,0,50000.0,1,2700000,99999,100,100,50,2,0.5,5,-1.0,0.35,0,8,3,True,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O10_A3_TR1_T1_20250426-232945_SAC_O10/_100000_steps.zip,"(27, 28, 29, 30, 31)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,False,SET_20250425-231500,False,3

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.54,471,2165.0,300.2,29,5,20250427-003425
2,kein_Terminated,Zeit abgelaufen,0.53,287,2234.0,300.2,29,1,20250427-003448
3,kein_Terminated,Zeit abgelaufen,0.61,540,2539.0,300.2,29,1,20250427-003513
4,kein_Terminated,Zeit abgelaufen,0.59,206,2699.0,300.2,29,3,20250427-003537
5,kein_Terminated,Zeit abgelaufen,0.61,78,2925.0,300.2,29,3,20250427-003559
6,kein_Terminated,Zeit abgelaufen,0.63,83,3192.0,300.2,27,8,20250427-003619
7,kein_Terminated,Zeit abgelaufen,0.61,151,3100.0,300.2,27,8,20250427-003638
8,kein_Terminated,Zeit abgelaufen,0.63,189,3060.0,300.2,27,4,20250427-003658
9,kein_Terminated,Zeit abgelaufen,0.58,86,2907.0,300.2,27,4,20250427-003718
10,kein_Terminated,Zeit abgelaufen,0.62,124,3124.0,300.2,27,4,20250427-003739
11,kein_Terminated,Zeit abgelaufen,0.56,51,2804.0,300.2,27,4,20250427-003800
12,kein_Terminated,Zeit abgelaufen,0.66,78,3521.0,300.2,30,4,20250427-003820
13,kein_Terminated,Zeit abgelaufen,0.54,37,2884.0,300.2,30,4,20250427-003840
14,kein_Terminated,Zeit abgelaufen,0.55,27,2983.0,300.2,30,1,20250427-003900
15,kein_Terminated,Zeit abgelaufen,0.53,105,2655.0,300.2,30,1,20250427-003919
16,kein_Terminated,Zeit abgelaufen,0.53,36,2941.0,300.2,30,8,20250427-003939
17,kein_Terminated,Zeit abgelaufen,0.55,106,2751.0,300.2,30,8,20250427-003957
18,kein_Terminated,Zeit abgelaufen,0.59,221,2801.0,300.2,29,5,20250427-004019
19,kein_Terminated,Zeit abgelaufen,0.66,164,3200.0,300.2,29,5,20250427-004041
20,kein_Terminated,Zeit abgelaufen,0.59,99,2769.0,300.2,29,6,20250427-004103
21,kein_Terminated,Zeit abgelaufen,0.66,115,3206.0,300.2,29,6,20250427-004125
22,kein_Terminated,Zeit abgelaufen,0.59,97,2821.0,300.2,29,3,20250427-004148
23,kein_Terminated,Zeit abgelaufen,0.6,149,2838.0,300.2,29,3,20250427-004211
24,kein_Terminated,Zeit abgelaufen,0.57,49,3057.0,300.2,30,7,20250427-004229
25,kein_Terminated,Zeit abgelaufen,0.57,130,2847.0,300.2,30,7,20250427-004247
26,kein_Terminated,Zeit abgelaufen,0.65,127,3459.0,300.2,30,6,20250427-004304
27,kein_Terminated,Zeit abgelaufen,0.68,104,3670.0,300.2,30,6,20250427-004322
28,kein_Terminated,Zeit abgelaufen,0.61,85,3270.0,300.2,30,2,20250427-004340
29,kein_Terminated,Zeit abgelaufen,0.63,52,3439.0,300.2,30,2,20250427-004358
30,kein_Terminated,Zeit abgelaufen,0.59,138,2638.0,300.2,28,0,20250427-004419
31,kein_Terminated,Zeit abgelaufen,0.58,86,2736.0,300.2,28,0,20250427-004440
32,kein_Terminated,Zeit abgelaufen,0.55,88,2617.0,300.2,28,8,20250427-004501
33,kein_Terminated,Zeit abgelaufen,0.53,61,2607.0,300.2,28,8,20250427-004522
1,kein_Terminated,Zeit abgelaufen,0.66,139,3307.0,300.2,27,9,20250427-004545
34,kein_Terminated,Zeit abgelaufen,0.58,96,2906.0,300.2,28,4,20250427-004559
35,kein_Terminated,Zeit abgelaufen,0.63,124,3079.0,300.2,28,4,20250427-004622
36,kein_Terminated,Zeit abgelaufen,0.62,69,3174.0,300.2,27,5,20250427-004643
37,kein_Terminated,Zeit abgelaufen,0.68,52,3521.0,300.2,27,5,20250427-004705
38,kein_Terminated,Zeit abgelaufen,0.6,81,2813.0,300.2,27,1,20250427-004726
39,kein_Terminated,Zeit abgelaufen,0.68,133,3412.0,300.2,27,1,20250427-004748
40,kein_Terminated,Zeit abgelaufen,0.66,143,3258.0,300.2,27,5,20250427-004810
41,kein_Terminated,Zeit abgelaufen,0.66,106,3341.0,300.2,27,5,20250427-004832
42,kein_Terminated,Zeit abgelaufen,0.59,36,3081.0,300.2,30,6,20250427-004852
43,kein_Terminated,Zeit abgelaufen,0.46,78,2216.0,300.2,30,6,20250427-004912
44,kein_Terminated,Zeit abgelaufen,0.4,100,1922.0,300.2,30,8,20250427-004932
45,kein_Terminated,Zeit abgelaufen,0.74,214,3803.0,300.2,30,8,20250427-004952
46,kein_Terminated,Zeit abgelaufen,0.7,73,3745.0,300.2,30,6,20250427-005012
47,kein_Terminated,Zeit abgelaufen,0.67,24,3617.0,300.2,30,6,20250427-005032
48,kein_Terminated,Zeit abgelaufen,0.62,84,3362.0,300.2,30,2,20250427-005052
49,kein_Terminated,Zeit abgelaufen,0.49,49,2560.0,300.2,30,2,20250427-005112
50,kein_Terminated,Zeit abgelaufen,0.65,38,3469.0,300.2,30,1,20250427-005132
51,kein_Terminated,Zeit abgelaufen,0.46,107,2357.0,300.2,30,1,20250427-005152
52,kein_Terminated,Zeit abgelaufen,0.74,93,3913.0,300.2,30,3,20250427-005212
53,kein_Terminated,Zeit abgelaufen,0.68,93,3747.0,300.2,30,3,20250427-005231
54,kein_Terminated,Zeit abgelaufen,0.64,41,3005.0,300.2,28,6,20250427-005254
55,kein_Terminated,Zeit abgelaufen,0.66,99,3172.0,300.2,28,6,20250427-005318
