DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,8,4,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O7_A2_TR1_T1_20250410-093525/save-04.10.2025_09.35.25/best_model.zip,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.17,183,-4990.75,300.5,22,3,20250411-114155
2,kein_Terminated,Zeit abgelaufen,0.23,83,1342.5,300.5,22,3,20250411-114207
3,kein_Terminated,Zeit abgelaufen,0.16,250,-4752.5,300.5,22,3,20250411-114219
4,kein_Terminated,Zeit abgelaufen,0.22,86,-1513.75,300.5,22,4,20250411-114230
5,kein_Terminated,Zeit abgelaufen,0.23,266,-6721.5,300.5,22,4,20250411-114241
6,kein_Terminated,Zeit abgelaufen,0.21,178,-4168.5,300.5,22,4,20250411-114252
7,kein_Terminated,Zeit abgelaufen,0.16,212,-4059.25,300.5,24,0,20250411-114304
8,kein_Terminated,Zeit abgelaufen,0.15,192,-2140.25,300.5,24,0,20250411-114316
9,kein_Terminated,Zeit abgelaufen,0.23,328,-9212.25,300.5,24,0,20250411-114328
10,kein_Terminated,Zeit abgelaufen,0.21,191,-2955.5,300.5,24,0,20250411-114339
11,kein_Terminated,Zeit abgelaufen,0.22,269,-1239.5,300.5,24,5,20250411-114351
12,kein_Terminated,Zeit abgelaufen,0.19,271,-6721.75,300.5,24,5,20250411-114403
13,kein_Terminated,Zeit abgelaufen,0.15,175,-4312.0,300.5,24,0,20250411-114415
14,kein_Terminated,Zeit abgelaufen,0.1,478,-13141.5,300.5,22,9,20250411-114426
15,kein_Terminated,Zeit abgelaufen,0.08,497,-16238.5,300.5,22,9,20250411-114437
16,kein_Terminated,Zeit abgelaufen,0.24,234,-1991.75,300.5,22,9,20250411-114448
17,kein_Terminated,Zeit abgelaufen,0.16,322,-4619.0,300.5,22,9,20250411-114500
18,kein_Terminated,Zeit abgelaufen,0.19,167,-1462.75,300.5,22,6,20250411-114511
