DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,650000,99999,100,100,50,2,0.5,5,-10,0.1,0,8,3,False,,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250423-182500

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.14,61,1086,300.5,22,7,20250423-234835
2,kein_Terminated,Zeit abgelaufen,0.18,70,1540,300.5,22,5,20250423-234850
3,kein_Terminated,Zeit abgelaufen,0.17,15,1882,300.5,22,5,20250423-234906
4,kein_Terminated,Zeit abgelaufen,0.22,15,2522,300.5,22,6,20250423-234921
5,kein_Terminated,Zeit abgelaufen,0.24,107,1838,300.5,22,6,20250423-234937
6,kein_Terminated,Zeit abgelaufen,0.15,115,694,300.5,22,0,20250423-234953
7,kein_Terminated,Zeit abgelaufen,0.12,148,-164,300.5,25,5,20250423-235010
8,kein_Terminated,Zeit abgelaufen,0.15,161,78,300.5,25,5,20250423-235026
9,kein_Terminated,Zeit abgelaufen,0.21,53,1930,300.5,25,8,20250423-235044
10,kein_Terminated,Zeit abgelaufen,0.15,81,870,300.5,25,8,20250423-235102
11,kein_Terminated,Zeit abgelaufen,0.14,89,718,300.5,25,7,20250423-235119
12,kein_Terminated,Zeit abgelaufen,0.18,46,1572,300.5,25,7,20250423-235137
13,kein_Terminated,Zeit abgelaufen,0.19,122,952,300.5,25,1,20250423-235153
14,kein_Terminated,Zeit abgelaufen,0.12,75,578,300.5,25,7,20250423-235210
15,kein_Terminated,Zeit abgelaufen,0.15,152,152,300.5,25,7,20250423-235227
16,kein_Terminated,Zeit abgelaufen,0.16,137,490,300.5,25,7,20250423-235244
17,kein_Terminated,Zeit abgelaufen,0.15,32,1388,300.5,25,7,20250423-235302
18,kein_Terminated,Zeit abgelaufen,0.06,155,-874,300.5,25,4,20250423-235318
19,kein_Terminated,Zeit abgelaufen,0.07,215,-1446,300.5,25,4,20250423-235334
20,kein_Terminated,Zeit abgelaufen,0.12,225,-918,300.5,25,3,20250423-235351
21,kein_Terminated,Zeit abgelaufen,0.17,66,1380,300.5,23,7,20250423-235406
22,kein_Terminated,Zeit abgelaufen,0.13,37,1244,300.5,23,7,20250423-235421
23,kein_Terminated,Zeit abgelaufen,0.26,35,2866,300.5,23,1,20250423-235436
24,kein_Terminated,Zeit abgelaufen,0.17,23,1850,300.5,23,1,20250423-235452
25,kein_Terminated,Zeit abgelaufen,0.28,24,3204,300.5,23,8,20250423-235507
26,kein_Terminated,Zeit abgelaufen,0.19,82,1532,300.5,23,8,20250423-235523
27,kein_Terminated,Zeit abgelaufen,0.17,79,1222,300.5,23,6,20250423-235538
28,kein_Terminated,Zeit abgelaufen,0.21,37,2222,300.5,22,2,20250423-235553
29,kein_Terminated,Zeit abgelaufen,0.23,37,2422,300.5,22,2,20250423-235608
30,kein_Terminated,Zeit abgelaufen,0.18,130,904,300.5,22,2,20250423-235623
31,kein_Terminated,Zeit abgelaufen,0.25,51,2594,300.5,22,2,20250423-235638
32,kein_Terminated,Zeit abgelaufen,0.29,51,3034,300.5,22,3,20250423-235653
33,kein_Terminated,Zeit abgelaufen,0.21,130,1288,300.5,22,3,20250423-235708
34,kein_Terminated,Zeit abgelaufen,0.18,52,1720,300.5,22,7,20250423-235723
35,kein_Terminated,Zeit abgelaufen,0.22,67,2022,300.5,24,9,20250423-235739
36,kein_Terminated,Zeit abgelaufen,0.24,82,2124,300.5,24,9,20250423-235754
37,kein_Terminated,Zeit abgelaufen,0.23,109,1722,300.5,24,5,20250423-235810
38,kein_Terminated,Zeit abgelaufen,0.14,139,302,300.5,24,5,20250423-235825
39,kein_Terminated,Zeit abgelaufen,0.19,164,624,300.5,24,5,20250423-235840
40,kein_Terminated,Zeit abgelaufen,0.18,54,1692,300.5,24,5,20250423-235855
41,kein_Terminated,Zeit abgelaufen,0.11,253,-1202,300.5,24,3,20250423-235910
42,kein_Terminated,Zeit abgelaufen,0.16,46,1432,300.5,24,0,20250423-235926
43,kein_Terminated,Zeit abgelaufen,0.14,71,906,300.5,24,0,20250423-235942
44,kein_Terminated,Zeit abgelaufen,0.16,34,1592,300.5,24,0,20250423-235957
45,kein_Terminated,Zeit abgelaufen,0.17,33,1762,300.5,24,0,20250424-000012
46,kein_Terminated,Zeit abgelaufen,0.13,59,934,300.5,24,4,20250424-000027
47,kein_Terminated,Zeit abgelaufen,0.16,101,870,300.5,24,4,20250424-000042
48,kein_Terminated,Zeit abgelaufen,0.19,64,1616,300.5,24,7,20250424-000057
49,kein_Terminated,Zeit abgelaufen,0.27,59,2718,300.5,22,9,20250424-000113
50,kein_Terminated,Zeit abgelaufen,0.24,61,2350,300.5,22,9,20250424-000128
51,kein_Terminated,Zeit abgelaufen,0.31,71,3186,300.5,22,9,20250424-000143
52,kein_Terminated,Zeit abgelaufen,0.22,69,2010,300.5,22,9,20250424-000159
53,kein_Terminated,Zeit abgelaufen,0.19,198,404,300.5,22,2,20250424-000214
54,kein_Terminated,Zeit abgelaufen,0.25,19,2862,300.5,22,2,20250424-000229
55,kein_Terminated,Zeit abgelaufen,0.22,85,1826,300.5,22,8,20250424-000245
56,kein_Terminated,Zeit abgelaufen,0.13,198,-460,300.5,24,4,20250424-000300
57,kein_Terminated,Zeit abgelaufen,0.12,241,-954,300.5,24,4,20250424-000315
58,kein_Terminated,Zeit abgelaufen,0.21,155,1034,300.5,24,6,20250424-000330
59,kein_Terminated,Zeit abgelaufen,0.21,59,1978,300.5,24,6,20250424-000346
60,kein_Terminated,Zeit abgelaufen,0.15,196,-124,300.5,24,3,20250424-000401
61,kein_Terminated,Zeit abgelaufen,0.13,221,-686,300.5,24,3,20250424-000416
62,kein_Terminated,Zeit abgelaufen,0.13,199,-386,300.5,24,3,20250424-000431
63,kein_Terminated,Zeit abgelaufen,0.14,163,30,300.5,25,9,20250424-000448
64,kein_Terminated,Zeit abgelaufen,0.16,63,1174,300.5,25,9,20250424-000505
65,kein_Terminated,Zeit abgelaufen,0.15,169,78,300.5,25,3,20250424-000521
66,kein_Terminated,Zeit abgelaufen,0.25,131,1694,300.5,25,3,20250424-000539
67,kein_Terminated,Zeit abgelaufen,0.14,209,-450,300.5,25,7,20250424-000555
68,kein_Terminated,Zeit abgelaufen,0.21,134,1124,300.5,25,7,20250424-000613
69,kein_Terminated,Zeit abgelaufen,0.3,130,2252,300.5,25,5,20250424-000630
70,kein_Terminated,Zeit abgelaufen,0.2,104,1388,300.5,23,2,20250424-000644
71,kein_Terminated,Zeit abgelaufen,0.27,84,2440,300.5,23,2,20250424-000700
72,kein_Terminated,Zeit abgelaufen,0.34,61,3642,300.5,23,6,20250424-000715
73,kein_Terminated,Zeit abgelaufen,0.33,22,3816,300.5,23,6,20250424-000731
74,kein_Terminated,Zeit abgelaufen,0.17,114,976,300.5,23,4,20250424-000746
75,kein_Terminated,Zeit abgelaufen,0.3,47,3250,300.5,23,4,20250424-000802
76,kein_Terminated,Zeit abgelaufen,0.3,20,3460,300.5,23,4,20250424-000817
77,kein_Terminated,Zeit abgelaufen,0.2,151,954,300.5,24,0,20250424-000832
78,kein_Terminated,Zeit abgelaufen,0.2,118,1244,300.5,24,0,20250424-000848
79,kein_Terminated,Zeit abgelaufen,0.25,160,1500,300.5,24,2,20250424-000903
80,kein_Terminated,Zeit abgelaufen,0.2,104,1344,300.5,24,2,20250424-000918
81,kein_Terminated,Zeit abgelaufen,0.26,195,1258,300.5,24,8,20250424-000934
82,kein_Terminated,Zeit abgelaufen,0.28,160,1864,300.5,24,8,20250424-000950
83,kein_Terminated,Zeit abgelaufen,0.34,113,3102,300.5,24,2,20250424-001005
1,kein_Terminated,Zeit abgelaufen,0.49,290,3276,300.5,22,7,20250424-001024
84,kein_Terminated,Zeit abgelaufen,0.28,204,1384,300.5,24,7,20250424-001036
85,kein_Terminated,Zeit abgelaufen,0.34,130,2888,300.5,24,7,20250424-001052
86,kein_Terminated,Zeit abgelaufen,0.2,157,878,300.5,24,1,20250424-001107
87,kein_Terminated,Zeit abgelaufen,0.24,216,728,300.5,24,1,20250424-001123
88,kein_Terminated,Zeit abgelaufen,0.34,70,3520,300.5,24,4,20250424-001138
89,kein_Terminated,Zeit abgelaufen,0.43,145,3934,300.5,24,4,20250424-001154
90,kein_Terminated,Zeit abgelaufen,0.32,160,2392,300.5,24,5,20250424-001209
91,kein_Terminated,Zeit abgelaufen,0.34,163,2430,300.5,25,9,20250424-001227
92,kein_Terminated,Zeit abgelaufen,0.18,86,1216,300.5,25,9,20250424-001244
93,kein_Terminated,Zeit abgelaufen,0.28,272,604,300.5,25,8,20250424-001301
94,kein_Terminated,Zeit abgelaufen,0.28,43,2914,300.5,25,8,20250424-001318
95,kein_Terminated,Zeit abgelaufen,0.15,216,-464,300.5,25,3,20250424-001335
96,kein_Terminated,Zeit abgelaufen,0.13,188,-396,300.5,25,3,20250424-001351
97,kein_Terminated,Zeit abgelaufen,0.13,135,110,300.5,25,2,20250424-001408
98,kein_Terminated,Zeit abgelaufen,0.16,51,1474,300.5,23,3,20250424-001423
99,kein_Terminated,Zeit abgelaufen,0.15,33,1502,300.5,23,3,20250424-001438
100,kein_Terminated,Zeit abgelaufen,0.2,20,2244,300.5,23,4,20250424-001453
101,kein_Terminated,Zeit abgelaufen,0.31,66,3216,300.5,23,4,20250424-001509
102,kein_Terminated,Zeit abgelaufen,0.21,32,2216,300.5,23,4,20250424-001524
103,kein_Terminated,Zeit abgelaufen,0.28,3,3462,300.5,23,4,20250424-001540
104,kein_Terminated,Zeit abgelaufen,0.17,31,1718,300.5,23,3,20250424-001554
105,kein_Terminated,Zeit abgelaufen,0.34,188,2144,300.5,25,7,20250424-001611
106,kein_Terminated,Zeit abgelaufen,0.28,103,2258,300.5,25,7,20250424-001628
107,kein_Terminated,Zeit abgelaufen,0.15,89,810,300.5,25,2,20250424-001645
108,kein_Terminated,Zeit abgelaufen,0.16,92,908,300.5,25,2,20250424-001702
109,kein_Terminated,Zeit abgelaufen,0.07,182,-1100,300.5,25,4,20250424-001718
110,kein_Terminated,Zeit abgelaufen,0.07,251,-1726,300.5,25,4,20250424-001735
111,kein_Terminated,Zeit abgelaufen,0.24,72,2192,300.5,25,5,20250424-001752
112,kein_Terminated,Zeit abgelaufen,0.18,97,1178,300.5,25,8,20250424-001810
113,kein_Terminated,Zeit abgelaufen,0.28,82,2492,300.5,25,8,20250424-001827
114,kein_Terminated,Zeit abgelaufen,0.25,98,1952,300.5,25,5,20250424-001844
115,kein_Terminated,Zeit abgelaufen,0.19,166,540,300.5,25,5,20250424-001901
116,kein_Terminated,Zeit abgelaufen,0.15,124,452,300.5,25,2,20250424-001918
117,kein_Terminated,Zeit abgelaufen,0.13,261,-1146,300.5,25,2,20250424-001934
118,kein_Terminated,Zeit abgelaufen,0.16,92,868,300.5,25,9,20250424-001952
119,kein_Terminated,Zeit abgelaufen,0.39,61,4236,300.5,23,9,20250424-002008
120,kein_Terminated,Zeit abgelaufen,0.33,44,3676,300.5,23,9,20250424-002023
121,kein_Terminated,Zeit abgelaufen,0.29,22,3336,300.5,23,0,20250424-002039
122,kein_Terminated,Zeit abgelaufen,0.28,20,3252,300.5,23,0,20250424-002054
123,kein_Terminated,Zeit abgelaufen,0.29,23,3398,300.5,23,1,20250424-002110
124,kein_Terminated,Zeit abgelaufen,0.24,21,2738,300.5,23,1,20250424-002125
125,kein_Terminated,Zeit abgelaufen,0.15,42,1416,300.5,23,5,20250424-002140
126,kein_Terminated,Zeit abgelaufen,0.21,93,1494,300.5,25,8,20250424-002158
127,kein_Terminated,Zeit abgelaufen,0.22,106,1548,300.5,25,8,20250424-002215
128,kein_Terminated,Zeit abgelaufen,0.25,216,740,300.5,25,1,20250424-002232
129,kein_Terminated,Zeit abgelaufen,0.13,264,-1102,300.5,25,1,20250424-002249
130,kein_Terminated,Zeit abgelaufen,0.14,126,344,300.5,25,2,20250424-002305
131,kein_Terminated,Zeit abgelaufen,0.16,187,-58,300.5,25,2,20250424-002322
132,kein_Terminated,Zeit abgelaufen,0.21,164,836,300.5,25,2,20250424-002339
133,kein_Terminated,Zeit abgelaufen,0.23,57,2294,300.5,22,0,20250424-002354
134,kein_Terminated,Zeit abgelaufen,0.29,31,3274,300.5,22,0,20250424-002409
135,kein_Terminated,Zeit abgelaufen,0.45,32,5288,300.5,22,8,20250424-002425
136,kein_Terminated,Zeit abgelaufen,0.35,24,4228,300.5,22,8,20250424-002440
137,kein_Terminated,Zeit abgelaufen,0.42,41,4866,300.5,22,3,20250424-002455
138,kein_Terminated,Zeit abgelaufen,0.48,60,5424,300.5,22,3,20250424-002511
139,kein_Terminated,Zeit abgelaufen,0.47,54,5404,300.5,22,3,20250424-002526
140,kein_Terminated,Zeit abgelaufen,0.17,320,-1196,300.5,25,1,20250424-002543
141,kein_Terminated,Zeit abgelaufen,0.38,76,3792,300.5,25,1,20250424-002600
142,kein_Terminated,Zeit abgelaufen,0.17,200,-52,300.5,25,1,20250424-002617
143,kein_Terminated,Zeit abgelaufen,0.23,105,1618,300.5,25,1,20250424-002634
144,kein_Terminated,Zeit abgelaufen,0.3,104,2544,300.5,25,7,20250424-002651
145,kein_Terminated,Zeit abgelaufen,0.28,132,2044,300.5,25,7,20250424-002708
146,kein_Terminated,Zeit abgelaufen,0.11,72,468,300.5,25,2,20250424-002725
147,kein_Terminated,Zeit abgelaufen,0.23,37,2426,300.5,24,1,20250424-002740
148,kein_Terminated,Zeit abgelaufen,0.32,200,1988,300.5,24,1,20250424-002756
149,kein_Terminated,Zeit abgelaufen,0.19,13,2222,300.5,24,1,20250424-002812
150,kein_Terminated,Zeit abgelaufen,0.2,7,2350,300.5,24,1,20250424-002827
151,kein_Terminated,Zeit abgelaufen,0.43,52,4808,300.5,24,9,20250424-002843
152,kein_Terminated,Zeit abgelaufen,0.29,29,3262,300.5,24,9,20250424-002858
153,kein_Terminated,Zeit abgelaufen,0.3,166,2068,300.5,24,0,20250424-002914
154,kein_Terminated,Zeit abgelaufen,0.27,37,2894,300.5,23,4,20250424-002930
155,kein_Terminated,Zeit abgelaufen,0.25,18,2864,300.5,23,4,20250424-002945
156,kein_Terminated,Zeit abgelaufen,0.32,20,3716,300.5,23,8,20250424-003001
157,kein_Terminated,Zeit abgelaufen,0.36,44,4064,300.5,23,8,20250424-003017
158,kein_Terminated,Zeit abgelaufen,0.26,36,2872,300.5,23,1,20250424-003033
159,kein_Terminated,Zeit abgelaufen,0.3,23,3450,300.5,23,1,20250424-003048
160,kein_Terminated,Zeit abgelaufen,0.28,27,3122,300.5,23,9,20250424-003104
161,kein_Terminated,Zeit abgelaufen,0.32,13,3858,300.5,23,6,20250424-003119
162,kein_Terminated,Zeit abgelaufen,0.37,35,4230,300.5,23,6,20250424-003135
163,kein_Terminated,Zeit abgelaufen,0.3,68,2972,300.5,23,6,20250424-003150
164,kein_Terminated,Zeit abgelaufen,0.29,12,3512,300.5,23,6,20250424-003206
165,kein_Terminated,Zeit abgelaufen,0.29,29,3330,300.5,23,6,20250424-003221
166,kein_Terminated,Zeit abgelaufen,0.26,50,2696,300.5,23,6,20250424-003237
2,kein_Terminated,Zeit abgelaufen,0.29,31,3242,300.5,22,0,20250424-003255
167,kein_Terminated,Zeit abgelaufen,0.3,17,3538,300.5,23,2,20250424-003307
168,kein_Terminated,Zeit abgelaufen,0.29,9,3426,300.5,23,8,20250424-003322
169,kein_Terminated,Zeit abgelaufen,0.44,65,4858,300.5,23,8,20250424-003338
170,kein_Terminated,Zeit abgelaufen,0.4,123,3710,300.5,23,8,20250424-003353
171,kein_Terminated,Zeit abgelaufen,0.46,91,4870,300.5,23,8,20250424-003409
172,kein_Terminated,Zeit abgelaufen,0.24,37,2602,300.5,23,7,20250424-003425
173,kein_Terminated,Zeit abgelaufen,0.25,166,1376,300.5,23,7,20250424-003440
174,kein_Terminated,Zeit abgelaufen,0.37,54,3992,300.5,23,1,20250424-003455
175,kein_Terminated,Zeit abgelaufen,0.24,39,2514,300.5,24,2,20250424-003511
176,kein_Terminated,Zeit abgelaufen,0.29,101,2506,300.5,24,2,20250424-003526
177,kein_Terminated,Zeit abgelaufen,0.24,34,2532,300.5,24,5,20250424-003542
178,kein_Terminated,Zeit abgelaufen,0.32,135,2590,300.5,24,5,20250424-003557
179,kein_Terminated,Zeit abgelaufen,0.23,110,1714,300.5,24,4,20250424-003612
180,kein_Terminated,Zeit abgelaufen,0.21,151,1006,300.5,24,4,20250424-003628
181,kein_Terminated,Zeit abgelaufen,0.38,102,3680,300.5,24,8,20250424-003643
182,kein_Terminated,Zeit abgelaufen,0.19,187,394,300.5,25,8,20250424-003700
183,kein_Terminated,Zeit abgelaufen,0.29,222,1160,300.5,25,8,20250424-003717
184,kein_Terminated,Zeit abgelaufen,0.34,139,2630,300.5,25,1,20250424-003734
185,kein_Terminated,Zeit abgelaufen,0.23,112,1568,300.5,25,1,20250424-003752
186,kein_Terminated,Zeit abgelaufen,0.34,150,2548,300.5,25,2,20250424-003809
187,kein_Terminated,Zeit abgelaufen,0.34,122,2880,300.5,25,2,20250424-003826
188,kein_Terminated,Zeit abgelaufen,0.36,104,3288,300.5,25,9,20250424-003843
189,kein_Terminated,Zeit abgelaufen,0.31,4,3724,300.5,24,0,20250424-003859
190,kein_Terminated,Zeit abgelaufen,0.3,32,3356,300.5,24,0,20250424-003915
191,kein_Terminated,Zeit abgelaufen,0.24,24,2632,300.5,24,8,20250424-003930
192,kein_Terminated,Zeit abgelaufen,0.42,54,4644,300.5,24,8,20250424-003946
193,kein_Terminated,Zeit abgelaufen,0.31,44,3412,300.5,24,1,20250424-004001
194,kein_Terminated,Zeit abgelaufen,0.23,64,2148,300.5,24,1,20250424-004017
195,kein_Terminated,Zeit abgelaufen,0.33,100,3092,300.5,24,2,20250424-004033
196,kein_Terminated,Zeit abgelaufen,0.26,40,2736,300.5,24,5,20250424-004048
197,kein_Terminated,Zeit abgelaufen,0.3,33,3318,300.5,24,5,20250424-004104
198,kein_Terminated,Zeit abgelaufen,0.34,79,3422,300.5,24,7,20250424-004120
199,kein_Terminated,Zeit abgelaufen,0.21,51,1986,300.5,24,7,20250424-004135
200,kein_Terminated,Zeit abgelaufen,0.34,26,3900,300.5,24,1,20250424-004150
201,kein_Terminated,Zeit abgelaufen,0.23,49,2322,300.5,24,1,20250424-004206
202,kein_Terminated,Zeit abgelaufen,0.31,53,3310,300.5,24,6,20250424-004222
203,kein_Terminated,Zeit abgelaufen,0.41,51,4602,300.5,24,9,20250424-004237
204,kein_Terminated,Zeit abgelaufen,0.43,79,4534,300.5,24,9,20250424-004253
205,kein_Terminated,Zeit abgelaufen,0.34,19,4022,300.5,24,1,20250424-004308
206,kein_Terminated,Zeit abgelaufen,0.48,48,5508,300.5,24,1,20250424-004324
207,kein_Terminated,Zeit abgelaufen,0.29,112,2500,300.5,24,7,20250424-004339
208,kein_Terminated,Zeit abgelaufen,0.38,124,3480,300.5,24,7,20250424-004355
209,kein_Terminated,Zeit abgelaufen,0.36,77,3702,300.5,24,7,20250424-004411
210,kein_Terminated,Zeit abgelaufen,0.21,60,2036,300.5,22,0,20250424-004426
211,kein_Terminated,Zeit abgelaufen,0.28,69,2770,300.5,22,0,20250424-004441
212,kein_Terminated,Zeit abgelaufen,0.32,38,3604,300.5,22,1,20250424-004456
213,kein_Terminated,Zeit abgelaufen,0.54,57,6190,300.5,22,1,20250424-004512
214,kein_Terminated,Zeit abgelaufen,0.3,65,3062,300.5,22,7,20250424-004527
215,kein_Terminated,Zeit abgelaufen,0.57,53,6706,300.5,22,7,20250424-004543
216,kein_Terminated,Zeit abgelaufen,0.39,27,4562,300.5,22,3,20250424-004558
217,kein_Terminated,Zeit abgelaufen,0.31,128,2600,300.5,24,9,20250424-004614
218,kein_Terminated,Zeit abgelaufen,0.39,78,4076,300.5,24,9,20250424-004629
219,kein_Terminated,Zeit abgelaufen,0.28,48,2984,300.5,24,0,20250424-004645
220,kein_Terminated,Zeit abgelaufen,0.34,32,3932,300.5,24,0,20250424-004700
221,kein_Terminated,Zeit abgelaufen,0.25,85,2250,300.5,24,0,20250424-004716
222,kein_Terminated,Zeit abgelaufen,0.4,107,3942,300.5,24,0,20250424-004732
223,kein_Terminated,Zeit abgelaufen,0.36,25,4170,300.5,24,5,20250424-004747
224,kein_Terminated,Zeit abgelaufen,0.28,77,2654,300.5,23,5,20250424-004803
225,kein_Terminated,Zeit abgelaufen,0.37,42,4208,300.5,23,5,20250424-004818
226,kein_Terminated,Zeit abgelaufen,0.33,68,3436,300.5,23,2,20250424-004833
227,kein_Terminated,Zeit abgelaufen,0.33,175,2346,300.5,23,2,20250424-004849
228,kein_Terminated,Zeit abgelaufen,0.21,56,1980,300.5,23,0,20250424-004904
229,kein_Terminated,Zeit abgelaufen,0.22,3,2706,300.5,23,0,20250424-004920
230,kein_Terminated,Zeit abgelaufen,0.41,52,4600,300.5,23,1,20250424-004935
231,kein_Terminated,Zeit abgelaufen,0.18,25,1902,300.5,24,2,20250424-004950
232,kein_Terminated,Zeit abgelaufen,0.18,32,1812,300.5,24,2,20250424-005005
233,kein_Terminated,Zeit abgelaufen,0.41,31,4722,300.5,24,4,20250424-005021
234,kein_Terminated,Zeit abgelaufen,0.2,40,2088,300.5,24,4,20250424-005036
235,kein_Terminated,Zeit abgelaufen,0.12,0,1480,300.5,24,4,20250424-005051
236,kein_Terminated,Zeit abgelaufen,0.21,48,2048,300.5,24,4,20250424-005106
237,kein_Terminated,Zeit abgelaufen,0.37,78,3780,300.5,24,9,20250424-005121
238,kein_Terminated,Zeit abgelaufen,0.33,44,3684,300.5,22,8,20250424-005137
239,kein_Terminated,Zeit abgelaufen,0.32,67,3370,300.5,22,8,20250424-005152
240,kein_Terminated,Zeit abgelaufen,0.33,15,3910,300.5,22,3,20250424-005208
241,kein_Terminated,Zeit abgelaufen,0.28,32,3216,300.5,22,3,20250424-005223
242,kein_Terminated,Zeit abgelaufen,0.32,16,3764,300.5,22,5,20250424-005238
243,kein_Terminated,Zeit abgelaufen,0.3,33,3406,300.5,22,5,20250424-005254
244,kein_Terminated,Zeit abgelaufen,0.38,21,4558,300.5,22,6,20250424-005309
245,kein_Terminated,Zeit abgelaufen,0.2,5,2374,300.5,23,4,20250424-005325
246,kein_Terminated,Zeit abgelaufen,0.34,19,4006,300.5,23,4,20250424-005340
