DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size
2,300,2,-0.5,50000.0,1,100000.0,99999,20,100,50,2,300,10,0.5,5

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
1,kein_Terminated,Zeit abgelaufen,0.2,142,-4249.775027763577,21,20250406-200412
2,kein_Terminated,Zeit abgelaufen,0.18,235,-8224.947701114608,21,20250406-200430
3,kein_Terminated,Zeit abgelaufen,0.34,180,-5581.668160007035,21,20250406-200447
4,kein_Terminated,Zeit abgelaufen,0.24,193,-6746.265468946262,21,20250406-200504
5,kein_Terminated,Zeit abgelaufen,0.27,288,-12378.837160733563,21,20250406-200522
6,kein_Terminated,Zeit abgelaufen,0.29,474,-22890.001191353236,21,20250406-200540
7,kein_Terminated,Zeit abgelaufen,0.35,488,-22883.29134423843,21,20250406-200559
8,kein_Terminated,Zeit abgelaufen,0.32,274,-10739.687635366427,21,20250406-200617
9,kein_Terminated,Zeit abgelaufen,0.35,443,-22535.137544784444,21,20250406-200636
10,kein_Terminated,Zeit abgelaufen,0.35,394,-20615.365088707556,21,20250406-200654
11,kein_Terminated,Zeit abgelaufen,0.26,332,-17564.33531570475,21,20250406-200712
12,kein_Terminated,Zeit abgelaufen,0.32,428,-22600.861663062544,21,20250406-200730
13,kein_Terminated,Zeit abgelaufen,0.19,488,-29791.83071123377,21,20250406-200749
14,kein_Terminated,Zeit abgelaufen,0.25,544,-31242.845495343092,21,20250406-200807
15,kein_Terminated,Zeit abgelaufen,0.12,581,-37612.125161635355,21,20250406-200826
16,kein_Terminated,Zeit abgelaufen,0.23,426,-25352.38271457161,21,20250406-200844
17,kein_Terminated,Zeit abgelaufen,0.23,521,-30564.285646932494,21,20250406-200902
18,kein_Terminated,Zeit abgelaufen,0.17,550,-34962.43586571723,21,20250406-200921
19,kein_Terminated,Zeit abgelaufen,0.3,525,-31898.06005146043,21,20250406-200940
20,kein_Terminated,Zeit abgelaufen,0.21,373,-19351.564817594674,21,20250406-200959
21,kein_Terminated,Zeit abgelaufen,0.21,537,-33971.8539255464,21,20250406-201018
22,kein_Terminated,Zeit abgelaufen,0.28,421,-21884.73818548792,21,20250406-201037
23,kein_Terminated,Zeit abgelaufen,0.21,526,-33678.916673698164,21,20250406-201056
24,kein_Terminated,Zeit abgelaufen,0.13,503,-32659.941779805755,21,20250406-201115
25,kein_Terminated,Zeit abgelaufen,0.22,517,-32490.986477508734,21,20250406-201134
26,kein_Terminated,Zeit abgelaufen,0.19,542,-34286.44533486699,21,20250406-201154
27,kein_Terminated,Zeit abgelaufen,0.32,483,-29042.554793004336,21,20250406-201212
28,kein_Terminated,Zeit abgelaufen,0.32,312,-16221.96605237802,21,20250406-201231
29,kein_Terminated,Zeit abgelaufen,0.26,513,-31706.21128347496,21,20250406-201251
30,kein_Terminated,Zeit abgelaufen,0.35,528,-31661.85505554055,21,20250406-201311
31,kein_Terminated,Zeit abgelaufen,0.24,556,-33574.98848634702,21,20250406-201330
32,kein_Terminated,Zeit abgelaufen,0.25,504,-30728.42833689282,21,20250406-201349
33,kein_Terminated,Zeit abgelaufen,0.31,525,-30515.16237476155,21,20250406-201408
34,kein_Terminated,Zeit abgelaufen,0.15,554,-35783.9790846318,21,20250406-201427
35,kein_Terminated,Zeit abgelaufen,0.19,517,-31442.335720099793,21,20250406-201446
36,kein_Terminated,Zeit abgelaufen,0.19,555,-35617.26233209775,21,20250406-201505
37,kein_Terminated,Zeit abgelaufen,0.12,552,-36258.39589915914,21,20250406-201523
38,kein_Terminated,Zeit abgelaufen,0.19,543,-34952.606702793324,21,20250406-201542
39,kein_Terminated,Zeit abgelaufen,0.2,526,-32626.449314356574,21,20250406-201601
40,kein_Terminated,Zeit abgelaufen,0.22,495,-27322.527825637582,21,20250406-201620
41,kein_Terminated,Zeit abgelaufen,0.16,501,-31597.881796831898,21,20250406-201640
42,kein_Terminated,Zeit abgelaufen,0.38,404,-23725.15244741166,21,20250406-201659
43,kein_Terminated,Zeit abgelaufen,0.19,507,-32397.886947490122,21,20250406-201718
44,kein_Terminated,Zeit abgelaufen,0.19,502,-31743.024027570522,21,20250406-201737
45,kein_Terminated,Zeit abgelaufen,0.36,335,-18513.08302543221,21,20250406-201755
46,kein_Terminated,Zeit abgelaufen,0.18,535,-34082.06040719572,21,20250406-201814
47,kein_Terminated,Zeit abgelaufen,0.21,511,-32611.651264539505,21,20250406-201834
48,kein_Terminated,Zeit abgelaufen,0.23,453,-27903.577555070202,21,20250406-201854
49,kein_Terminated,Zeit abgelaufen,0.28,500,-31244.25636856057,21,20250406-201913
50,kein_Terminated,Zeit abgelaufen,0.17,519,-33547.65411753671,21,20250406-201932
51,kein_Terminated,Zeit abgelaufen,0.17,551,-35409.86324212794,21,20250406-201951
52,kein_Terminated,Zeit abgelaufen,0.28,507,-31528.76095551836,21,20250406-202009
53,kein_Terminated,Zeit abgelaufen,0.17,561,-36308.29369189573,21,20250406-202027
54,kein_Terminated,Zeit abgelaufen,0.24,522,-31633.337297377988,21,20250406-202046
55,kein_Terminated,Zeit abgelaufen,0.23,516,-32948.536330310715,21,20250406-202104
56,kein_Terminated,Zeit abgelaufen,0.2,548,-34677.04390289341,21,20250406-202123
57,kein_Terminated,Zeit abgelaufen,0.15,470,-27836.572468705224,21,20250406-202142
58,kein_Terminated,Zeit abgelaufen,0.14,349,-23108.544021223646,21,20250406-202201
59,kein_Terminated,Zeit abgelaufen,0.1,457,-28964.833591986295,21,20250406-202219
60,kein_Terminated,Zeit abgelaufen,0.09,571,-37624.76182210558,21,20250406-202236
61,kein_Terminated,Zeit abgelaufen,0.11,567,-37204.44347343608,21,20250406-202254
62,kein_Terminated,Zeit abgelaufen,0.19,517,-32496.273746450937,21,20250406-202313
63,kein_Terminated,Zeit abgelaufen,0.26,469,-29626.00429720452,21,20250406-202331
64,kein_Terminated,Zeit abgelaufen,0.23,545,-34887.48409890774,21,20250406-202350
65,kein_Terminated,Zeit abgelaufen,0.05,584,-38973.28840056232,21,20250406-202408
66,kein_Terminated,Zeit abgelaufen,0.18,539,-34732.76080830547,21,20250406-202426
67,kein_Terminated,Zeit abgelaufen,0.17,496,-31991.589870000575,21,20250406-202444
68,kein_Terminated,Zeit abgelaufen,0.28,411,-24096.612416090353,21,20250406-202502
69,kein_Terminated,Zeit abgelaufen,0.28,519,-30439.611286947813,21,20250406-202520
70,kein_Terminated,Zeit abgelaufen,0.3,494,-25859.410261988374,21,20250406-202537
71,kein_Terminated,Zeit abgelaufen,0.24,488,-31043.232398056603,21,20250406-202559
72,kein_Terminated,Zeit abgelaufen,0.2,530,-32809.07098713833,21,20250406-202618
73,kein_Terminated,Zeit abgelaufen,0.19,531,-34206.483834692066,21,20250406-202637
74,kein_Terminated,Zeit abgelaufen,0.16,424,-24362.256899972166,21,20250406-202654
75,kein_Terminated,Zeit abgelaufen,0.15,552,-34349.522012203815,21,20250406-202712
76,kein_Terminated,Zeit abgelaufen,0.36,448,-25055.22678973744,21,20250406-202730
77,kein_Terminated,Zeit abgelaufen,0.12,569,-36021.18476151422,21,20250406-202748
78,kein_Terminated,Zeit abgelaufen,0.12,557,-36192.25846175669,21,20250406-202807
79,kein_Terminated,Zeit abgelaufen,0.2,521,-33218.340252284164,21,20250406-202826
80,kein_Terminated,Zeit abgelaufen,0.34,499,-28122.861642431337,21,20250406-202844
81,kein_Terminated,Zeit abgelaufen,0.17,559,-36413.51567103777,21,20250406-202903
82,kein_Terminated,Zeit abgelaufen,0.19,463,-29361.834391118206,21,20250406-202921
83,kein_Terminated,Zeit abgelaufen,0.18,513,-32931.7154746812,21,20250406-202939
1,kein_Terminated,Zeit abgelaufen,0.09,558,-37088.36078003331,21,20250406-203001
84,kein_Terminated,Zeit abgelaufen,0.18,516,-33358.20551734657,21,20250406-203016
85,kein_Terminated,Zeit abgelaufen,0.2,499,-31797.35303930746,21,20250406-203034
86,kein_Terminated,Zeit abgelaufen,0.18,526,-33750.696677368825,21,20250406-203052
87,kein_Terminated,Zeit abgelaufen,0.18,516,-33300.315541000986,21,20250406-203110
88,kein_Terminated,Zeit abgelaufen,0.23,393,-24152.142136812265,21,20250406-203128
89,kein_Terminated,Zeit abgelaufen,0.02,602,-40432.53719008318,21,20250406-203147
90,kein_Terminated,Zeit abgelaufen,0.19,499,-30242.077731357862,21,20250406-203204
91,kein_Terminated,Zeit abgelaufen,0.2,541,-33713.02600858994,21,20250406-203223
92,kein_Terminated,Zeit abgelaufen,0.21,532,-32208.30333685809,21,20250406-203240
93,kein_Terminated,Zeit abgelaufen,0.15,540,-34296.019120443234,21,20250406-203258
94,kein_Terminated,Zeit abgelaufen,0.35,494,-27146.097063048182,21,20250406-203316
95,kein_Terminated,Zeit abgelaufen,0.2,488,-30684.661530796217,21,20250406-203334
96,kein_Terminated,Zeit abgelaufen,0.16,549,-32021.537645092878,21,20250406-203352
97,kein_Terminated,Zeit abgelaufen,0.26,512,-31247.188103162505,21,20250406-203410
98,kein_Terminated,Zeit abgelaufen,0.32,369,-20653.16934826711,21,20250406-203429
99,kein_Terminated,Zeit abgelaufen,0.34,494,-28927.29693446325,21,20250406-203448
100,kein_Terminated,Zeit abgelaufen,0.32,494,-29354.900545041757,21,20250406-203507
101,kein_Terminated,Zeit abgelaufen,0.24,496,-26981.663688242174,21,20250406-203527
102,kein_Terminated,Zeit abgelaufen,0.13,566,-34601.93899103751,21,20250406-203546
103,kein_Terminated,Zeit abgelaufen,0.16,560,-35316.210967926345,21,20250406-203605
104,kein_Terminated,Zeit abgelaufen,0.29,515,-29699.2053193522,21,20250406-203623
105,kein_Terminated,Zeit abgelaufen,0.28,313,-16583.042177559542,21,20250406-203642
106,kein_Terminated,Zeit abgelaufen,0.18,504,-30670.90702829807,21,20250406-203702
107,kein_Terminated,Zeit abgelaufen,0.15,559,-34522.38551730676,21,20250406-203721
108,kein_Terminated,Zeit abgelaufen,0.31,394,-20595.585587497088,21,20250406-203739
109,kein_Terminated,Zeit abgelaufen,0.21,388,-23651.928807076998,21,20250406-203759
