DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000,1,1080000,99999999999999,20,100,50,2,300,2,0.5,5,-100,0.1,1,False,/home/moritz_s/Documents/RKIM_1/F_u_E_Drohnenrennen/GitRepo/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M1_R6_O8_A2_TR1_T1_20250410-005410/save-04.10.2025_00.54.10/results/save-04.10.2025_00.54.10/_750000_steps.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.13,437,-8114.0,300.5,22,9,20250410-143234
2,kein_Terminated,Zeit abgelaufen,0.17,233,-7355.0,300.5,22,5,20250410-143300
3,kein_Terminated,Zeit abgelaufen,0.14,277,-5804.0,300.5,22,5,20250410-143327
4,kein_Terminated,Zeit abgelaufen,0.21,138,-2323.0,300.5,22,6,20250410-143354
5,kein_Terminated,Zeit abgelaufen,0.26,142,-1214.0,300.5,22,6,20250410-143421
6,kein_Terminated,Zeit abgelaufen,0.16,293,-11454.0,300.5,22,0,20250410-143447
7,kein_Terminated,Zeit abgelaufen,0.15,332,-10863.0,300.5,25,5,20250410-143520
8,kein_Terminated,Zeit abgelaufen,0.15,389,-15489.0,300.5,25,5,20250410-143547
9,kein_Terminated,Zeit abgelaufen,0.21,213,-2491.0,300.5,25,8,20250410-143613
10,kein_Terminated,Zeit abgelaufen,0.13,144,-2485.0,300.5,25,8,20250410-143640
11,kein_Terminated,Zeit abgelaufen,0.16,302,-10492.0,300.5,25,7,20250410-143706
12,kein_Terminated,Zeit abgelaufen,0.17,130,512.0,300.5,25,7,20250410-143732
13,kein_Terminated,Zeit abgelaufen,0.12,353,-11328.0,300.5,25,1,20250410-143758
14,kein_Terminated,Zeit abgelaufen,0.1,407,-13858.0,300.5,25,7,20250410-143825
15,kein_Terminated,Zeit abgelaufen,0.18,351,-8992.0,300.5,25,7,20250410-143851
16,kein_Terminated,Zeit abgelaufen,0.19,267,-5518.0,300.5,25,7,20250410-143917
17,kein_Terminated,Zeit abgelaufen,0.16,226,-5531.0,300.5,25,7,20250410-143943
18,kein_Terminated,Zeit abgelaufen,0.06,429,-17796.0,300.5,25,4,20250410-144010
19,kein_Terminated,Zeit abgelaufen,0.06,471,-24062.0,300.5,25,4,20250410-144035
20,kein_Terminated,Zeit abgelaufen,0.01,602,-60521.0,300.5,25,3,20250410-144106
21,kein_Terminated,Zeit abgelaufen,0.33,555,-41735.0,300.5,23,7,20250410-144130
22,kein_Terminated,Zeit abgelaufen,0.08,593,-58203.0,300.5,23,7,20250410-144157
23,kein_Terminated,Zeit abgelaufen,0.18,81,-1099.0,300.5,23,1,20250410-144220
24,kein_Terminated,Zeit abgelaufen,0.18,156,-2137.0,300.5,23,1,20250410-144243
25,kein_Terminated,Zeit abgelaufen,0.15,194,-3895.0,300.5,23,8,20250410-144305
26,kein_Terminated,Zeit abgelaufen,0.24,76,2575.0,300.5,23,8,20250410-144327
