DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000.0,1,1080000,99999999999999,20,100,50,2,300,2,0.5,5,-100,0.15,0.5,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.16,178,-12644.5,300.5,22,0,20250412-134748
2,kein_Terminated,Zeit abgelaufen,0.17,232,-14245.0,300.5,22,5,20250412-134810
3,kein_Terminated,Zeit abgelaufen,0.13,258,-13185.5,300.5,22,5,20250412-134832
4,kein_Terminated,Zeit abgelaufen,0.21,71,-214.0,300.5,22,5,20250412-134854
5,kein_Terminated,Zeit abgelaufen,0.24,265,-16010.5,300.5,22,5,20250412-134916
6,kein_Terminated,Zeit abgelaufen,0.22,218,-13058.5,300.5,22,5,20250412-134937
7,kein_Terminated,Zeit abgelaufen,0.15,328,-22307.5,300.5,25,5,20250412-135004
8,kein_Terminated,Zeit abgelaufen,0.17,370,-22232.5,300.5,25,5,20250412-135030
9,kein_Terminated,Zeit abgelaufen,0.2,327,-15054.5,300.5,25,8,20250412-135057
10,kein_Terminated,Zeit abgelaufen,0.14,275,-13286.0,300.5,25,8,20250412-135123
11,kein_Terminated,Zeit abgelaufen,0.11,332,-24050.0,300.5,25,8,20250412-135150
12,kein_Terminated,Zeit abgelaufen,0.14,200,-9435.0,300.5,25,8,20250412-135216
13,kein_Terminated,Zeit abgelaufen,0.16,383,-19305.5,300.5,25,8,20250412-135243
14,kein_Terminated,Zeit abgelaufen,0.1,332,-18883.5,300.5,25,8,20250412-135310
15,kein_Terminated,Zeit abgelaufen,0.19,296,-14029.0,300.5,25,8,20250412-135337
16,kein_Terminated,Zeit abgelaufen,0.18,308,-16359.5,300.5,25,7,20250412-135404
17,kein_Terminated,Zeit abgelaufen,0.19,203,-7375.5,300.5,25,7,20250412-135430
