DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,30.0,4,-0.5,50000.0,1,1080000,99999999999999,20,100,50,2,30.0,2,0.5,5,-100,0.15,0.5,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.03,7,-279.0,30.5,22,0,20250412-152024
2,kein_Terminated,Zeit abgelaufen,0.05,0,488.0,30.5,22,6,20250412-152031
3,kein_Terminated,Zeit abgelaufen,0.04,9,400.0,30.5,22,6,20250412-152038
4,kein_Terminated,Zeit abgelaufen,0.06,0,628.0,30.5,22,6,20250412-152045
5,kein_Terminated,Zeit abgelaufen,0.05,21,-525.0,30.5,22,6,20250412-152052
6,kein_Terminated,Zeit abgelaufen,0.04,38,-878.5,30.5,22,6,20250412-152058
7,kein_Terminated,Zeit abgelaufen,0.03,47,-3382.5,30.5,23,6,20250412-152105
8,kein_Terminated,Zeit abgelaufen,0.04,19,-351.5,30.5,23,6,20250412-152112
9,kein_Terminated,Zeit abgelaufen,0.04,41,-3551.5,30.5,23,5,20250412-152120
10,kein_Terminated,Zeit abgelaufen,0.03,47,-4238.5,30.5,23,5,20250412-152127
11,kein_Terminated,Zeit abgelaufen,0.05,43,-2057.0,30.5,23,5,20250412-152134
12,kein_Terminated,Zeit abgelaufen,0.04,17,-1144.0,30.5,23,5,20250412-152141
13,kein_Terminated,Zeit abgelaufen,0.03,38,-2144.0,30.5,23,5,20250412-152148
14,kein_Terminated,Zeit abgelaufen,0.08,11,52.0,30.5,25,5,20250412-152157
15,kein_Terminated,Zeit abgelaufen,0.05,49,-3110.0,30.5,25,5,20250412-152206
16,kein_Terminated,Zeit abgelaufen,0.05,3,568.0,30.5,25,6,20250412-152214
17,kein_Terminated,Zeit abgelaufen,0.04,23,155.0,30.5,25,6,20250412-152223
18,kein_Terminated,Zeit abgelaufen,0.03,42,-1935.0,30.5,25,6,20250412-152232
19,kein_Terminated,Zeit abgelaufen,0.05,4,371.5,30.5,25,6,20250412-152241
20,kein_Terminated,Zeit abgelaufen,0.04,6,396.0,30.5,25,6,20250412-152250
21,kein_Terminated,Zeit abgelaufen,0.03,50,-4158.0,30.5,23,6,20250412-152257
