DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step,DEFAULT_explore_Matrix_Size
10,300,2,-1,50000.0,1,180000,99999999999999,20,100,50,10,300,5,1,0.01,5

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
1,kein_Terminated,Zeit abgelaufen,0.08,607,-15884.923045712092,0,20250404-005310
2,kein_Terminated,Zeit abgelaufen,0.07,1184,-31617.2543565754,0,20250404-005323
3,kein_Terminated,Zeit abgelaufen,0.14,2225,-33863.99406483624,0,20250404-005335
4,kein_Terminated,Zeit abgelaufen,0.16,4010,-68146.90505938674,0,20250404-005348
5,kein_Terminated,Zeit abgelaufen,0.21,5812,-76236.82337113176,0,20250404-005400
6,kein_Terminated,Zeit abgelaufen,0.15,7509,-69225.1299794176,0,20250404-005413
7,kein_Terminated,Zeit abgelaufen,0.33,9486,-96062.47852890193,0,20250404-005426
8,kein_Terminated,Zeit abgelaufen,0.48,11520,-100348.13193012674,0,20250404-005439
9,kein_Terminated,Zeit abgelaufen,0.23,13369,-92524.28417884505,0,20250404-005452
10,kein_Terminated,Zeit abgelaufen,0.21,15238,-90138.27894701458,0,20250404-005504
11,kein_Terminated,Zeit abgelaufen,0.25,17285,-105436.51561771429,0,20250404-005517
12,kein_Terminated,Zeit abgelaufen,0.18,19596,-126044.04976249525,0,20250404-005530
13,kein_Terminated,Zeit abgelaufen,0.3,21680,-115745.19282098964,0,20250404-005543
14,kein_Terminated,Zeit abgelaufen,0.33,23770,-108062.16250524909,0,20250404-005556
15,kein_Terminated,Zeit abgelaufen,0.22,25905,-103591.66072308716,0,20250404-005610
