DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step,DEFAULT_explore_Matrix_Size
10,300,10,-0.1,50000.0,1,180000,99999999999999,20,100,50,10,300,5,1,0.01,5

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
1,kein_Terminated,Zeit abgelaufen,0.06,388,-8836.823388218796,0,20250404-005634
2,kein_Terminated,Zeit abgelaufen,0.09,1823,-28991.516992260018,0,20250404-005646
3,kein_Terminated,Zeit abgelaufen,0.11,3095,-41528.45368599886,0,20250404-005659
4,kein_Terminated,Zeit abgelaufen,0.08,5134,-90578.81805602777,0,20250404-005711
5,kein_Terminated,Zeit abgelaufen,0.18,7018,-78770.60076811266,0,20250404-005724
6,kein_Terminated,Zeit abgelaufen,0.14,8979,-78871.14884885351,0,20250404-005736
7,kein_Terminated,Zeit abgelaufen,0.22,10565,-56965.20434075841,0,20250404-005749
8,kein_Terminated,Zeit abgelaufen,0.33,12140,-62061.63050249636,0,20250404-005802
9,kein_Terminated,Zeit abgelaufen,0.24,14163,-93523.35436876245,0,20250404-005815
10,kein_Terminated,Zeit abgelaufen,0.27,15724,-70802.52217468638,0,20250404-005828
11,kein_Terminated,Zeit abgelaufen,0.23,17682,-75354.91662926327,0,20250404-005840
12,kein_Terminated,Zeit abgelaufen,0.36,19815,-87646.66204124053,0,20250404-005853
13,kein_Terminated,Zeit abgelaufen,0.34,21570,-66201.67355480295,0,20250404-005906
14,kein_Terminated,Zeit abgelaufen,0.3,23542,-91375.39926219881,0,20250404-005919
15,kein_Terminated,Zeit abgelaufen,0.34,25338,-77084.28634289076,0,20250404-005932
16,kein_Terminated,Zeit abgelaufen,0.32,27433,-105139.17413910988,0,20250404-005945
1,kein_Terminated,Zeit abgelaufen,0.04,2927,-194271.29841388954,0,20250404-010007
17,kein_Terminated,Zeit abgelaufen,0.17,29123,-86306.03371436147,0,20250404-010010
18,kein_Terminated,Zeit abgelaufen,0.36,31241,-98454.36765980472,0,20250404-010023
19,kein_Terminated,Zeit abgelaufen,0.15,33409,-115600.87399730814,0,20250404-010036
20,kein_Terminated,Zeit abgelaufen,0.23,35464,-99720.56957637891,0,20250404-010049
21,kein_Terminated,Zeit abgelaufen,0.37,37646,-101610.77294524199,0,20250404-010102
22,kein_Terminated,Zeit abgelaufen,0.45,39465,-76768.9693296305,0,20250404-010115
23,kein_Terminated,Zeit abgelaufen,0.3,41150,-68141.47534561629,0,20250404-010127
24,kein_Terminated,Zeit abgelaufen,0.36,43442,-113109.64340539882,0,20250404-010141
25,kein_Terminated,Zeit abgelaufen,0.29,45846,-126663.4083724882,0,20250404-010154
26,kein_Terminated,Zeit abgelaufen,0.43,47935,-101992.13460887643,0,20250404-010207
27,kein_Terminated,Zeit abgelaufen,0.4,50285,-115893.09372885688,0,20250404-010220
28,kein_Terminated,Zeit abgelaufen,0.3,52481,-120487.7456055277,0,20250404-010233
29,kein_Terminated,Zeit abgelaufen,0.25,55130,-152158.97742242285,0,20250404-010246
30,kein_Terminated,Zeit abgelaufen,0.24,57702,-153785.1276144888,0,20250404-010259
31,kein_Terminated,Zeit abgelaufen,0.13,60453,-154401.3806920896,0,20250404-010312
32,kein_Terminated,Zeit abgelaufen,0.31,62786,-127337.79667974122,0,20250404-010325
33,kein_Terminated,Zeit abgelaufen,0.25,65326,-140849.6234258958,0,20250404-010338
2,kein_Terminated,Zeit abgelaufen,0.05,5754,-186913.35635419175,0,20250404-010356
34,kein_Terminated,Zeit abgelaufen,0.18,67999,-164382.97575816742,0,20250404-010403
35,kein_Terminated,Zeit abgelaufen,0.18,70677,-160810.57707858458,0,20250404-010416
36,kein_Terminated,Zeit abgelaufen,0.29,73012,-133378.601249597,0,20250404-010429
37,kein_Terminated,Zeit abgelaufen,0.17,75785,-161610.84261739682,0,20250404-010442
38,kein_Terminated,Zeit abgelaufen,0.37,77964,-107317.42025051378,0,20250404-010456
