DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step,DEFAULT_explore_Matrix_Size,DEFAULT_BESTRAFUNGSABSTAND_WAND,DEFAULT_SCALE_BESTRAFUNG_WAND
5,300,2,-0.5,50000.0,1,90000,99999999999999,20,100,50,5,300,5,1,0.01,5,0.25,0.1

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
1,kein_Terminated,Zeit abgelaufen,0.11,778,-4441.333656761264,0,20250404-011855
2,kein_Terminated,Zeit abgelaufen,0.1,1458,-4549.924961760704,0,20250404-011906
3,kein_Terminated,Zeit abgelaufen,0.13,2369,-7782.541031802514,0,20250404-011917
4,kein_Terminated,Zeit abgelaufen,0.16,3423,-8982.866395835164,0,20250404-011928
5,kein_Terminated,Zeit abgelaufen,0.21,4293,-7856.350392628287,0,20250404-011940
6,kein_Terminated,Zeit abgelaufen,0.32,5088,-8239.577194257523,0,20250404-011951
7,kein_Terminated,Zeit abgelaufen,0.18,6048,-11951.172749684345,0,20250404-012002
8,kein_Terminated,Zeit abgelaufen,0.33,6867,-6943.726437215162,0,20250404-012013
9,kein_Terminated,Zeit abgelaufen,0.17,7924,-13020.53940168731,0,20250404-012025
10,kein_Terminated,Zeit abgelaufen,0.27,8760,-9756.247882348878,0,20250404-012036
