DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step,DEFAULT_explore_Matrix_Size,DEFAULT_BESTRAFUNGSABSTAND_WAND,DEFAULT_SCALE_BESTRAFUNG_WAND,DEFAULT_TOO_CLOSE_TO_WALL_DISTANCE,DEFAULT_INIT_MAZE_NUMBER
10,300,2,-0.25,50000.0,1,864000,99999999999999,80,100,50,10,300,10,0.5,0.01,5,0.4,0.12,0.2,21

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
0,kein_Terminated,Zu nahe an der Wand,0.02,2,-757.7999999999996,21,20250404-033802
1,kein_Terminated,Zeit abgelaufen,0.07,0,-1393.7614729748796,21,20250404-033856
1,kein_Terminated,Zu nahe an der Wand,0.06,2,-396.1200680272106,21,20250404-033910
1,kein_Terminated,Zu nahe an der Wand,0.01,2,-295.3333333333331,21,20250404-033914
2,kein_Terminated,Zeit abgelaufen,0.07,0,-310.0102030656653,21,20250404-033938
3,kein_Terminated,Zeit abgelaufen,0.09,0,-567.401349225401,21,20250404-034003
4,kein_Terminated,Zeit abgelaufen,0.09,0,-1339.9185358806799,21,20250404-034041
5,kein_Terminated,Zeit abgelaufen,0.08,0,-188.10989657813167,21,20250404-034125
6,kein_Terminated,Zeit abgelaufen,0.1,0,-127.96264097070528,21,20250404-034150
6,kein_Terminated,Zu nahe an der Wand,0.04,1,-196.29110658497652,21,20250404-034201
6,kein_Terminated,Zu nahe an der Wand,0.03,2,-711.9921768707474,21,20250404-034207
6,kein_Terminated,Zu nahe an der Wand,0.07,2,-9.748639455782495,21,20250404-034217
6,kein_Terminated,Zu nahe an der Wand,0.02,2,-442.0333333333332,21,20250404-034221
7,kein_Terminated,Zeit abgelaufen,0.11,0,-929.504390301778,21,20250404-034243
7,kein_Terminated,Zu nahe an der Wand,0.04,2,-95.8119047619034,21,20250404-034250
7,kein_Terminated,Zu nahe an der Wand,0.07,2,-2287.9306074423052,21,20250404-034309
7,kein_Terminated,Zu nahe an der Wand,0.08,2,-226.69393719812365,21,20250404-034320
7,kein_Terminated,Zu nahe an der Wand,0.1,2,-370.4383157251279,21,20250404-034341
7,kein_Terminated,Zu nahe an der Wand,0.07,2,-704.7084401385137,21,20250404-034359
7,kein_Terminated,Zu nahe an der Wand,0.07,2,-787.8041037489617,21,20250404-034410
7,kein_Terminated,Zu nahe an der Wand,0.03,2,-1304.0148049001311,21,20250404-034416
8,kein_Terminated,Zeit abgelaufen,0.1,0,-925.1221950987367,21,20250404-034438
8,kein_Terminated,Zu nahe an der Wand,0.04,2,-508.8012844185686,21,20250404-034448
8,kein_Terminated,Zu nahe an der Wand,0.01,2,61.25,21,20250404-034451
8,kein_Terminated,Zu nahe an der Wand,0.01,1,13.966666666666626,21,20250404-034455
8,kein_Terminated,Zu nahe an der Wand,0.01,2,-53.78333333333337,21,20250404-034459
8,kein_Terminated,Zu nahe an der Wand,0.01,2,18.49999999999997,21,20250404-034503
8,kein_Terminated,Zu nahe an der Wand,0.01,2,53.5,21,20250404-034507
8,kein_Terminated,Zu nahe an der Wand,0.01,2,-45.5,21,20250404-034510
8,kein_Terminated,Zu nahe an der Wand,0.01,2,-45.5,21,20250404-034514
8,kein_Terminated,Zu nahe an der Wand,0.01,2,11.166666666666675,21,20250404-034517
8,kein_Terminated,Zu nahe an der Wand,0.01,2,57.83333333333334,21,20250404-034521
8,kein_Terminated,Zu nahe an der Wand,0.01,2,-45.5,21,20250404-034524
8,kein_Terminated,Zu nahe an der Wand,0.01,2,57.83333333333334,21,20250404-034528
8,kein_Terminated,Zu nahe an der Wand,0.03,2,-584.1438775510202,21,20250404-034535
8,kein_Terminated,Zu nahe an der Wand,0.05,2,-1156.1993197278916,21,20250404-034546
8,kein_Terminated,Zu nahe an der Wand,0.02,2,-801.2489795918368,21,20250404-034551
8,kein_Terminated,Zu nahe an der Wand,0.06,2,-177.9428571428562,21,20250404-034601
8,kein_Terminated,Zu nahe an der Wand,0.03,2,-567.6840136054406,21,20250404-034607
8,kein_Terminated,Zu nahe an der Wand,0.01,2,-77.73333333333335,21,20250404-034611
8,kein_Terminated,Zu nahe an der Wand,0.03,2,-531.9112244897957,21,20250404-034615
8,kein_Terminated,Zu nahe an der Wand,0.05,2,-111.26907398205454,21,20250404-034624
8,kein_Terminated,Zu nahe an der Wand,0.04,2,-6.101573980932452,21,20250404-034630
8,kein_Terminated,Zu nahe an der Wand,0.02,2,-107.13027210884317,21,20250404-034635
8,kein_Terminated,Zu nahe an der Wand,0.03,2,-10.01496622933648,21,20250404-034639
8,kein_Terminated,Zu nahe an der Wand,0.04,2,-423.70170068027227,21,20250404-034645
8,kein_Terminated,Zu nahe an der Wand,0.01,2,57.83333333333334,21,20250404-034649
8,kein_Terminated,Zu nahe an der Wand,0.01,2,11.166666666666671,21,20250404-034652
8,kein_Terminated,Zu nahe an der Wand,0.01,2,-45.5,21,20250404-034656
8,kein_Terminated,Zu nahe an der Wand,0.01,2,11.166666666666671,21,20250404-034700
8,kein_Terminated,Zu nahe an der Wand,0.01,2,-45.5,21,20250404-034703
8,kein_Terminated,Zu nahe an der Wand,0.01,2,11.166666666666675,21,20250404-034707
8,kein_Terminated,Zu nahe an der Wand,0.09,2,-108.78085742251687,21,20250404-034723
0,kein_Terminated,Zu nahe an der Wand,0.04,2,256.22551020408173,21,20250404-034745
8,kein_Terminated,Zu nahe an der Wand,0.12,2,-494.9830904615462,21,20250404-034748
8,kein_Terminated,Zu nahe an der Wand,0.04,2,6.209952656092726,21,20250404-034754
8,kein_Terminated,Zu nahe an der Wand,0.11,2,147.36647431814663,21,20250404-034808
8,kein_Terminated,Zu nahe an der Wand,0.1,2,118.1429379247296,21,20250404-034823
8,kein_Terminated,Zu nahe an der Wand,0.06,2,-134.63577482543474,21,20250404-034831
8,kein_Terminated,Zu nahe an der Wand,0.14,2,287.57934460988554,21,20250404-034851
8,kein_Terminated,Zu nahe an der Wand,0.1,2,28.23235677766428,21,20250404-034908
8,kein_Terminated,Zu nahe an der Wand,0.03,2,-729.1334216169084,21,20250404-034913
8,kein_Terminated,Zu nahe an der Wand,0.09,1,221.13252854963778,21,20250404-034926
8,kein_Terminated,Zu nahe an der Wand,0.06,2,-461.539052043482,21,20250404-034934
8,kein_Terminated,Zu nahe an der Wand,0.09,2,-189.5414928700662,21,20250404-034946
8,kein_Terminated,Zu nahe an der Wand,0.01,2,-164.08333333333323,21,20250404-034950
8,kein_Terminated,Zu nahe an der Wand,0.01,2,-595.0833333333334,21,20250404-034954
8,kein_Terminated,Zu nahe an der Wand,0.01,2,-217.33333333333317,21,20250404-034957
