DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step,DEFAULT_explore_Matrix_Size,DEFAULT_BESTRAFUNGSABSTAND_WAND,DEFAULT_SCALE_BESTRAFUNG_WAND,DEFAULT_TOO_CLOSE_TO_WALL_DISTANCE,DEFAULT_INIT_MAZE_NUMBER
10,300,10,-1,50000.0,1,864000,99999999999999,80,100,50,10,300,10,0.5,0.01,5,0.4,0.15,0.2,21

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
0,kein_Terminated,Zu nahe an der Wand,0.02,2,-470.4999999999984,21,20250404-144838
0,kein_Terminated,Zu nahe an der Wand,0.06,2,-2237.0473818220494,21,20250404-144857
0,kein_Terminated,Zu nahe an der Wand,0.07,2,-1028.511556298361,21,20250404-144918
1,kein_Terminated,Zeit abgelaufen,0.12,0,858.5467687074834,21,20250404-144939
1,kein_Terminated,Zu nahe an der Wand,0.01,2,20.875,21,20250404-144943
1,kein_Terminated,Zu nahe an der Wand,0.01,2,534.625,21,20250404-144946
1,kein_Terminated,Zu nahe an der Wand,0.01,2,478.875,21,20250404-144950
1,kein_Terminated,Zu nahe an der Wand,0.01,2,414.5,21,20250404-144954
1,kein_Terminated,Zu nahe an der Wand,0.01,2,273.5,21,20250404-144958
1,kein_Terminated,Zu nahe an der Wand,0.01,2,504.375,21,20250404-145001
1,kein_Terminated,Zu nahe an der Wand,0.02,2,419.51977449282316,21,20250404-145006
1,kein_Terminated,Zu nahe an der Wand,0.01,2,462.92964575720316,21,20250404-145010
1,kein_Terminated,Zu nahe an der Wand,0.03,2,384.7265880537331,21,20250404-145016
1,kein_Terminated,Zu nahe an der Wand,0.07,2,-1490.987707558042,21,20250404-145031
1,kein_Terminated,Zu nahe an der Wand,0.01,2,435.09031175121896,21,20250404-145035
1,kein_Terminated,Zu nahe an der Wand,0.02,2,-209.25313763517505,21,20250404-145042
2,kein_Terminated,Zeit abgelaufen,0.08,0,-595.9999999999994,21,20250404-145104
2,kein_Terminated,Zu nahe an der Wand,0.02,2,-1305.6666666666663,21,20250404-145109
2,kein_Terminated,Zu nahe an der Wand,0.06,2,-1363.1641156462624,21,20250404-145123
2,kein_Terminated,Zu nahe an der Wand,0.03,2,-1740.3937074829996,21,20250404-145129
2,kein_Terminated,Zu nahe an der Wand,0.04,2,-2320.793367346942,21,20250404-145141
2,kein_Terminated,Zu nahe an der Wand,0.06,2,-1855.3341836734744,21,20250404-145157
2,kein_Terminated,Zu nahe an der Wand,0.05,2,960.8932455397378,21,20250404-145206
2,kein_Terminated,Zu nahe an der Wand,0.04,2,369.7578528139588,21,20250404-145216
2,kein_Terminated,Zu nahe an der Wand,0.05,2,-366.3835034013636,21,20250404-145227
2,kein_Terminated,Zu nahe an der Wand,0.06,2,765.0348639455774,21,20250404-145237
2,kein_Terminated,Zu nahe an der Wand,0.04,2,377.38010204081684,21,20250404-145244
2,kein_Terminated,Zu nahe an der Wand,0.06,2,777.3469387755074,21,20250404-145255
2,kein_Terminated,Zu nahe an der Wand,0.05,2,565.0399659863915,21,20250404-145304
2,kein_Terminated,Zu nahe an der Wand,0.04,2,317.0527210884361,21,20250404-145312
2,kein_Terminated,Zu nahe an der Wand,0.03,2,690.4744897959168,21,20250404-145318
2,kein_Terminated,Zu nahe an der Wand,0.02,2,530.4991496598645,21,20250404-145322
2,kein_Terminated,Zu nahe an der Wand,0.03,2,-625.8852040816358,21,20250404-145330
2,kein_Terminated,Zu nahe an der Wand,0.05,2,711.0909863945521,21,20250404-145340
2,kein_Terminated,Zu nahe an der Wand,0.03,2,643.6700680272128,21,20250404-145344
2,kein_Terminated,Zu nahe an der Wand,0.07,2,746.8749999999901,21,20250404-145355
2,kein_Terminated,Zu nahe an der Wand,0.03,2,701.817176870745,21,20250404-145400
2,kein_Terminated,Zu nahe an der Wand,0.06,2,617.5263605442182,21,20250404-145411
2,kein_Terminated,Zu nahe an der Wand,0.02,2,644.387755102041,21,20250404-145415
3,kein_Terminated,Zeit abgelaufen,0.13,0,456.9623083673199,21,20250404-145437
3,kein_Terminated,Zu nahe an der Wand,0.04,2,597.7321428571419,21,20250404-145443
3,kein_Terminated,Zu nahe an der Wand,0.09,2,929.4332965436844,21,20250404-145458
4,kein_Terminated,Zeit abgelaufen,0.1,0,553.2247748215141,21,20250404-145520
4,kein_Terminated,Zu nahe an der Wand,0.04,2,-29.077380952381883,21,20250404-145527
4,kein_Terminated,Zu nahe an der Wand,0.04,2,-297.9838435374147,21,20250404-145534
4,kein_Terminated,Zu nahe an der Wand,0.04,2,-291.1322971343569,21,20250404-145546
4,kein_Terminated,Zu nahe an der Wand,0.04,2,309.05697278911265,21,20250404-145552
4,kein_Terminated,Zu nahe an der Wand,0.12,2,772.9855773889163,21,20250404-145606
4,kein_Terminated,Zu nahe an der Wand,0.04,2,219.2321428571397,21,20250404-145612
4,kein_Terminated,Zu nahe an der Wand,0.02,2,-198.16666666666669,21,20250404-145616
4,kein_Terminated,Zu nahe an der Wand,0.02,2,367.54506802721187,21,20250404-145621
0,kein_Terminated,Zu nahe an der Wand,0.06,2,2077.6409859122055,21,20250404-145644
4,kein_Terminated,Zu nahe an der Wand,0.11,2,876.8018707482908,21,20250404-145645
4,kein_Terminated,Zu nahe an der Wand,0.01,2,404.41666666666663,21,20250404-145649
4,kein_Terminated,Zu nahe an der Wand,0.01,2,387.74999999999994,21,20250404-145653
4,kein_Terminated,Zu nahe an der Wand,0.02,2,412.7500000000003,21,20250404-145657
4,kein_Terminated,Zu nahe an der Wand,0.01,1,308.4166666666666,21,20250404-145700
4,kein_Terminated,Zu nahe an der Wand,0.15,2,2133.336734693887,21,20250404-145718
4,kein_Terminated,Zu nahe an der Wand,0.04,2,-484.2406462585041,21,20250404-145725
4,kein_Terminated,Zu nahe an der Wand,0.02,2,767.7721088435376,21,20250404-145729
4,kein_Terminated,Zu nahe an der Wand,0.03,2,687.8103741496585,21,20250404-145734
4,kein_Terminated,Zu nahe an der Wand,0.05,2,1312.2270408163215,21,20250404-145740
4,kein_Terminated,Zu nahe an der Wand,0.11,2,2133.85884353742,21,20250404-145754
4,kein_Terminated,Zu nahe an der Wand,0.11,2,1807.9243197278824,21,20250404-145809
4,kein_Terminated,Zu nahe an der Wand,0.13,2,1744.5581251100941,21,20250404-145828
4,kein_Terminated,Zu nahe an der Wand,0.02,2,582.5843589133572,21,20250404-145832
4,kein_Terminated,Zu nahe an der Wand,0.01,2,553.5,21,20250404-145836
4,kein_Terminated,Zu nahe an der Wand,0.01,2,493.75,21,20250404-145840
4,kein_Terminated,Zu nahe an der Wand,0.01,2,547.4583333333334,21,20250404-145843
4,kein_Terminated,Zu nahe an der Wand,0.01,2,519.9583333333334,21,20250404-145847
4,kein_Terminated,Zu nahe an der Wand,0.02,2,315.53630918348233,21,20250404-145852
4,kein_Terminated,Zu nahe an der Wand,0.02,2,-335.8333333333333,21,20250404-145856
4,kein_Terminated,Zu nahe an der Wand,0.11,2,-103.05782312925136,21,20250404-145914
4,kein_Terminated,Zu nahe an der Wand,0.04,2,513.6258503401358,21,20250404-145919
4,kein_Terminated,Zu nahe an der Wand,0.03,2,188.23214285714343,21,20250404-145924
4,kein_Terminated,Zu nahe an der Wand,0.03,2,-413.7499999999995,21,20250404-145930
4,kein_Terminated,Zu nahe an der Wand,0.04,2,1130.3010204081609,21,20250404-145936
4,kein_Terminated,Zu nahe an der Wand,0.01,2,279.25,21,20250404-145939
4,kein_Terminated,Zu nahe an der Wand,0.01,2,279.25,21,20250404-145943
4,kein_Terminated,Zu nahe an der Wand,0.01,2,279.25,21,20250404-145947
4,kein_Terminated,Zu nahe an der Wand,0.01,2,279.25,21,20250404-145950
4,kein_Terminated,Zu nahe an der Wand,0.01,2,445.9166666666667,21,20250404-145954
4,kein_Terminated,Zu nahe an der Wand,0.01,2,387.58333333333337,21,20250404-145957
4,kein_Terminated,Zu nahe an der Wand,0.01,2,443.6666666666667,21,20250404-150001
4,kein_Terminated,Zu nahe an der Wand,0.01,2,414.79166666666663,21,20250404-150004
4,kein_Terminated,Zu nahe an der Wand,0.01,2,5.083333333333254,21,20250404-150008
4,kein_Terminated,Zu nahe an der Wand,0.02,2,338.6343537414967,21,20250404-150012
4,kein_Terminated,Zu nahe an der Wand,0.01,2,-50.24999999999997,21,20250404-150016
4,kein_Terminated,Zu nahe an der Wand,0.01,2,356.6249999999999,21,20250404-150020
4,kein_Terminated,Zu nahe an der Wand,0.13,2,2123.211413752558,21,20250404-150034
4,kein_Terminated,Zu nahe an der Wand,0.09,2,1305.6433255902464,21,20250404-150048
4,kein_Terminated,Zu nahe an der Wand,0.06,1,1522.6510509092145,21,20250404-150054
4,kein_Terminated,Zu nahe an der Wand,0.03,2,882.6079931972779,21,20250404-150059
4,kein_Terminated,Zu nahe an der Wand,0.07,2,784.2535224700788,21,20250404-150111
4,kein_Terminated,Zu nahe an der Wand,0.09,2,1988.6181809345273,21,20250404-150121
4,kein_Terminated,Zu nahe an der Wand,0.02,2,468.3214285714288,21,20250404-150125
4,kein_Terminated,Zu nahe an der Wand,0.08,2,364.3954081632655,21,20250404-150135
4,kein_Terminated,Zu nahe an der Wand,0.03,2,614.4047619047608,21,20250404-150140
4,kein_Terminated,Zu nahe an der Wand,0.04,2,140.18282312925336,21,20250404-150144
4,kein_Terminated,Zu nahe an der Wand,0.12,2,1498.2482993197234,21,20250404-150158
4,kein_Terminated,Zu nahe an der Wand,0.11,2,2278.085711572693,21,20250404-150210
4,kein_Terminated,Zu nahe an der Wand,0.11,2,624.7959183673495,21,20250404-150224
4,kein_Terminated,Zu nahe an der Wand,0.12,2,2744.549751475376,21,20250404-150232
4,kein_Terminated,Zu nahe an der Wand,0.03,2,55.25000000000037,21,20250404-150236
4,kein_Terminated,Zu nahe an der Wand,0.02,2,113.62500000000006,21,20250404-150240
4,kein_Terminated,Zu nahe an der Wand,0.02,2,580.3333333333335,21,20250404-150244
4,kein_Terminated,Zu nahe an der Wand,0.03,2,678.0059523809529,21,20250404-150249
4,kein_Terminated,Zu nahe an der Wand,0.02,2,731.4175170068032,21,20250404-150253
4,kein_Terminated,Zu nahe an der Wand,0.07,2,1533.6921768707439,21,20250404-150300
4,kein_Terminated,Zu nahe an der Wand,0.05,1,1165.5085034013564,21,20250404-150306
4,kein_Terminated,Zu nahe an der Wand,0.03,2,1121.2763605442158,21,20250404-150311
4,kein_Terminated,Zu nahe an der Wand,0.15,2,2791.237244897968,21,20250404-150328
4,kein_Terminated,Zu nahe an der Wand,0.06,2,1666.2593537414962,21,20250404-150334
4,kein_Terminated,Zu nahe an der Wand,0.01,2,621.9234823104745,21,20250404-150338
4,kein_Terminated,Zu nahe an der Wand,0.02,2,644.6950743434135,21,20250404-150342
4,kein_Terminated,Zu nahe an der Wand,0.01,2,562.5858196481495,21,20250404-150345
4,kein_Terminated,Zu nahe an der Wand,0.12,2,3067.132606308674,21,20250404-150356
4,kein_Terminated,Zu nahe an der Wand,0.01,2,678.0261188107546,21,20250404-150400
4,kein_Terminated,Zu nahe an der Wand,0.01,2,546.8706671003912,21,20250404-150403
4,kein_Terminated,Zu nahe an der Wand,0.02,2,714.3333333333334,21,20250404-150407
4,kein_Terminated,Zu nahe an der Wand,0.01,2,448.125,21,20250404-150410
4,kein_Terminated,Zu nahe an der Wand,0.02,2,623.5833333333336,21,20250404-150414
4,kein_Terminated,Zu nahe an der Wand,0.02,2,637.2571224495854,21,20250404-150418
4,kein_Terminated,Zu nahe an der Wand,0.01,2,566.625,21,20250404-150422
4,kein_Terminated,Zu nahe an der Wand,0.01,2,448.125,21,20250404-150426
4,kein_Terminated,Zu nahe an der Wand,0.03,2,835.3273809523803,21,20250404-150430
4,kein_Terminated,Zu nahe an der Wand,0.03,2,716.1271913484882,21,20250404-150436
4,kein_Terminated,Zu nahe an der Wand,0.05,2,1062.325644327482,21,20250404-150442
4,kein_Terminated,Zu nahe an der Wand,0.02,2,809.7179032551106,21,20250404-150446
4,kein_Terminated,Zu nahe an der Wand,0.04,2,447.5185867326737,21,20250404-150451
4,kein_Terminated,Zu nahe an der Wand,0.03,2,878.8511904761917,21,20250404-150456
4,kein_Terminated,Zu nahe an der Wand,0.01,2,502.25,21,20250404-150459
4,kein_Terminated,Zu nahe an der Wand,0.01,2,448.125,21,20250404-150503
4,kein_Terminated,Zu nahe an der Wand,0.01,2,448.125,21,20250404-150506
4,kein_Terminated,Zu nahe an der Wand,0.03,2,813.4438775510196,21,20250404-150511
4,kein_Terminated,Zu nahe an der Wand,0.02,2,675.522927434702,21,20250404-150515
4,kein_Terminated,Zu nahe an der Wand,0.01,2,583.3333333333334,21,20250404-150518
4,kein_Terminated,Zu nahe an der Wand,0.06,2,1190.5722789115619,21,20250404-150524
4,kein_Terminated,Zu nahe an der Wand,0.02,2,376.7916666666667,21,20250404-150528
4,kein_Terminated,Zu nahe an der Wand,0.02,2,584.5000000000003,21,20250404-150532
4,kein_Terminated,Zu nahe an der Wand,0.23,2,5731.502551020418,21,20250404-150547
4,kein_Terminated,Zu nahe an der Wand,0.03,2,-93.51644807664208,21,20250404-150551
4,kein_Terminated,Zu nahe an der Wand,0.02,2,362.2916666666671,21,20250404-150555
4,kein_Terminated,Zu nahe an der Wand,0.01,2,252.54166666666654,21,20250404-150559
4,kein_Terminated,Zu nahe an der Wand,0.13,2,1912.687925170064,21,20250404-150610
4,kein_Terminated,Zu nahe an der Wand,0.01,2,443.8333333333333,21,20250404-150613
4,kein_Terminated,Zu nahe an der Wand,0.01,2,364.79166666666663,21,20250404-150617
4,kein_Terminated,Zu nahe an der Wand,0.01,2,337.74999999999994,21,20250404-150620
4,kein_Terminated,Zu nahe an der Wand,0.03,2,402.4923469387753,21,20250404-150625
4,kein_Terminated,Zu nahe an der Wand,0.01,2,364.79166666666663,21,20250404-150628
4,kein_Terminated,Zu nahe an der Wand,0.02,2,597.2440476190477,21,20250404-150633
4,kein_Terminated,Zu nahe an der Wand,0.03,2,807.1335034013606,21,20250404-150637
4,kein_Terminated,Zu nahe an der Wand,0.03,2,488.2346938775518,21,20250404-150641
4,kein_Terminated,Zu nahe an der Wand,0.02,2,549.1666666666667,21,20250404-150645
4,kein_Terminated,Zu nahe an der Wand,0.1,2,2549.807823129255,21,20250404-150652
4,kein_Terminated,Zu nahe an der Wand,0.12,2,2809.176020408176,21,20250404-150703
4,kein_Terminated,Zu nahe an der Wand,0.1,2,2072.0820243695657,21,20250404-150712
4,kein_Terminated,Zu nahe an der Wand,0.11,2,2512.8713726854276,21,20250404-150724
4,kein_Terminated,Zu nahe an der Wand,0.02,2,635.7283634590102,21,20250404-150728
4,kein_Terminated,Zu nahe an der Wand,0.07,2,1793.9554724450434,21,20250404-150736
4,kein_Terminated,Zu nahe an der Wand,0.02,2,583.5758137940153,21,20250404-150740
4,kein_Terminated,Zu nahe an der Wand,0.02,2,552.8750000000003,21,20250404-150743
4,kein_Terminated,Zu nahe an der Wand,0.08,2,2275.3197278911603,21,20250404-150749
4,kein_Terminated,Zu nahe an der Wand,0.04,2,736.8120748299269,21,20250404-150754
4,kein_Terminated,Zu nahe an der Wand,0.01,2,430.33333333333326,21,20250404-150758
4,kein_Terminated,Zu nahe an der Wand,0.02,2,547.8928571428584,21,20250404-150802
4,kein_Terminated,Zu nahe an der Wand,0.02,2,633.6777210884353,21,20250404-150806
4,kein_Terminated,Zu nahe an der Wand,0.07,2,2025.9455782312882,21,20250404-150814
4,kein_Terminated,Zu nahe an der Wand,0.04,2,1363.5178571428557,21,20250404-150819
4,kein_Terminated,Zu nahe an der Wand,0.02,2,803.4013605442178,21,20250404-150823
4,kein_Terminated,Zu nahe an der Wand,0.02,2,925.818027210885,21,20250404-150827
4,kein_Terminated,Zu nahe an der Wand,0.05,2,1133.477040816318,21,20250404-150834
4,kein_Terminated,Zu nahe an der Wand,0.02,2,836.8197278911565,21,20250404-150837
4,kein_Terminated,Zu nahe an der Wand,0.06,2,-324.0221088435369,21,20250404-150845
4,kein_Terminated,Zu nahe an der Wand,0.12,2,3150.965254380393,21,20250404-150854
4,kein_Terminated,Zu nahe an der Wand,0.01,2,485.2916666666669,21,20250404-150858
4,kein_Terminated,Zu nahe an der Wand,0.09,2,2350.113945578242,21,20250404-150905
4,kein_Terminated,Zu nahe an der Wand,0.02,2,558.583333333334,21,20250404-150909
4,kein_Terminated,Zu nahe an der Wand,0.01,2,498.4583333333334,21,20250404-150913
4,kein_Terminated,Zu nahe an der Wand,0.1,2,2457.030239162773,21,20250404-150922
4,kein_Terminated,Zu nahe an der Wand,0.05,2,1465.1649124632231,21,20250404-150927
4,kein_Terminated,Zu nahe an der Wand,0.04,2,436.34517011749864,21,20250404-150932
4,kein_Terminated,Zu nahe an der Wand,0.02,2,566.2633924139094,21,20250404-150936
4,kein_Terminated,Zu nahe an der Wand,0.04,2,284.6611265191083,21,20250404-150942
4,kein_Terminated,Zu nahe an der Wand,0.03,2,853.6978274068202,21,20250404-150946
4,kein_Terminated,Zu nahe an der Wand,0.02,2,649.9991496598633,21,20250404-150950
4,kein_Terminated,Zu nahe an der Wand,0.02,2,565.6932442484051,21,20250404-150954
4,kein_Terminated,Zu nahe an der Wand,0.01,2,444.375,21,20250404-150957
4,kein_Terminated,Zu nahe an der Wand,0.01,2,448.125,21,20250404-151001
4,kein_Terminated,Zu nahe an der Wand,0.01,2,448.125,21,20250404-151005
4,kein_Terminated,Zu nahe an der Wand,0.01,2,498.125,21,20250404-151008
4,kein_Terminated,Zu nahe an der Wand,0.09,2,2909.4810442785506,21,20250404-151014
4,kein_Terminated,Zu nahe an der Wand,0.06,2,1986.48044217687,21,20250404-151020
4,kein_Terminated,Zu nahe an der Wand,0.04,2,905.4770408163248,21,20250404-151024
4,kein_Terminated,Zu nahe an der Wand,0.02,2,633.8333333333342,21,20250404-151028
4,kein_Terminated,Zu nahe an der Wand,0.02,2,656.7916666666674,21,20250404-151032
0,kein_Terminated,Zu nahe an der Wand,0.03,2,948.8076525788719,21,20250404-151040
4,kein_Terminated,Zu nahe an der Wand,0.05,2,694.9430272108807,21,20250404-151042
4,kein_Terminated,Zu nahe an der Wand,0.04,2,1201.6458583888516,21,20250404-151047
4,kein_Terminated,Zu nahe an der Wand,0.03,2,836.6777210884358,21,20250404-151051
4,kein_Terminated,Zu nahe an der Wand,0.01,2,498.125,21,20250404-151054
4,kein_Terminated,Zu nahe an der Wand,0.01,2,571.2253401360547,21,20250404-151058
4,kein_Terminated,Zu nahe an der Wand,0.01,2,448.125,21,20250404-151102
4,kein_Terminated,Zu nahe an der Wand,0.01,2,448.125,21,20250404-151105
4,kein_Terminated,Zu nahe an der Wand,0.05,2,1326.7213524775825,21,20250404-151111
4,kein_Terminated,Zu nahe an der Wand,0.07,2,1791.24354658833,21,20250404-151118
4,kein_Terminated,Zu nahe an der Wand,0.01,2,486.625,21,20250404-151121
4,kein_Terminated,Zu nahe an der Wand,0.02,2,493.92218187050514,21,20250404-151125
4,kein_Terminated,Zu nahe an der Wand,0.02,2,735.8646317713285,21,20250404-151130
4,kein_Terminated,Zu nahe an der Wand,0.04,2,1058.9568018004115,21,20250404-151134
