DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step,DEFAULT_explore_Matrix_Size
4,300,2,-1,50000.0,1,100000.0,99999,50,100,50,4,300,5,1,0.01,5

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
1,kein_Terminated,Zeit abgelaufen,0.4,435,-18293.849587362678,21,20250403-224507
2,kein_Terminated,Zeit abgelaufen,0.37,593,-25806.567631053294,21,20250403-224600
3,kein_Terminated,Zeit abgelaufen,0.44,903,-42756.329515464524,21,20250403-224654
4,kein_Terminated,Zeit abgelaufen,0.36,994,-54903.04524469063,21,20250403-224748
5,kein_Terminated,Zeit abgelaufen,0.46,837,-46215.97236310934,21,20250403-224843
6,kein_Terminated,Zeit abgelaufen,0.58,1043,-55728.82729730434,21,20250403-224939
7,kein_Terminated,Zeit abgelaufen,0.42,994,-60469.76701439803,21,20250403-225056
8,kein_Terminated,Zeit abgelaufen,0.59,1033,-55790.805898599785,21,20250403-225219
9,kein_Terminated,Zeit abgelaufen,0.46,942,-55900.403772310485,21,20250403-225346
10,kein_Terminated,Zeit abgelaufen,0.38,1050,-51908.78417824785,21,20250403-225512
11,kein_Terminated,Zeit abgelaufen,0.26,1125,-72853.2030077957,21,20250403-225639
12,kein_Terminated,Zeit abgelaufen,0.2,1184,-75679.01836547315,21,20250403-225805
13,kein_Terminated,Zeit abgelaufen,0.57,926,-55603.22085930121,21,20250403-225933
14,kein_Terminated,Zeit abgelaufen,0.28,728,-44840.07374823209,21,20250403-230102
15,kein_Terminated,Zeit abgelaufen,0.44,792,-39303.071730168565,21,20250403-230228
16,kein_Terminated,Zeit abgelaufen,0.35,749,-42817.800180464794,21,20250403-230354
17,kein_Terminated,Zeit abgelaufen,0.48,1127,-63141.37932831164,21,20250403-230523
18,kein_Terminated,Zeit abgelaufen,0.47,801,-42262.063295208594,21,20250403-230653
19,kein_Terminated,Zeit abgelaufen,0.53,821,-48775.27216304571,21,20250403-230821
20,kein_Terminated,Zeit abgelaufen,0.19,1155,-76888.69006109393,21,20250403-230951
21,kein_Terminated,Zeit abgelaufen,0.47,859,-53139.92437945418,21,20250403-231120
22,kein_Terminated,Zeit abgelaufen,0.56,1040,-64751.73452375156,21,20250403-231247
23,kein_Terminated,Zeit abgelaufen,0.34,1096,-66811.67703237919,21,20250403-231415
24,kein_Terminated,Zeit abgelaufen,0.62,977,-53915.73693424836,21,20250403-231543
25,kein_Terminated,Zeit abgelaufen,0.13,1164,-70913.94506443593,21,20250403-231716
26,kein_Terminated,Zeit abgelaufen,0.33,797,-51510.06716995099,21,20250403-231847
27,kein_Terminated,Zeit abgelaufen,0.42,896,-41687.64685462167,21,20250403-232019
28,kein_Terminated,Zeit abgelaufen,0.37,953,-56299.12768255756,21,20250403-232152
29,kein_Terminated,Zeit abgelaufen,0.65,800,-45963.01241969884,21,20250403-232326
30,kein_Terminated,Zeit abgelaufen,0.42,930,-51346.59575943556,21,20250403-232500
31,kein_Terminated,Zeit abgelaufen,0.48,966,-52864.91609351421,21,20250403-232633
32,kein_Terminated,Zeit abgelaufen,0.49,1103,-59234.36902162113,21,20250403-232805
33,kein_Terminated,Zeit abgelaufen,0.41,892,-50068.51735062164,21,20250403-232940
34,kein_Terminated,Zeit abgelaufen,0.46,919,-49166.5369848477,21,20250403-233111
35,kein_Terminated,Zeit abgelaufen,0.5,1100,-66711.02825173427,21,20250403-233245
36,kein_Terminated,Zeit abgelaufen,0.72,978,-55272.15591318278,21,20250403-233420
37,kein_Terminated,Zeit abgelaufen,0.66,969,-56218.450820453494,21,20250403-233554
38,kein_Terminated,Zeit abgelaufen,0.5,997,-61074.14183841487,21,20250403-233733
39,kein_Terminated,Zeit abgelaufen,0.6,957,-53628.16173233755,21,20250403-233846
40,kein_Terminated,Zeit abgelaufen,0.78,836,-44241.84081760612,21,20250403-234000
