DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size
4,300,2,-1,50000.0,1,500000.0,99999,20,100,50,4,300,5,1,5

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
1,kein_Terminated,Zeit abgelaufen,0.26,365,-7281.622279617278,21,20250404-000903
2,kein_Terminated,Zeit abgelaufen,0.31,366,-5696.647632069751,21,20250404-000958
3,kein_Terminated,Zeit abgelaufen,0.2,647,-15198.81487373659,21,20250404-001054
4,kein_Terminated,Zeit abgelaufen,0.39,210,-3333.4463232393937,21,20250404-001148
5,kein_Terminated,Zeit abgelaufen,0.47,285,-2658.8578023435607,21,20250404-001244
6,kein_Terminated,Zeit abgelaufen,0.29,739,-12927.842918090446,21,20250404-001340
7,kein_Terminated,Zeit abgelaufen,0.17,907,-19731.940162293704,21,20250404-001436
8,kein_Terminated,Zeit abgelaufen,0.37,836,-19292.88210674884,21,20250404-001533
9,kein_Terminated,Zeit abgelaufen,0.47,744,-14644.689445559938,21,20250404-001631
10,kein_Terminated,Zeit abgelaufen,0.37,459,-9404.193496966336,21,20250404-001729
11,kein_Terminated,Zeit abgelaufen,0.23,585,-14410.324902810866,21,20250404-001829
12,kein_Terminated,Zeit abgelaufen,0.36,453,-8979.224427225925,21,20250404-001931
13,kein_Terminated,Zeit abgelaufen,0.24,330,-5533.861775796651,21,20250404-002032
14,kein_Terminated,Zeit abgelaufen,0.19,679,-14233.531858993923,21,20250404-002134
15,kein_Terminated,Zeit abgelaufen,0.42,617,-11997.743178040122,21,20250404-002234
16,kein_Terminated,Zeit abgelaufen,0.19,209,-3875.297802660774,21,20250404-002335
17,kein_Terminated,Zeit abgelaufen,0.27,188,-2983.9388458250414,21,20250404-002435
18,kein_Terminated,Zeit abgelaufen,0.27,739,-18690.124368027507,21,20250404-002538
19,kein_Terminated,Zeit abgelaufen,0.39,762,-16421.6198770504,21,20250404-002639
20,kein_Terminated,Zeit abgelaufen,0.41,903,-20902.33014648189,21,20250404-002738
21,kein_Terminated,Zeit abgelaufen,0.49,649,-14691.377518799978,21,20250404-002920
22,kein_Terminated,Zeit abgelaufen,0.24,511,-12397.558150880377,21,20250404-003058
23,kein_Terminated,Zeit abgelaufen,0.41,301,-6636.220675972676,21,20250404-003244
