DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_NUMBER_LAST_ACTIONS
2,300,2,-0.5,50000.0,1,172800,99999999999999,20,100,50,2,300,10,0.5,5,-1000,0.15,0.25,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Uhrzeit Welt
0,Zu nah an der Wand,kein_Truncared,0.03,1,-861.0,32.5,21,20250408-173958
0,Zu nah an der Wand,kein_Truncared,0.02,1,-953.5,5.0,21,20250408-174002
0,Zu nah an der Wand,kein_Truncared,0.02,1,-897.5,9.0,21,20250408-174005
0,Zu nah an der Wand,kein_Truncared,0.06,2,-717.0,52.5,21,20250408-174011
0,Zu nah an der Wand,kein_Truncared,0.01,1,-965.5,1.0,21,20250408-174014
0,Zu nah an der Wand,kein_Truncared,0.01,1,-962.0,1.5,21,20250408-174017
0,Zu nah an der Wand,kein_Truncared,0.01,1,-970.5,2.0,21,20250408-174021
0,Zu nah an der Wand,kein_Truncared,0.02,1,-924.5,12.0,21,20250408-174025
0,Zu nah an der Wand,kein_Truncared,0.04,2,-810.5,28.0,21,20250408-174029
0,Zu nah an der Wand,kein_Truncared,0.01,1,-972.0,1.5,21,20250408-174032
0,Zu nah an der Wand,kein_Truncared,0.07,1,-667.0,52.5,21,20250408-174038
0,Zu nah an der Wand,kein_Truncared,0.04,9,-832.0,17.5,21,20250408-174042
0,Zu nah an der Wand,kein_Truncared,0.04,1,-848.5,36.0,21,20250408-174047
0,Zu nah an der Wand,kein_Truncared,0.02,3,-903.0,6.5,21,20250408-174050
0,Zu nah an der Wand,kein_Truncared,0.04,14,-798.0,23.5,21,20250408-174054
0,Zu nah an der Wand,kein_Truncared,0.02,3,-917.0,8.5,21,20250408-174057
0,Zu nah an der Wand,kein_Truncared,0.04,2,-821.5,25.0,21,20250408-174101
0,Zu nah an der Wand,kein_Truncared,0.05,9,-745.5,25.0,21,20250408-174105
0,Zu nah an der Wand,kein_Truncared,0.03,3,-835.0,12.5,21,20250408-174109
0,Zu nah an der Wand,kein_Truncared,0.04,15,-861.5,61.0,21,20250408-174115
0,Zu nah an der Wand,kein_Truncared,0.02,5,-898.0,5.5,21,20250408-174118
0,Zu nah an der Wand,kein_Truncared,0.02,2,-915.0,4.5,21,20250408-174121
0,Zu nah an der Wand,kein_Truncared,0.06,10,-653.5,25.0,21,20250408-174126
0,Zu nah an der Wand,kein_Truncared,0.08,9,-582.0,63.5,21,20250408-174131
0,Zu nah an der Wand,kein_Truncared,0.11,3,-479.5,175.0,21,20250408-174142
0,Zu nah an der Wand,kein_Truncared,0.07,2,-656.0,97.5,21,20250408-174149
0,Zu nah an der Wand,kein_Truncared,0.04,5,-793.5,11.0,21,20250408-174153
0,Zu nah an der Wand,kein_Truncared,0.07,19,-615.5,55.0,21,20250408-174158
0,Zu nah an der Wand,kein_Truncared,0.07,6,-658.0,81.5,21,20250408-174211
0,Zu nah an der Wand,kein_Truncared,0.07,15,-664.0,61.5,21,20250408-174217
0,Zu nah an der Wand,kein_Truncared,0.1,1,-485.0,96.5,21,20250408-174225
0,Zu nah an der Wand,kein_Truncared,0.05,4,-722.0,17.5,21,20250408-174229
0,Zu nah an der Wand,kein_Truncared,0.05,1,-751.5,27.0,21,20250408-174233
0,Zu nah an der Wand,kein_Truncared,0.01,3,-982.0,1.5,21,20250408-174236
0,Zu nah an der Wand,kein_Truncared,0.01,3,-973.5,1.0,21,20250408-174239
0,Zu nah an der Wand,kein_Truncared,0.05,13,-745.0,20.5,21,20250408-174243
0,Zu nah an der Wand,kein_Truncared,0.1,7,-421.5,47.0,21,20250408-174248
0,Zu nah an der Wand,kein_Truncared,0.02,6,-907.5,13.0,21,20250408-174252
0,Zu nah an der Wand,kein_Truncared,0.01,7,-961.5,3.0,21,20250408-174255
0,Zu nah an der Wand,kein_Truncared,0.01,2,-991.0,0.5,21,20250408-174258
0,Zu nah an der Wand,kein_Truncared,0.06,9,-684.5,34.0,21,20250408-174303
0,Zu nah an der Wand,kein_Truncared,0.01,7,-953.5,3.0,21,20250408-174335
0,Zu nah an der Wand,kein_Truncared,0.22,24,224.5,169.0,21,20250408-174413
0,Zu nah an der Wand,kein_Truncared,0.12,13,-402.5,136.0,21,20250408-174451
0,Zu nah an der Wand,kein_Truncared,0.06,5,-669.0,38.5,21,20250408-174457
0,Zu nah an der Wand,kein_Truncared,0.08,2,-574.5,44.0,21,20250408-174502
0,Zu nah an der Wand,kein_Truncared,0.06,1,-695.0,66.5,21,20250408-174508
0,Zu nah an der Wand,kein_Truncared,0.11,5,-400.5,78.0,21,20250408-174516
0,Zu nah an der Wand,kein_Truncared,0.07,8,-607.0,42.5,21,20250408-174526
0,Zu nah an der Wand,kein_Truncared,0.05,4,-725.5,25.0,21,20250408-174551
0,Zu nah an der Wand,kein_Truncared,0.12,9,-301.0,76.5,21,20250408-174623
0,Zu nah an der Wand,kein_Truncared,0.05,3,-715.5,25.0,21,20250408-174652
0,Zu nah an der Wand,kein_Truncared,0.08,7,-592.0,47.5,21,20250408-174726
0,Zu nah an der Wand,kein_Truncared,0.13,6,-289.5,75.0,21,20250408-174802
0,Zu nah an der Wand,kein_Truncared,0.03,10,-879.0,14.5,21,20250408-174836
0,Zu nah an der Wand,kein_Truncared,0.03,3,-836.5,14.0,21,20250408-174909
0,Zu nah an der Wand,kein_Truncared,0.03,4,-843.5,17.0,21,20250408-174942
0,Zu nah an der Wand,kein_Truncared,0.02,2,-930.0,3.5,21,20250408-175015
0,Zu nah an der Wand,kein_Truncared,0.03,6,-843.0,14.5,21,20250408-175044
0,Zu nah an der Wand,kein_Truncared,0.02,2,-925.5,3.0,21,20250408-175111
0,Zu nah an der Wand,kein_Truncared,0.04,2,-830.0,15.5,21,20250408-175144
0,Zu nah an der Wand,kein_Truncared,0.03,2,-884.5,8.0,21,20250408-175214
0,Zu nah an der Wand,kein_Truncared,0.02,10,-904.5,6.0,21,20250408-175237
0,Zu nah an der Wand,kein_Truncared,0.02,6,-910.0,11.5,21,20250408-175310
0,Zu nah an der Wand,kein_Truncared,0.02,2,-924.5,4.0,21,20250408-175343
0,Zu nah an der Wand,kein_Truncared,0.02,3,-904.0,5.5,21,20250408-175415
0,Zu nah an der Wand,kein_Truncared,0.07,2,-600.5,34.0,21,20250408-175449
0,Zu nah an der Wand,kein_Truncared,0.04,1,-838.0,23.5,21,20250408-175521
0,Zu nah an der Wand,kein_Truncared,0.09,2,-503.5,31.0,21,20250408-175553
0,Zu nah an der Wand,kein_Truncared,0.09,4,-528.5,70.0,21,20250408-175626
0,Zu nah an der Wand,kein_Truncared,0.03,1,-840.0,9.5,21,20250408-175657
0,Zu nah an der Wand,kein_Truncared,0.01,1,-971.5,1.0,21,20250408-175732
0,Zu nah an der Wand,kein_Truncared,0.04,1,-795.5,19.0,21,20250408-175800
0,Zu nah an der Wand,kein_Truncared,0.04,1,-818.0,25.5,21,20250408-175834
0,Zu nah an der Wand,kein_Truncared,0.01,1,-975.0,0.5,21,20250408-175905
0,Zu nah an der Wand,kein_Truncared,0.01,1,-971.5,1.0,21,20250408-175939
0,Zu nah an der Wand,kein_Truncared,0.01,1,-981.0,0.5,21,20250408-180009
0,Zu nah an der Wand,kein_Truncared,0.05,1,-726.0,25.5,21,20250408-180040
0,Zu nah an der Wand,kein_Truncared,0.01,1,-971.5,1.0,21,20250408-180112
0,Zu nah an der Wand,kein_Truncared,0.04,1,-793.0,18.5,21,20250408-180144
0,Zu nah an der Wand,kein_Truncared,0.03,2,-860.5,8.0,21,20250408-180219
0,Zu nah an der Wand,kein_Truncared,0.02,1,-938.5,4.0,21,20250408-180250
0,Zu nah an der Wand,kein_Truncared,0.02,1,-898.0,7.5,21,20250408-180323
0,Zu nah an der Wand,kein_Truncared,0.05,2,-746.5,30.0,21,20250408-180352
0,Zu nah an der Wand,kein_Truncared,0.02,1,-951.5,3.0,21,20250408-180422
0,Zu nah an der Wand,kein_Truncared,0.02,1,-940.0,3.5,21,20250408-180452
0,Zu nah an der Wand,kein_Truncared,0.05,3,-735.5,19.0,21,20250408-180523
0,Zu nah an der Wand,kein_Truncared,0.01,1,-956.0,1.5,21,20250408-180559
0,Zu nah an der Wand,kein_Truncared,0.06,3,-663.0,42.5,21,20250408-180633
0,Zu nah an der Wand,kein_Truncared,0.05,2,-750.0,29.5,21,20250408-180708
0,Zu nah an der Wand,kein_Truncared,0.08,3,-571.5,31.0,21,20250408-180738
0,Zu nah an der Wand,kein_Truncared,0.1,5,-438.0,45.5,21,20250408-180813
0,Zu nah an der Wand,kein_Truncared,0.05,2,-711.5,23.0,21,20250408-180845
0,Zu nah an der Wand,kein_Truncared,0.07,2,-619.5,35.0,21,20250408-180915
0,Zu nah an der Wand,kein_Truncared,0.08,4,-559.5,35.0,21,20250408-180949
0,Zu nah an der Wand,kein_Truncared,0.03,2,-868.5,14.0,21,20250408-181022
0,Zu nah an der Wand,kein_Truncared,0.09,3,-490.0,45.5,21,20250408-181057
0,Zu nah an der Wand,kein_Truncared,0.07,4,-611.5,37.0,21,20250408-181128
0,Zu nah an der Wand,kein_Truncared,0.11,2,-369.5,75.0,21,20250408-181204
0,Zu nah an der Wand,kein_Truncared,0.03,10,-850.0,17.5,21,20250408-181237
0,Zu nah an der Wand,kein_Truncared,0.04,3,-815.0,20.5,21,20250408-181308
0,Zu nah an der Wand,kein_Truncared,0.02,4,-909.0,4.5,21,20250408-181339
0,Zu nah an der Wand,kein_Truncared,0.03,7,-847.0,14.5,21,20250408-181406
0,Zu nah an der Wand,kein_Truncared,0.02,3,-901.5,7.0,21,20250408-181439
0,Zu nah an der Wand,kein_Truncared,0.02,5,-936.0,3.5,21,20250408-181511
0,Zu nah an der Wand,kein_Truncared,0.03,2,-888.0,7.5,21,20250408-181545
0,Zu nah an der Wand,kein_Truncared,0.03,4,-882.5,8.0,21,20250408-181612
0,Zu nah an der Wand,kein_Truncared,0.02,5,-897.0,4.5,21,20250408-181647
0,Zu nah an der Wand,kein_Truncared,0.02,2,-905.0,6.5,21,20250408-181718
0,Zu nah an der Wand,kein_Truncared,0.02,3,-912.5,6.0,21,20250408-181751
0,Zu nah an der Wand,kein_Truncared,0.05,7,-733.0,22.5,21,20250408-181822
0,Zu nah an der Wand,kein_Truncared,0.03,2,-878.5,14.0,21,20250408-181856
0,Zu nah an der Wand,kein_Truncared,0.06,2,-689.5,23.0,21,20250408-181927
0,Zu nah an der Wand,kein_Truncared,0.03,11,-833.5,13.0,21,20250408-181958
0,Zu nah an der Wand,kein_Truncared,0.12,13,-324.0,67.5,21,20250408-182029
0,Zu nah an der Wand,kein_Truncared,0.05,5,-734.5,12.0,21,20250408-182101
0,Zu nah an der Wand,kein_Truncared,0.05,5,-728.0,21.5,21,20250408-182135
0,Zu nah an der Wand,kein_Truncared,0.08,2,-571.5,33.0,21,20250408-182208
0,Zu nah an der Wand,kein_Truncared,0.1,15,-438.5,40.0,21,20250408-182239
0,Zu nah an der Wand,kein_Truncared,0.05,2,-732.5,14.0,21,20250408-182313
0,Zu nah an der Wand,kein_Truncared,0.07,2,-598.5,36.0,21,20250408-182346
0,Zu nah an der Wand,kein_Truncared,0.02,15,-929.0,8.5,21,20250408-182419
0,Zu nah an der Wand,kein_Truncared,0.1,13,-404.0,43.5,21,20250408-182452
0,Zu nah an der Wand,kein_Truncared,0.02,10,-923.5,5.0,21,20250408-182523
