DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000.0,1,1080000,99999999999999,20,100,50,2,300,2,0.5,5,-100,0.15,1,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.14,188,-13928.0,300.5,22,0,20250409-224243
2,kein_Terminated,Zeit abgelaufen,0.17,227,-14243.0,300.5,22,5,20250409-224254
3,kein_Terminated,Zeit abgelaufen,0.15,244,-13276.0,300.5,22,5,20250409-224305
4,kein_Terminated,Zeit abgelaufen,0.15,84,-2885.0,300.5,22,5,20250409-224316
5,kein_Terminated,Zeit abgelaufen,0.24,263,-16486.0,300.5,22,5,20250409-224327
6,kein_Terminated,Zeit abgelaufen,0.21,177,-7756.0,300.5,22,5,20250409-224338
7,kein_Terminated,Zeit abgelaufen,0.16,303,-18584.0,300.5,25,5,20250409-224351
8,kein_Terminated,Zeit abgelaufen,0.17,384,-22840.0,300.5,25,5,20250409-224405
9,kein_Terminated,Zeit abgelaufen,0.15,216,-4233.0,300.5,25,8,20250409-224419
10,kein_Terminated,Zeit abgelaufen,0.13,229,-12807.0,300.5,25,8,20250409-224433
11,kein_Terminated,Zeit abgelaufen,0.08,378,-23148.0,300.5,25,8,20250409-224446
12,kein_Terminated,Zeit abgelaufen,0.14,112,-1452.0,300.5,25,8,20250409-224500
13,kein_Terminated,Zeit abgelaufen,0.15,177,-6067.0,300.5,25,8,20250409-224513
14,kein_Terminated,Zeit abgelaufen,0.09,382,-22890.0,300.5,25,8,20250409-224527
15,kein_Terminated,Zeit abgelaufen,0.14,281,-14271.0,300.5,25,8,20250409-224540
16,kein_Terminated,Zeit abgelaufen,0.13,284,-14258.0,300.5,25,7,20250409-224554
17,kein_Terminated,Zeit abgelaufen,0.23,144,-2885.0,300.5,25,7,20250409-224607
18,kein_Terminated,Zeit abgelaufen,0.13,237,-10395.0,300.5,25,7,20250409-224621
19,kein_Terminated,Zeit abgelaufen,0.18,222,-8972.0,300.5,25,7,20250409-224634
20,kein_Terminated,Zeit abgelaufen,0.15,238,-11525.0,300.5,25,7,20250409-224648
21,kein_Terminated,Zeit abgelaufen,0.21,252,-15760.0,300.5,23,7,20250409-224700
22,kein_Terminated,Zeit abgelaufen,0.21,243,-13586.0,300.5,23,7,20250409-224712
23,kein_Terminated,Zeit abgelaufen,0.25,134,-1447.0,300.5,23,8,20250409-224724
24,kein_Terminated,Zeit abgelaufen,0.18,210,-6468.0,300.5,23,8,20250409-224735
25,kein_Terminated,Zeit abgelaufen,0.12,191,-4214.0,300.5,23,8,20250409-224747
26,kein_Terminated,Zeit abgelaufen,0.24,113,-3081.0,300.5,23,8,20250409-224758
27,kein_Terminated,Zeit abgelaufen,0.19,201,-8146.0,300.5,23,8,20250409-224809
28,kein_Terminated,Zeit abgelaufen,0.2,190,-5275.0,300.5,22,8,20250409-224821
29,kein_Terminated,Zeit abgelaufen,0.2,196,-9181.0,300.5,22,8,20250409-224832
30,kein_Terminated,Zeit abgelaufen,0.14,123,-2306.0,300.5,22,2,20250409-224843
31,kein_Terminated,Zeit abgelaufen,0.22,149,-4150.0,300.5,22,2,20250409-224855
32,kein_Terminated,Zeit abgelaufen,0.25,116,202.0,300.5,22,2,20250409-224906
33,kein_Terminated,Zeit abgelaufen,0.17,161,-7691.0,300.5,22,2,20250409-224918
34,kein_Terminated,Zeit abgelaufen,0.19,197,-12493.0,300.5,22,2,20250409-224929
35,kein_Terminated,Zeit abgelaufen,0.21,139,-5857.0,300.5,24,2,20250409-224941
36,kein_Terminated,Zeit abgelaufen,0.19,160,-4376.0,300.5,24,2,20250409-224952
37,kein_Terminated,Zeit abgelaufen,0.18,141,-4367.0,300.5,24,5,20250409-225004
38,kein_Terminated,Zeit abgelaufen,0.23,234,-7948.0,300.5,24,5,20250409-225015
39,kein_Terminated,Zeit abgelaufen,0.27,105,-977.0,300.5,24,5,20250409-225027
40,kein_Terminated,Zeit abgelaufen,0.19,258,-11490.0,300.5,24,5,20250409-225039
41,kein_Terminated,Zeit abgelaufen,0.19,225,-8808.0,300.5,24,5,20250409-225051
42,kein_Terminated,Zeit abgelaufen,0.21,169,-8386.0,300.5,24,5,20250409-225102
43,kein_Terminated,Zeit abgelaufen,0.26,169,-6760.0,300.5,24,5,20250409-225114
44,kein_Terminated,Zeit abgelaufen,0.22,222,-9188.0,300.5,24,0,20250409-225125
45,kein_Terminated,Zeit abgelaufen,0.24,144,-4189.0,300.5,24,0,20250409-225137
46,kein_Terminated,Zeit abgelaufen,0.25,239,-10468.0,300.5,24,0,20250409-225149
47,kein_Terminated,Zeit abgelaufen,0.23,129,-2802.0,300.5,24,0,20250409-225201
48,kein_Terminated,Zeit abgelaufen,0.28,151,-4387.0,300.5,24,0,20250409-225212
49,kein_Terminated,Zeit abgelaufen,0.27,187,-3158.0,300.5,22,0,20250409-225224
50,kein_Terminated,Zeit abgelaufen,0.18,87,-1191.0,300.5,22,0,20250409-225235
51,kein_Terminated,Zeit abgelaufen,0.29,253,-7448.0,300.5,22,9,20250409-225246
52,kein_Terminated,Zeit abgelaufen,0.24,148,-5530.0,300.5,22,9,20250409-225257
53,kein_Terminated,Zeit abgelaufen,0.29,200,-5690.0,300.5,22,9,20250409-225308
54,kein_Terminated,Zeit abgelaufen,0.21,218,-5126.0,300.5,22,9,20250409-225320
55,kein_Terminated,Zeit abgelaufen,0.23,126,-4636.0,300.5,22,9,20250409-225331
56,kein_Terminated,Zeit abgelaufen,0.28,198,-6836.0,300.5,24,9,20250409-225343
