DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_truncated,DEFAULT_Truncated_Version,DEFAULT_Truncated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls
2,300,2,0,50000.0,1,800000.0,99999,20,100,50,2,300,6,0.5,5,-10,TR1,0.19,1,8,4

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
1,kein_Terminated,Zeit abgelaufen,0.14,198,-10604.0,21,20250407-001824
2,kein_Terminated,Zeit abgelaufen,0.25,132,-7036.0,21,20250407-001841
3,kein_Terminated,Zeit abgelaufen,0.13,304,-15868.0,21,20250407-001900
4,kein_Terminated,Zeit abgelaufen,0.15,238,-12542.0,21,20250407-001918
5,kein_Terminated,Zeit abgelaufen,0.14,352,-18150.0,21,20250407-001936
6,kein_Terminated,Zeit abgelaufen,0.19,206,-9934.0,21,20250407-001954
7,kein_Terminated,Zeit abgelaufen,0.23,72,-2778.0,21,20250407-002012
8,kein_Terminated,Zeit abgelaufen,0.14,213,-10864.0,21,20250407-002030
9,kein_Terminated,Zeit abgelaufen,0.15,219,-10654.0,21,20250407-002048
10,kein_Terminated,Zeit abgelaufen,0.23,216,-11064.0,21,20250407-002106
11,kein_Terminated,Zeit abgelaufen,0.27,135,-5722.0,21,20250407-002126
12,kein_Terminated,Zeit abgelaufen,0.22,176,-7056.0,21,20250407-002144
13,kein_Terminated,Zeit abgelaufen,0.14,180,-9322.0,21,20250407-002203
14,kein_Terminated,Zeit abgelaufen,0.23,259,-11076.0,21,20250407-002221
15,kein_Terminated,Zeit abgelaufen,0.23,450,-20622.0,21,20250407-002240
16,kein_Terminated,Zeit abgelaufen,0.2,295,-13780.0,21,20250407-002258
17,kein_Terminated,Zeit abgelaufen,0.17,198,-8890.0,21,20250407-002316
18,kein_Terminated,Zeit abgelaufen,0.23,224,-8484.0,21,20250407-002334
19,kein_Terminated,Zeit abgelaufen,0.29,224,-10010.0,21,20250407-002352
20,kein_Terminated,Zeit abgelaufen,0.22,191,-9324.0,21,20250407-002411
21,kein_Terminated,Zeit abgelaufen,0.17,294,-12804.0,21,20250407-002429
22,kein_Terminated,Zeit abgelaufen,0.26,110,-4232.0,21,20250407-002448
23,kein_Terminated,Zeit abgelaufen,0.23,225,-9066.0,21,20250407-002506
24,kein_Terminated,Zeit abgelaufen,0.22,335,-13744.0,21,20250407-002524
25,kein_Terminated,Zeit abgelaufen,0.18,394,-16772.0,21,20250407-002543
26,kein_Terminated,Zeit abgelaufen,0.24,367,-15958.0,21,20250407-002601
27,kein_Terminated,Zeit abgelaufen,0.12,476,-21588.0,21,20250407-002620
28,kein_Terminated,Zeit abgelaufen,0.29,292,-11102.0,21,20250407-002638
29,kein_Terminated,Zeit abgelaufen,0.19,226,-10426.0,21,20250407-002656
30,kein_Terminated,Zeit abgelaufen,0.29,314,-11864.0,21,20250407-002715
31,kein_Terminated,Zeit abgelaufen,0.24,248,-9842.0,21,20250407-002733
32,kein_Terminated,Zeit abgelaufen,0.12,366,-18282.0,21,20250407-002751
33,kein_Terminated,Zeit abgelaufen,0.22,393,-16168.0,21,20250407-002810
34,kein_Terminated,Zeit abgelaufen,0.16,358,-16942.0,21,20250407-002828
35,kein_Terminated,Zeit abgelaufen,0.22,317,-14060.0,21,20250407-002846
36,kein_Terminated,Zeit abgelaufen,0.32,263,-11128.0,21,20250407-002904
37,kein_Terminated,Zeit abgelaufen,0.21,252,-12108.0,21,20250407-002923
38,kein_Terminated,Zeit abgelaufen,0.31,203,-7876.0,21,20250407-002941
39,kein_Terminated,Zeit abgelaufen,0.33,128,-5504.0,21,20250407-002959
40,kein_Terminated,Zeit abgelaufen,0.32,218,-9454.0,21,20250407-003018
41,kein_Terminated,Zeit abgelaufen,0.27,219,-9386.0,21,20250407-003036
42,kein_Terminated,Zeit abgelaufen,0.15,268,-13792.0,21,20250407-003055
43,kein_Terminated,Zeit abgelaufen,0.31,289,-11506.0,21,20250407-003114
44,kein_Terminated,Zeit abgelaufen,0.31,110,-3834.0,21,20250407-003132
45,kein_Terminated,Zeit abgelaufen,0.11,51,-1262.0,21,20250407-003150
46,kein_Terminated,Zeit abgelaufen,0.16,37,-1494.0,21,20250407-003208
47,kein_Terminated,Zeit abgelaufen,0.1,452,-20154.0,21,20250407-003227
48,kein_Terminated,Zeit abgelaufen,0.22,94,-3546.0,21,20250407-003245
49,kein_Terminated,Zeit abgelaufen,0.23,337,-13688.0,21,20250407-003303
50,kein_Terminated,Zeit abgelaufen,0.23,198,-7652.0,21,20250407-003322
51,kein_Terminated,Zeit abgelaufen,0.22,59,-1966.0,21,20250407-003340
52,kein_Terminated,Zeit abgelaufen,0.26,367,-14948.0,21,20250407-003359
53,kein_Terminated,Zeit abgelaufen,0.23,131,-5368.0,21,20250407-003417
54,kein_Terminated,Zeit abgelaufen,0.21,74,-1834.0,21,20250407-003436
55,kein_Terminated,Zeit abgelaufen,0.2,295,-12174.0,21,20250407-003454
56,kein_Terminated,Zeit abgelaufen,0.25,120,-4398.0,21,20250407-003513
57,kein_Terminated,Zeit abgelaufen,0.24,303,-13704.0,21,20250407-003531
58,kein_Terminated,Zeit abgelaufen,0.28,251,-10496.0,21,20250407-003550
59,kein_Terminated,Zeit abgelaufen,0.32,184,-8486.0,21,20250407-003608
60,kein_Terminated,Zeit abgelaufen,0.19,226,-8572.0,21,20250407-003627
61,kein_Terminated,Zeit abgelaufen,0.27,173,-7098.0,21,20250407-003645
62,kein_Terminated,Zeit abgelaufen,0.27,272,-12100.0,21,20250407-003703
