DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward
2,300,2,-0.5,50000.0,1,400000.0,99999,20,100,50,2,300,6,0.5,5,-10,0.15,1

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
1,kein_Terminated,Zeit abgelaufen,0.21,396,-2148.0,21,20250407-012436
2,kein_Terminated,Zeit abgelaufen,0.23,329,-1134.0,21,20250407-012449
3,kein_Terminated,Zeit abgelaufen,0.27,16,2003.0,21,20250407-012501
4,kein_Terminated,Zeit abgelaufen,0.27,262,-379.0,21,20250407-012513
5,kein_Terminated,Zeit abgelaufen,0.28,421,-2409.0,21,20250407-012525
6,kein_Terminated,Zeit abgelaufen,0.63,143,3485.0,21,20250407-012537
7,kein_Terminated,Zeit abgelaufen,0.47,302,933.0,21,20250407-012549
8,kein_Terminated,Zeit abgelaufen,0.44,242,945.0,21,20250407-012601
9,kein_Terminated,Zeit abgelaufen,0.54,219,2119.0,21,20250407-012613
10,kein_Terminated,Zeit abgelaufen,0.39,219,1187.0,21,20250407-012625
11,kein_Terminated,Zeit abgelaufen,0.49,230,1905.0,21,20250407-012637
12,kein_Terminated,Zeit abgelaufen,0.5,220,2450.0,21,20250407-012649
13,kein_Terminated,Zeit abgelaufen,0.45,116,2606.0,21,20250407-012701
14,kein_Terminated,Zeit abgelaufen,0.42,114,2585.0,21,20250407-012713
15,kein_Terminated,Zeit abgelaufen,0.45,129,2639.0,21,20250407-012726
16,kein_Terminated,Zeit abgelaufen,0.52,108,3135.0,21,20250407-012738
17,kein_Terminated,Zeit abgelaufen,0.49,142,2922.0,21,20250407-012750
18,kein_Terminated,Zeit abgelaufen,0.53,115,3201.0,21,20250407-012802
19,kein_Terminated,Zeit abgelaufen,0.51,131,3169.0,21,20250407-012814
20,kein_Terminated,Zeit abgelaufen,0.53,153,2918.0,21,20250407-012826
21,kein_Terminated,Zeit abgelaufen,0.51,109,3350.0,21,20250407-012838
22,kein_Terminated,Zeit abgelaufen,0.5,89,3344.0,21,20250407-012850
23,kein_Terminated,Zeit abgelaufen,0.52,150,2681.0,21,20250407-012902
24,kein_Terminated,Zeit abgelaufen,0.61,89,3926.0,21,20250407-012914
25,kein_Terminated,Zeit abgelaufen,0.62,151,3561.0,21,20250407-012926
26,kein_Terminated,Zeit abgelaufen,0.71,102,4522.0,21,20250407-012938
27,kein_Terminated,Zeit abgelaufen,0.56,121,3336.0,21,20250407-012950
28,kein_Terminated,Zeit abgelaufen,0.53,195,2777.0,21,20250407-013002
29,kein_Terminated,Zeit abgelaufen,0.56,71,3783.0,21,20250407-013014
30,kein_Terminated,Zeit abgelaufen,0.52,101,3383.0,21,20250407-013026
31,kein_Terminated,Zeit abgelaufen,0.63,88,4130.0,21,20250407-013038
32,kein_Terminated,Zeit abgelaufen,0.63,71,4119.0,21,20250407-013050
33,kein_Terminated,Zeit abgelaufen,0.59,63,3876.0,21,20250407-013102
34,kein_Terminated,Zeit abgelaufen,0.53,103,3264.0,21,20250407-013114
35,kein_Terminated,Zeit abgelaufen,0.58,70,3632.0,21,20250407-013126
36,kein_Terminated,Zeit abgelaufen,0.56,158,2879.0,21,20250407-013138
37,kein_Terminated,Zeit abgelaufen,0.64,76,4133.0,21,20250407-013150
38,kein_Terminated,Zeit abgelaufen,0.64,90,4123.0,21,20250407-013202
39,kein_Terminated,Zeit abgelaufen,0.7,79,4623.0,21,20250407-013214
40,kein_Terminated,Zeit abgelaufen,0.63,76,4052.0,21,20250407-013227
41,kein_Terminated,Zeit abgelaufen,0.63,80,4082.0,21,20250407-013239
42,kein_Terminated,Zeit abgelaufen,0.58,60,3861.0,21,20250407-013251
43,kein_Terminated,Zeit abgelaufen,0.63,92,4010.0,21,20250407-013303
44,kein_Terminated,Zeit abgelaufen,0.52,77,3451.0,21,20250407-013315
45,kein_Terminated,Zeit abgelaufen,0.68,85,4400.0,21,20250407-013327
46,kein_Terminated,Zeit abgelaufen,0.66,77,4220.0,21,20250407-013339
47,kein_Terminated,Zeit abgelaufen,0.61,72,3892.0,21,20250407-013351
