DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250412-011854/save-04.12.2025_01.18.54/final_model.zip,20,8,4,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939_TEST_WITH_ADOPTED_MAZES

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.18,246,-3214.75,300.5,0,4,20250414-001328
2,kein_Terminated,Zeit abgelaufen,0.22,162,-2534.0,300.5,0,5,20250414-001433
3,kein_Terminated,Zeit abgelaufen,0.15,288,-6178.25,300.5,0,5,20250414-001548
4,kein_Terminated,Zeit abgelaufen,0.07,431,-16301.75,300.5,0,6,20250414-001648
5,kein_Terminated,Zeit abgelaufen,0.12,390,-14755.0,300.5,0,6,20250414-001836
6,kein_Terminated,Zeit abgelaufen,0.18,328,-10449.5,300.5,0,0,20250414-002022
7,kein_Terminated,Zeit abgelaufen,0.2,316,-5630.25,300.5,15,5,20250414-002203
8,kein_Terminated,Zeit abgelaufen,0.1,407,-18557.25,300.5,15,5,20250414-002324
9,kein_Terminated,Zeit abgelaufen,0.16,297,-3301.25,300.5,15,8,20250414-002337
10,kein_Terminated,Zeit abgelaufen,0.23,141,1511.25,300.5,15,8,20250414-002349
11,kein_Terminated,Zeit abgelaufen,0.13,436,-12991.0,300.5,15,7,20250414-002401
12,kein_Terminated,Zeit abgelaufen,0.16,263,-6025.5,300.5,15,7,20250414-002413
13,kein_Terminated,Zeit abgelaufen,0.08,338,-7138.25,300.5,15,1,20250414-002425
14,kein_Terminated,Zeit abgelaufen,0.16,402,-8616.25,300.5,26,6,20250414-002440
15,kein_Terminated,Zeit abgelaufen,0.15,451,-6588.5,300.5,26,6,20250414-002455
16,kein_Terminated,Zeit abgelaufen,0.2,242,-3670.5,300.5,26,7,20250414-002510
17,kein_Terminated,Zeit abgelaufen,0.23,314,-2307.75,300.5,26,7,20250414-002525
18,kein_Terminated,Zeit abgelaufen,0.19,415,-5500.0,300.5,26,4,20250414-002540
