DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250412-011854/save-04.12.2025_01.18.54/final_model.zip,20,8,4,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939_TEST_WITH_ADOPTED_MAZES

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.16,77,-5567.25,300.5,0,1,20250414-062435
2,kein_Terminated,Zeit abgelaufen,0.23,65,-3570.25,300.5,0,5,20250414-062445
3,kein_Terminated,Zeit abgelaufen,0.08,173,-16387.25,300.5,0,5,20250414-062455
4,kein_Terminated,Zeit abgelaufen,0.08,144,-13405.5,300.5,0,6,20250414-062506
5,kein_Terminated,Zeit abgelaufen,0.13,183,-16686.75,300.5,0,6,20250414-062516
6,kein_Terminated,Zeit abgelaufen,0.18,129,-10586.25,300.5,0,0,20250414-062526
7,kein_Terminated,Zeit abgelaufen,0.19,81,-5670.25,300.5,15,5,20250414-062538
8,kein_Terminated,Zeit abgelaufen,0.1,204,-19278.5,300.5,15,5,20250414-062550
9,kein_Terminated,Zeit abgelaufen,0.14,65,-4774.25,300.5,15,8,20250414-062601
10,kein_Terminated,Zeit abgelaufen,0.09,60,-4854.5,300.5,15,8,20250414-062613
11,kein_Terminated,Zeit abgelaufen,0.17,54,-3186.0,300.5,15,7,20250414-062625
12,kein_Terminated,Zeit abgelaufen,0.17,1,2065.75,300.5,15,7,20250414-062636
13,kein_Terminated,Zeit abgelaufen,0.09,100,-8836.5,300.5,15,1,20250414-062648
14,kein_Terminated,Zeit abgelaufen,0.14,74,-5753.0,300.5,26,6,20250414-062703
15,kein_Terminated,Zeit abgelaufen,0.2,61,-3663.25,300.5,26,6,20250414-062718
16,kein_Terminated,Zeit abgelaufen,0.16,66,-4675.0,300.5,26,7,20250414-062733
17,kein_Terminated,Zeit abgelaufen,0.18,59,-3785.75,300.5,26,7,20250414-062748
18,kein_Terminated,Zeit abgelaufen,0.07,103,-9538.75,300.5,26,4,20250414-062803
19,kein_Terminated,Zeit abgelaufen,0.07,133,-12497.25,300.5,26,4,20250414-062818
20,kein_Terminated,Zeit abgelaufen,0.12,177,-16410.25,300.5,26,3,20250414-062833
21,kein_Terminated,Zeit abgelaufen,0.21,67,-4247.75,300.5,26,6,20250414-062848
22,kein_Terminated,Zeit abgelaufen,0.2,43,-1857.75,300.5,26,6,20250414-062903
23,kein_Terminated,Zeit abgelaufen,0.18,88,-6627.5,300.5,26,1,20250414-062917
24,kein_Terminated,Zeit abgelaufen,0.17,63,-4240.75,300.5,26,1,20250414-062932
25,kein_Terminated,Zeit abgelaufen,0.17,24,-375.5,300.5,26,8,20250414-062947
26,kein_Terminated,Zeit abgelaufen,0.21,51,-2623.75,300.5,26,8,20250414-063002
27,kein_Terminated,Zeit abgelaufen,0.22,96,-7029.5,300.5,26,6,20250414-063017
28,kein_Terminated,Zeit abgelaufen,0.23,77,-4735.25,300.5,0,2,20250414-063027
29,kein_Terminated,Zeit abgelaufen,0.29,57,-1952.25,300.5,0,2,20250414-063038
30,kein_Terminated,Zeit abgelaufen,0.13,64,-4753.5,300.5,0,2,20250414-063048
31,kein_Terminated,Zeit abgelaufen,0.18,74,-5049.0,300.5,0,2,20250414-063059
32,kein_Terminated,Zeit abgelaufen,0.2,48,-2173.5,300.5,0,3,20250414-063109
33,kein_Terminated,Zeit abgelaufen,0.11,102,-8754.0,300.5,0,3,20250414-063119
34,kein_Terminated,Zeit abgelaufen,0.18,74,-5129.0,300.5,0,7,20250414-063130
35,kein_Terminated,Zeit abgelaufen,0.24,103,-7290.75,300.5,8,9,20250414-063141
36,kein_Terminated,Zeit abgelaufen,0.24,41,-948.25,300.5,8,9,20250414-063151
37,kein_Terminated,Zeit abgelaufen,0.18,49,-2502.25,300.5,8,5,20250414-063203
38,kein_Terminated,Zeit abgelaufen,0.13,98,-8143.0,300.5,8,5,20250414-063213
39,kein_Terminated,Zeit abgelaufen,0.11,69,-5473.25,300.5,8,5,20250414-063224
40,kein_Terminated,Zeit abgelaufen,0.12,49,-3302.25,300.5,8,5,20250414-063235
41,kein_Terminated,Zeit abgelaufen,0.2,135,-10926.75,300.5,8,3,20250414-063246
42,kein_Terminated,Zeit abgelaufen,0.19,79,-5484.75,300.5,8,0,20250414-063257
43,kein_Terminated,Zeit abgelaufen,0.15,64,-4449.5,300.5,8,0,20250414-063308
44,kein_Terminated,Zeit abgelaufen,0.09,111,-9972.75,300.5,8,0,20250414-063319
45,kein_Terminated,Zeit abgelaufen,0.07,92,-8322.5,300.5,8,0,20250414-063330
46,kein_Terminated,Zeit abgelaufen,0.28,27,1010.25,300.5,8,4,20250414-063341
47,kein_Terminated,Zeit abgelaufen,0.17,114,-9215.0,300.5,8,4,20250414-063352
48,kein_Terminated,Zeit abgelaufen,0.29,49,-1182.25,300.5,8,7,20250414-063403
49,kein_Terminated,Zeit abgelaufen,0.24,32,-5.5,300.5,0,9,20250414-063413
50,kein_Terminated,Zeit abgelaufen,0.27,68,-3356.5,300.5,0,9,20250414-063424
51,kein_Terminated,Zeit abgelaufen,0.25,61,-2803.25,300.5,0,9,20250414-063434
52,kein_Terminated,Zeit abgelaufen,0.12,80,-6453.5,300.5,0,9,20250414-063444
53,kein_Terminated,Zeit abgelaufen,0.25,23,929.25,300.5,0,2,20250414-063455
54,kein_Terminated,Zeit abgelaufen,0.27,45,-915.25,300.5,0,2,20250414-063505
55,kein_Terminated,Zeit abgelaufen,0.21,96,-6889.5,300.5,0,8,20250414-063515
56,kein_Terminated,Zeit abgelaufen,0.19,80,-5809.5,300.5,26,4,20250414-063530
57,kein_Terminated,Zeit abgelaufen,0.16,64,-4445.5,300.5,26,4,20250414-063545
58,kein_Terminated,Zeit abgelaufen,0.23,68,-4036.5,300.5,26,6,20250414-063601
59,kein_Terminated,Zeit abgelaufen,0.18,26,-389.0,300.5,26,6,20250414-063615
60,kein_Terminated,Zeit abgelaufen,0.31,77,-4019.25,300.5,26,3,20250414-063631
61,kein_Terminated,Zeit abgelaufen,0.15,41,-2308.25,300.5,26,3,20250414-063646
62,kein_Terminated,Zeit abgelaufen,0.27,88,-5575.5,300.5,26,3,20250414-063700
63,kein_Terminated,Zeit abgelaufen,0.32,75,-3365.75,300.5,5,9,20250414-063710
64,kein_Terminated,Zeit abgelaufen,0.28,57,-1988.25,300.5,5,9,20250414-063720
65,kein_Terminated,Zeit abgelaufen,0.3,160,-12165.5,300.5,5,3,20250414-063731
66,kein_Terminated,Zeit abgelaufen,0.19,134,-11014.0,300.5,5,3,20250414-063741
67,kein_Terminated,Zeit abgelaufen,0.36,59,-1201.75,300.5,5,7,20250414-063751
68,kein_Terminated,Zeit abgelaufen,0.33,95,-5184.75,300.5,5,7,20250414-063801
69,kein_Terminated,Zeit abgelaufen,0.28,33,361.75,300.5,5,5,20250414-063812
